"CN","PLT_CN","STATECD","UNITCD","COUNTYCD","PLOT","INVYR","SUBP","CONDID","GROWTH_HABIT_CD","LAYER","COVER_PCT","CREATED_BY","CREATED_DATE","CREATED_IN_INSTANCE","MODIFIED_BY","MODIFIED_DATE","MODIFIED_IN_INSTANCE","CYCLE","SUBCYCLE"
"211888217020004","247063599010661",39,1,1,561,2012,2,1,"NT",3,0,"",2013-07-15,"20004","",,"",7,1
"211888218020004","247063599010661",39,1,1,561,2012,2,1,"NT",4,0,"",2013-07-15,"20004","",,"",7,1
"211888219020004","247063599010661",39,1,1,561,2012,2,1,"NT",5,0,"",2013-07-15,"20004","",,"",7,1
"211888220020004","247063599010661",39,1,1,561,2012,2,1,"SH",1,12,"",2013-07-15,"20004","",,"",7,1
"211888221020004","247063599010661",39,1,1,561,2012,2,1,"SH",2,1,"",2013-07-15,"20004","",,"",7,1
"211888222020004","247063599010661",39,1,1,561,2012,2,1,"SH",3,0,"",2013-07-15,"20004","",,"",7,1
"211888223020004","247063599010661",39,1,1,561,2012,2,1,"SH",4,0,"",2013-07-15,"20004","",,"",7,1
"211888224020004","247063599010661",39,1,1,561,2012,2,1,"SH",5,12,"",2013-07-15,"20004","",,"",7,1
"211888210020004","247063599010661",39,1,1,561,2012,2,1,"TT",1,10,"",2013-07-15,"20004","",,"",7,1
"211888211020004","247063599010661",39,1,1,561,2012,2,1,"TT",2,6,"",2013-07-15,"20004","",,"",7,1
"211888212020004","247063599010661",39,1,1,561,2012,2,1,"TT",3,10,"",2013-07-15,"20004","",,"",7,1
"211888213020004","247063599010661",39,1,1,561,2012,2,1,"TT",4,90,"",2013-07-15,"20004","",,"",7,1
"211888214020004","247063599010661",39,1,1,561,2012,2,1,"TT",5,95,"",2013-07-15,"20004","",,"",7,1
"211888255020004","247063599010661",39,1,1,561,2012,3,1,"FB",1,1,"",2013-07-15,"20004","",,"",7,1
"211888256020004","247063599010661",39,1,1,561,2012,3,1,"FB",2,0,"",2013-07-15,"20004","",,"",7,1
"211888257020004","247063599010661",39,1,1,561,2012,3,1,"FB",3,0,"",2013-07-15,"20004","",,"",7,1
"211888258020004","247063599010661",39,1,1,561,2012,3,1,"FB",4,0,"",2013-07-15,"20004","",,"",7,1
"211888259020004","247063599010661",39,1,1,561,2012,3,1,"FB",5,1,"",2013-07-15,"20004","",,"",7,1
"211888260020004","247063599010661",39,1,1,561,2012,3,1,"GR",1,10,"",2013-07-15,"20004","",,"",7,1
"211888261020004","247063599010661",39,1,1,561,2012,3,1,"GR",2,0,"",2013-07-15,"20004","",,"",7,1
"211888262020004","247063599010661",39,1,1,561,2012,3,1,"GR",3,0,"",2013-07-15,"20004","",,"",7,1
"211888263020004","247063599010661",39,1,1,561,2012,3,1,"GR",4,0,"",2013-07-15,"20004","",,"",7,1
"211888264020004","247063599010661",39,1,1,561,2012,3,1,"GR",5,10,"",2013-07-15,"20004","",,"",7,1
"211888245020004","247063599010661",39,1,1,561,2012,3,1,"NT",1,0,"",2013-07-15,"20004","",,"",7,1
"211888246020004","247063599010661",39,1,1,561,2012,3,1,"NT",2,0,"",2013-07-15,"20004","",,"",7,1
"211888247020004","247063599010661",39,1,1,561,2012,3,1,"NT",3,0,"",2013-07-15,"20004","",,"",7,1
"211888248020004","247063599010661",39,1,1,561,2012,3,1,"NT",4,0,"",2013-07-15,"20004","",,"",7,1
"211888249020004","247063599010661",39,1,1,561,2012,3,1,"NT",5,0,"",2013-07-15,"20004","",,"",7,1
"211888250020004","247063599010661",39,1,1,561,2012,3,1,"SH",1,12,"",2013-07-15,"20004","",,"",7,1
"211888251020004","247063599010661",39,1,1,561,2012,3,1,"SH",2,3,"",2013-07-15,"20004","",,"",7,1
"211888252020004","247063599010661",39,1,1,561,2012,3,1,"SH",3,0,"",2013-07-15,"20004","",,"",7,1
"211888253020004","247063599010661",39,1,1,561,2012,3,1,"SH",4,0,"",2013-07-15,"20004","",,"",7,1
"211888254020004","247063599010661",39,1,1,561,2012,3,1,"SH",5,12,"",2013-07-15,"20004","",,"",7,1
"211888240020004","247063599010661",39,1,1,561,2012,3,1,"TT",1,15,"",2013-07-15,"20004","",,"",7,1
"211888241020004","247063599010661",39,1,1,561,2012,3,1,"TT",2,10,"",2013-07-15,"20004","",,"",7,1
"211888242020004","247063599010661",39,1,1,561,2012,3,1,"TT",3,18,"",2013-07-15,"20004","",,"",7,1
"211888243020004","247063599010661",39,1,1,561,2012,3,1,"TT",4,95,"",2013-07-15,"20004","",,"",7,1
"211888244020004","247063599010661",39,1,1,561,2012,3,1,"TT",5,95,"",2013-07-15,"20004","",,"",7,1
"211888285020004","247063599010661",39,1,1,561,2012,4,1,"FB",1,3,"",2013-07-15,"20004","",,"",7,1
"211888286020004","247063599010661",39,1,1,561,2012,4,1,"FB",2,0,"",2013-07-15,"20004","",,"",7,1
"211888287020004","247063599010661",39,1,1,561,2012,4,1,"FB",3,0,"",2013-07-15,"20004","",,"",7,1
"211888288020004","247063599010661",39,1,1,561,2012,4,1,"FB",4,0,"",2013-07-15,"20004","",,"",7,1
"211888289020004","247063599010661",39,1,1,561,2012,4,1,"FB",5,3,"",2013-07-15,"20004","",,"",7,1
"211888290020004","247063599010661",39,1,1,561,2012,4,1,"GR",1,4,"",2013-07-15,"20004","",,"",7,1
"211888291020004","247063599010661",39,1,1,561,2012,4,1,"GR",2,0,"",2013-07-15,"20004","",,"",7,1
"211888292020004","247063599010661",39,1,1,561,2012,4,1,"GR",3,0,"",2013-07-15,"20004","",,"",7,1
"211888293020004","247063599010661",39,1,1,561,2012,4,1,"GR",4,0,"",2013-07-15,"20004","",,"",7,1
"211888294020004","247063599010661",39,1,1,561,2012,4,1,"GR",5,4,"",2013-07-15,"20004","",,"",7,1
"211888275020004","247063599010661",39,1,1,561,2012,4,1,"NT",1,0,"",2013-07-15,"20004","",,"",7,1
"211888276020004","247063599010661",39,1,1,561,2012,4,1,"NT",2,0,"",2013-07-15,"20004","",,"",7,1
"211888277020004","247063599010661",39,1,1,561,2012,4,1,"NT",3,0,"",2013-07-15,"20004","",,"",7,1
"211888278020004","247063599010661",39,1,1,561,2012,4,1,"NT",4,0,"",2013-07-15,"20004","",,"",7,1
"211888279020004","247063599010661",39,1,1,561,2012,4,1,"NT",5,0,"",2013-07-15,"20004","",,"",7,1
"211888280020004","247063599010661",39,1,1,561,2012,4,1,"SH",1,13,"",2013-07-15,"20004","",,"",7,1
"211888281020004","247063599010661",39,1,1,561,2012,4,1,"SH",2,6,"",2013-07-15,"20004","",,"",7,1
"211888282020004","247063599010661",39,1,1,561,2012,4,1,"SH",3,0,"",2013-07-15,"20004","",,"",7,1
"211888283020004","247063599010661",39,1,1,561,2012,4,1,"SH",4,0,"",2013-07-15,"20004","",,"",7,1
"211888284020004","247063599010661",39,1,1,561,2012,4,1,"SH",5,13,"",2013-07-15,"20004","",,"",7,1
"211888270020004","247063599010661",39,1,1,561,2012,4,1,"TT",1,10,"",2013-07-15,"20004","",,"",7,1
"211888271020004","247063599010661",39,1,1,561,2012,4,1,"TT",2,1,"",2013-07-15,"20004","",,"",7,1
"211888272020004","247063599010661",39,1,1,561,2012,4,1,"TT",3,7,"",2013-07-15,"20004","",,"",7,1
"211888273020004","247063599010661",39,1,1,561,2012,4,1,"TT",4,95,"",2013-07-15,"20004","",,"",7,1
"211888274020004","247063599010661",39,1,1,561,2012,4,1,"TT",5,95,"",2013-07-15,"20004","",,"",7,1
"211890266020004","247063595010661",39,1,1,599,2012,1,1,"FB",1,12,"",2013-07-15,"20004","",,"",7,1
"211890267020004","247063595010661",39,1,1,599,2012,1,1,"FB",2,1,"",2013-07-15,"20004","",,"",7,1
"211890268020004","247063595010661",39,1,1,599,2012,1,1,"FB",3,0,"",2013-07-15,"20004","",,"",7,1
"211890269020004","247063595010661",39,1,1,599,2012,1,1,"FB",4,0,"",2013-07-15,"20004","",,"",7,1
"211890270020004","247063595010661",39,1,1,599,2012,1,1,"FB",5,12,"",2013-07-15,"20004","",,"",7,1
"211890271020004","247063595010661",39,1,1,599,2012,1,1,"GR",1,50,"",2013-07-15,"20004","",,"",7,1
"211890272020004","247063595010661",39,1,1,599,2012,1,1,"GR",2,2,"",2013-07-15,"20004","",,"",7,1
"211890273020004","247063595010661",39,1,1,599,2012,1,1,"GR",3,0,"",2013-07-15,"20004","",,"",7,1
"211890274020004","247063595010661",39,1,1,599,2012,1,1,"GR",4,0,"",2013-07-15,"20004","",,"",7,1
"211890275020004","247063595010661",39,1,1,599,2012,1,1,"GR",5,50,"",2013-07-15,"20004","",,"",7,1
"211890256020004","247063595010661",39,1,1,599,2012,1,1,"NT",1,0,"",2013-07-15,"20004","",,"",7,1
"211890257020004","247063595010661",39,1,1,599,2012,1,1,"NT",2,0,"",2013-07-15,"20004","",,"",7,1
"211890258020004","247063595010661",39,1,1,599,2012,1,1,"NT",3,0,"",2013-07-15,"20004","",,"",7,1
"211890259020004","247063595010661",39,1,1,599,2012,1,1,"NT",4,0,"",2013-07-15,"20004","",,"",7,1
"211890260020004","247063595010661",39,1,1,599,2012,1,1,"NT",5,0,"",2013-07-15,"20004","",,"",7,1
"211890261020004","247063595010661",39,1,1,599,2012,1,1,"SH",1,30,"",2013-07-15,"20004","",,"",7,1
"211890262020004","247063595010661",39,1,1,599,2012,1,1,"SH",2,30,"",2013-07-15,"20004","",,"",7,1
"211890263020004","247063595010661",39,1,1,599,2012,1,1,"SH",3,7,"",2013-07-15,"20004","",,"",7,1
"211890264020004","247063595010661",39,1,1,599,2012,1,1,"SH",4,1,"",2013-07-15,"20004","",,"",7,1
"211890265020004","247063595010661",39,1,1,599,2012,1,1,"SH",5,35,"",2013-07-15,"20004","",,"",7,1
"211890251020004","247063595010661",39,1,1,599,2012,1,1,"TT",1,25,"",2013-07-15,"20004","",,"",7,1
"211890252020004","247063595010661",39,1,1,599,2012,1,1,"TT",2,15,"",2013-07-15,"20004","",,"",7,1
"211890253020004","247063595010661",39,1,1,599,2012,1,1,"TT",3,40,"",2013-07-15,"20004","",,"",7,1
"211890254020004","247063595010661",39,1,1,599,2012,1,1,"TT",4,75,"",2013-07-15,"20004","",,"",7,1
"211890255020004","247063595010661",39,1,1,599,2012,1,1,"TT",5,90,"",2013-07-15,"20004","",,"",7,1
"211890296020004","247063595010661",39,1,1,599,2012,2,1,"FB",1,1,"",2013-07-15,"20004","",,"",7,1
"211890297020004","247063595010661",39,1,1,599,2012,2,1,"FB",2,0,"",2013-07-15,"20004","",,"",7,1
"211890298020004","247063595010661",39,1,1,599,2012,2,1,"FB",3,0,"",2013-07-15,"20004","",,"",7,1
"211890299020004","247063595010661",39,1,1,599,2012,2,1,"FB",4,0,"",2013-07-15,"20004","",,"",7,1
"211890300020004","247063595010661",39,1,1,599,2012,2,1,"FB",5,1,"",2013-07-15,"20004","",,"",7,1
"211890301020004","247063595010661",39,1,1,599,2012,2,1,"GR",1,1,"",2013-07-15,"20004","",,"",7,1
"211890302020004","247063595010661",39,1,1,599,2012,2,1,"GR",2,0,"",2013-07-15,"20004","",,"",7,1
"211890303020004","247063595010661",39,1,1,599,2012,2,1,"GR",3,0,"",2013-07-15,"20004","",,"",7,1
"211890304020004","247063595010661",39,1,1,599,2012,2,1,"GR",4,0,"",2013-07-15,"20004","",,"",7,1
"211890305020004","247063595010661",39,1,1,599,2012,2,1,"GR",5,1,"",2013-07-15,"20004","",,"",7,1
"211890286020004","247063595010661",39,1,1,599,2012,2,1,"NT",1,0,"",2013-07-15,"20004","",,"",7,1
"211890287020004","247063595010661",39,1,1,599,2012,2,1,"NT",2,0,"",2013-07-15,"20004","",,"",7,1
"211890288020004","247063595010661",39,1,1,599,2012,2,1,"NT",3,0,"",2013-07-15,"20004","",,"",7,1
"211890289020004","247063595010661",39,1,1,599,2012,2,1,"NT",4,0,"",2013-07-15,"20004","",,"",7,1
"211890290020004","247063595010661",39,1,1,599,2012,2,1,"NT",5,0,"",2013-07-15,"20004","",,"",7,1
"211890291020004","247063595010661",39,1,1,599,2012,2,1,"SH",1,25,"",2013-07-15,"20004","",,"",7,1
"211890292020004","247063595010661",39,1,1,599,2012,2,1,"SH",2,3,"",2013-07-15,"20004","",,"",7,1
"211890293020004","247063595010661",39,1,1,599,2012,2,1,"SH",3,0,"",2013-07-15,"20004","",,"",7,1
"211890282020004","247063595010661",39,1,1,599,2012,2,1,"TT",2,10,"",2013-07-15,"20004","",,"",7,1
"211890294020004","247063595010661",39,1,1,599,2012,2,1,"SH",4,0,"",2013-07-15,"20004","",,"",7,1
"211890295020004","247063595010661",39,1,1,599,2012,2,1,"SH",5,25,"",2013-07-15,"20004","",,"",7,1
"211890281020004","247063595010661",39,1,1,599,2012,2,1,"TT",1,50,"",2013-07-15,"20004","",,"",7,1
"211890283020004","247063595010661",39,1,1,599,2012,2,1,"TT",3,15,"",2013-07-15,"20004","",,"",7,1
"211890284020004","247063595010661",39,1,1,599,2012,2,1,"TT",4,70,"",2013-07-15,"20004","",,"",7,1
"211890285020004","247063595010661",39,1,1,599,2012,2,1,"TT",5,80,"",2013-07-15,"20004","",,"",7,1
"211890326020004","247063595010661",39,1,1,599,2012,3,1,"FB",1,10,"",2013-07-15,"20004","",,"",7,1
"211890327020004","247063595010661",39,1,1,599,2012,3,1,"FB",2,1,"",2013-07-15,"20004","",,"",7,1
"211890328020004","247063595010661",39,1,1,599,2012,3,1,"FB",3,0,"",2013-07-15,"20004","",,"",7,1
"211890329020004","247063595010661",39,1,1,599,2012,3,1,"FB",4,0,"",2013-07-15,"20004","",,"",7,1
"211890330020004","247063595010661",39,1,1,599,2012,3,1,"FB",5,10,"",2013-07-15,"20004","",,"",7,1
"211890331020004","247063595010661",39,1,1,599,2012,3,1,"GR",1,70,"",2013-07-15,"20004","",,"",7,1
"211890332020004","247063595010661",39,1,1,599,2012,3,1,"GR",2,3,"",2013-07-15,"20004","",,"",7,1
"211890333020004","247063595010661",39,1,1,599,2012,3,1,"GR",3,0,"",2013-07-15,"20004","",,"",7,1
"211890334020004","247063595010661",39,1,1,599,2012,3,1,"GR",4,0,"",2013-07-15,"20004","",,"",7,1
"211890335020004","247063595010661",39,1,1,599,2012,3,1,"GR",5,70,"",2013-07-15,"20004","",,"",7,1
"211890316020004","247063595010661",39,1,1,599,2012,3,1,"NT",1,0,"",2013-07-15,"20004","",,"",7,1
"211890317020004","247063595010661",39,1,1,599,2012,3,1,"NT",2,0,"",2013-07-15,"20004","",,"",7,1
"211890318020004","247063595010661",39,1,1,599,2012,3,1,"NT",3,0,"",2013-07-15,"20004","",,"",7,1
"211890319020004","247063595010661",39,1,1,599,2012,3,1,"NT",4,0,"",2013-07-15,"20004","",,"",7,1
"211890320020004","247063595010661",39,1,1,599,2012,3,1,"NT",5,0,"",2013-07-15,"20004","",,"",7,1
"211890321020004","247063595010661",39,1,1,599,2012,3,1,"SH",1,23,"",2013-07-15,"20004","",,"",7,1
"211890322020004","247063595010661",39,1,1,599,2012,3,1,"SH",2,23,"",2013-07-15,"20004","",,"",7,1
"211890323020004","247063595010661",39,1,1,599,2012,3,1,"SH",3,4,"",2013-07-15,"20004","",,"",7,1
"211890324020004","247063595010661",39,1,1,599,2012,3,1,"SH",4,0,"",2013-07-15,"20004","",,"",7,1
"211890325020004","247063595010661",39,1,1,599,2012,3,1,"SH",5,30,"",2013-07-15,"20004","",,"",7,1
"211890311020004","247063595010661",39,1,1,599,2012,3,1,"TT",1,10,"",2013-07-15,"20004","",,"",7,1
"211890312020004","247063595010661",39,1,1,599,2012,3,1,"TT",2,16,"",2013-07-15,"20004","",,"",7,1
"211890313020004","247063595010661",39,1,1,599,2012,3,1,"TT",3,32,"",2013-07-15,"20004","",,"",7,1
"211890314020004","247063595010661",39,1,1,599,2012,3,1,"TT",4,50,"",2013-07-15,"20004","",,"",7,1
"211890315020004","247063595010661",39,1,1,599,2012,3,1,"TT",5,65,"",2013-07-15,"20004","",,"",7,1
"211890356020004","247063595010661",39,1,1,599,2012,4,1,"FB",1,10,"",2013-07-15,"20004","",,"",7,1
"211890357020004","247063595010661",39,1,1,599,2012,4,1,"FB",2,0,"",2013-07-15,"20004","",,"",7,1
"211890358020004","247063595010661",39,1,1,599,2012,4,1,"FB",3,0,"",2013-07-15,"20004","",,"",7,1
"211890359020004","247063595010661",39,1,1,599,2012,4,1,"FB",4,0,"",2013-07-15,"20004","",,"",7,1
"211890360020004","247063595010661",39,1,1,599,2012,4,1,"FB",5,10,"",2013-07-15,"20004","",,"",7,1
"211890361020004","247063595010661",39,1,1,599,2012,4,1,"GR",1,30,"",2013-07-15,"20004","",,"",7,1
"211890362020004","247063595010661",39,1,1,599,2012,4,1,"GR",2,1,"",2013-07-15,"20004","",,"",7,1
"211890363020004","247063595010661",39,1,1,599,2012,4,1,"GR",3,0,"",2013-07-15,"20004","",,"",7,1
"211890364020004","247063595010661",39,1,1,599,2012,4,1,"GR",4,0,"",2013-07-15,"20004","",,"",7,1
"211890365020004","247063595010661",39,1,1,599,2012,4,1,"GR",5,30,"",2013-07-15,"20004","",,"",7,1
"211890346020004","247063595010661",39,1,1,599,2012,4,1,"NT",1,0,"",2013-07-15,"20004","",,"",7,1
"211890347020004","247063595010661",39,1,1,599,2012,4,1,"NT",2,0,"",2013-07-15,"20004","",,"",7,1
"211890348020004","247063595010661",39,1,1,599,2012,4,1,"NT",3,0,"",2013-07-15,"20004","",,"",7,1
"211890349020004","247063595010661",39,1,1,599,2012,4,1,"NT",4,0,"",2013-07-15,"20004","",,"",7,1
"211890350020004","247063595010661",39,1,1,599,2012,4,1,"NT",5,0,"",2013-07-15,"20004","",,"",7,1
"211890351020004","247063595010661",39,1,1,599,2012,4,1,"SH",1,10,"",2013-07-15,"20004","",,"",7,1
"211890352020004","247063595010661",39,1,1,599,2012,4,1,"SH",2,7,"",2013-07-15,"20004","",,"",7,1
"211890353020004","247063595010661",39,1,1,599,2012,4,1,"SH",3,0,"",2013-07-15,"20004","",,"",7,1
"211890354020004","247063595010661",39,1,1,599,2012,4,1,"SH",4,1,"",2013-07-15,"20004","",,"",7,1
"211890355020004","247063595010661",39,1,1,599,2012,4,1,"SH",5,10,"",2013-07-15,"20004","",,"",7,1
"211890344020004","247063595010661",39,1,1,599,2012,4,1,"TT",4,70,"",2013-07-15,"20004","",,"",7,1
"211890341020004","247063595010661",39,1,1,599,2012,4,1,"TT",1,20,"",2013-07-15,"20004","",,"",7,1
"211890342020004","247063595010661",39,1,1,599,2012,4,1,"TT",2,15,"",2013-07-15,"20004","",,"",7,1
"211890343020004","247063595010661",39,1,1,599,2012,4,1,"TT",3,55,"",2013-07-15,"20004","",,"",7,1
"211890345020004","247063595010661",39,1,1,599,2012,4,1,"TT",5,85,"",2013-07-15,"20004","",,"",7,1
"211891294020004","247063358010661",39,6,3,818,2012,1,1,"FB",1,6,"",2013-07-15,"20004","",,"",7,1
"211891295020004","247063358010661",39,6,3,818,2012,1,1,"FB",2,2,"",2013-07-15,"20004","",,"",7,1
"211891296020004","247063358010661",39,6,3,818,2012,1,1,"FB",3,0,"",2013-07-15,"20004","",,"",7,1
"211891297020004","247063358010661",39,6,3,818,2012,1,1,"FB",4,0,"",2013-07-15,"20004","",,"",7,1
"211891298020004","247063358010661",39,6,3,818,2012,1,1,"FB",5,7,"",2013-07-15,"20004","",,"",7,1
"211891299020004","247063358010661",39,6,3,818,2012,1,1,"GR",1,16,"",2013-07-15,"20004","",,"",7,1
"211891300020004","247063358010661",39,6,3,818,2012,1,1,"GR",2,12,"",2013-07-15,"20004","",,"",7,1
"211891301020004","247063358010661",39,6,3,818,2012,1,1,"GR",3,0,"",2013-07-15,"20004","",,"",7,1
"211891302020004","247063358010661",39,6,3,818,2012,1,1,"GR",4,0,"",2013-07-15,"20004","",,"",7,1
"211891303020004","247063358010661",39,6,3,818,2012,1,1,"GR",5,18,"",2013-07-15,"20004","",,"",7,1
"211891284020004","247063358010661",39,6,3,818,2012,1,1,"NT",1,0,"",2013-07-15,"20004","",,"",7,1
"211891285020004","247063358010661",39,6,3,818,2012,1,1,"NT",2,0,"",2013-07-15,"20004","",,"",7,1
"211891286020004","247063358010661",39,6,3,818,2012,1,1,"NT",3,0,"",2013-07-15,"20004","",,"",7,1
"211891287020004","247063358010661",39,6,3,818,2012,1,1,"NT",4,0,"",2013-07-15,"20004","",,"",7,1
"211891288020004","247063358010661",39,6,3,818,2012,1,1,"NT",5,0,"",2013-07-15,"20004","",,"",7,1
"211891289020004","247063358010661",39,6,3,818,2012,1,1,"SH",1,70,"",2013-07-15,"20004","",,"",7,1
"211891290020004","247063358010661",39,6,3,818,2012,1,1,"SH",2,35,"",2013-07-15,"20004","",,"",7,1
"211891291020004","247063358010661",39,6,3,818,2012,1,1,"SH",3,6,"",2013-07-15,"20004","",,"",7,1
"211891292020004","247063358010661",39,6,3,818,2012,1,1,"SH",4,11,"",2013-07-15,"20004","",,"",7,1
"211891293020004","247063358010661",39,6,3,818,2012,1,1,"SH",5,85,"",2013-07-15,"20004","",,"",7,1
"211891279020004","247063358010661",39,6,3,818,2012,1,1,"TT",1,6,"",2013-07-15,"20004","",,"",7,1
"211891280020004","247063358010661",39,6,3,818,2012,1,1,"TT",2,8,"",2013-07-15,"20004","",,"",7,1
"211891281020004","247063358010661",39,6,3,818,2012,1,1,"TT",3,20,"",2013-07-15,"20004","",,"",7,1
"211891282020004","247063358010661",39,6,3,818,2012,1,1,"TT",4,99,"",2013-07-15,"20004","",,"",7,1
"211891283020004","247063358010661",39,6,3,818,2012,1,1,"TT",5,99,"",2013-07-15,"20004","",,"",7,1
"211891324020004","247063358010661",39,6,3,818,2012,2,1,"FB",1,8,"",2013-07-15,"20004","",,"",7,1
"211891325020004","247063358010661",39,6,3,818,2012,2,1,"FB",2,3,"",2013-07-15,"20004","",,"",7,1
"211891326020004","247063358010661",39,6,3,818,2012,2,1,"FB",3,0,"",2013-07-15,"20004","",,"",7,1
"211891327020004","247063358010661",39,6,3,818,2012,2,1,"FB",4,0,"",2013-07-15,"20004","",,"",7,1
"211891328020004","247063358010661",39,6,3,818,2012,2,1,"FB",5,9,"",2013-07-15,"20004","",,"",7,1
"211891329020004","247063358010661",39,6,3,818,2012,2,1,"GR",1,2,"",2013-07-15,"20004","",,"",7,1
"211891330020004","247063358010661",39,6,3,818,2012,2,1,"GR",2,0,"",2013-07-15,"20004","",,"",7,1
"211891331020004","247063358010661",39,6,3,818,2012,2,1,"GR",3,0,"",2013-07-15,"20004","",,"",7,1
"211891332020004","247063358010661",39,6,3,818,2012,2,1,"GR",4,0,"",2013-07-15,"20004","",,"",7,1
"211891333020004","247063358010661",39,6,3,818,2012,2,1,"GR",5,2,"",2013-07-15,"20004","",,"",7,1
"211891314020004","247063358010661",39,6,3,818,2012,2,1,"NT",1,0,"",2013-07-15,"20004","",,"",7,1
"211891315020004","247063358010661",39,6,3,818,2012,2,1,"NT",2,0,"",2013-07-15,"20004","",,"",7,1
"211891316020004","247063358010661",39,6,3,818,2012,2,1,"NT",3,0,"",2013-07-15,"20004","",,"",7,1
"211891317020004","247063358010661",39,6,3,818,2012,2,1,"NT",4,0,"",2013-07-15,"20004","",,"",7,1
