"CN","INVYR","STATECD","COUNTYCD","O3PLOT","FIELD_ID","SPLIT_PLOTID","GROUND_LOC_CD","MEASYEAR","BIOSPCD","AMNT_MAX","AMNT_MIN","AMNT_MEAN","SVRTY_MAX","SVRTY_MIN","SVRTY_MEAN","PLANT_INJ_CNT","PLANT_EVAL_CNT","PLANT_RATIO","BIOSPCD_SUM","BIOSPCD_INDEX","ELEV","PLTSIZE","ASPECT","TERRPOS","SOILDPTH","SOILDRN","PLOTWET","PLTDSTRB","CREATED_BY","CREATED_DATE","CREATED_IN_INSTANCE","MODIFIED_BY","MODIFIED_DATE","MODIFIED_IN_INSTANCE"
"226161338010661",2006,39,37,4851,485,1,1,2006,365,0.16,0.16,0.16,0.035,0.035,0.035,2,30,0.06666667,0.0056,0.00037333,929,1,0,4,1,1,,0,"",2010-06-07,"10661","",,""
"226161339010661",2006,39,37,4851,485,1,1,2006,366,0,0,0,0,0,0,0,30,0,0,0,929,1,0,4,1,1,,0,"",2010-06-07,"10661","",,""
"226161340010661",2006,39,37,4851,485,1,1,2006,541,0.63,0.035,0.155,0.38,0.035,0.11333333,6,31,0.19354839,0.04498333,0.00870645,929,1,0,4,1,1,,0,"",2010-06-07,"10661","",,""
"226161329010661",2006,39,41,8681,868,1,1,2006,365,0,0,0,0,0,0,0,30,0,0,0,822,1,0,4,1,1,,0,"",2010-06-07,"10661","",,""
"226161330010661",2006,39,41,8681,868,1,1,2006,366,0,0,0,0,0,0,0,30,0,0,0,822,1,0,4,1,1,,0,"",2010-06-07,"10661","",,""
"226161331010661",2006,39,41,8681,868,1,1,2006,541,0,0,0,0,0,0,0,30,0,0,0,822,1,0,4,1,1,,0,"",2010-06-07,"10661","",,""
"226161342010661",2006,39,41,8921,892,1,2,2006,365,0.035,0.035,0.035,0.16,0.16,0.16,3,30,0.1,0.0056,0.00056,830,1,0,4,1,1,,0,"",2010-06-07,"10661","",2010-09-07,"10661"
"226161343010661",2006,39,41,8921,892,1,2,2006,366,0,0,0,0,0,0,0,30,0,0,0,830,1,0,4,1,1,,0,"",2010-06-07,"10661","",2010-09-07,"10661"
"226161344010661",2006,39,41,8921,892,1,2,2006,541,0,0,0,0,0,0,0,30,0,0,0,830,1,0,4,1,1,,0,"",2010-06-07,"10661","",2010-09-07,"10661"
"226161560010661",2006,39,43,9581,958,1,1,2006,365,0,0,0,0,0,0,0,30,0,0,0,514,1,0,4,1,1,,0,"",2010-06-07,"10661","",,""
"226161561010661",2006,39,43,9581,958,1,1,2006,366,0,0,0,0,0,0,0,30,0,0,0,514,1,0,4,1,1,,0,"",2010-06-07,"10661","",,""
"226161562010661",2006,39,43,9581,958,1,1,2006,541,0,0,0,0,0,0,0,30,0,0,0,514,1,0,4,1,1,,0,"",2010-06-07,"10661","",,""
"226161049010661",2006,39,47,12131,1213,1,1,2006,366,0,0,0,0,0,0,0,30,0,0,0,750,1,0,4,1,1,,0,"",2010-06-07,"10661","",,""
"226161050010661",2006,39,47,12131,1213,1,1,2006,762,0,0,0,0,0,0,0,30,0,0,0,750,1,0,4,1,1,,0,"",2010-06-07,"10661","",,""
"226161051010661",2006,39,47,12131,1213,1,1,2006,915,0,0,0,0,0,0,0,30,0,0,0,750,1,0,4,1,1,,0,"",2010-06-07,"10661","",,""
"226161063010661",2006,39,57,14351,1435,1,1,2006,915,0,0,0,0,0,0,0,30,0,0,0,802,1,0,4,1,1,,0,"",2010-06-07,"10661","",,""
"226161061010661",2006,39,57,14351,1435,1,1,2006,365,0,0,0,0,0,0,0,30,0,0,0,802,1,0,4,1,1,,0,"",2010-06-07,"10661","",,""
"226161062010661",2006,39,57,14351,1435,1,1,2006,366,0,0,0,0,0,0,0,30,0,0,0,802,1,0,4,1,1,,0,"",2010-06-07,"10661","",,""
"226161313010661",2006,39,59,3181,318,1,1,2006,366,0,0,0,0,0,0,0,30,0,0,0,703,1,10,3,1,1,,0,"",2010-06-07,"10661","",,""
"226161314010661",2006,39,59,3181,318,1,1,2006,541,0,0,0,0,0,0,0,30,0,0,0,703,1,10,3,1,1,,0,"",2010-06-07,"10661","",,""
"226161315010661",2006,39,59,3181,318,1,1,2006,762,0,0,0,0,0,0,0,30,0,0,0,703,1,10,3,1,1,,0,"",2010-06-07,"10661","",,""
"226161045010661",2006,39,71,8741,874,1,1,2006,365,0,0,0,0,0,0,0,30,0,0,0,1024,1,0,4,1,1,,0,"",2010-06-07,"10661","",,""
"226161046010661",2006,39,71,8741,874,1,1,2006,366,0,0,0,0,0,0,0,30,0,0,0,1024,1,0,4,1,1,,0,"",2010-06-07,"10661","",,""
"226161047010661",2006,39,71,8741,874,1,1,2006,915,0,0,0,0,0,0,0,30,0,0,0,1024,1,0,4,1,1,,0,"",2010-06-07,"10661","",,""
"226161037010661",2006,39,73,1881,188,1,1,2006,366,0,0,0,0,0,0,0,30,0,0,0,1142,1,0,1,1,1,,0,"",2010-06-07,"10661","",,""
"226161038010661",2006,39,73,1881,188,1,1,2006,621,0,0,0,0,0,0,0,30,0,0,0,1142,1,0,1,1,1,,0,"",2010-06-07,"10661","",,""
"226161039010661",2006,39,73,1881,188,1,1,2006,931,0,0,0,0,0,0,0,30,0,0,0,1142,1,0,1,1,1,,0,"",2010-06-07,"10661","",,""
"226161556010661",2006,39,77,13861,1386,1,1,2006,365,0,0,0,0,0,0,0,30,0,0,0,785,1,0,4,1,1,,0,"",2010-06-07,"10661","",,""
"226161557010661",2006,39,77,13861,1386,1,1,2006,366,0,0,0,0,0,0,0,30,0,0,0,785,1,0,4,1,1,,0,"",2010-06-07,"10661","",,""
"226161558010661",2006,39,77,13861,1386,1,1,2006,762,0,0,0,0,0,0,0,30,0,0,0,785,1,0,4,1,1,,0,"",2010-06-07,"10661","",,""
"226160718010661",2006,39,79,3701,370,1,1,2006,366,0,0,0,0,0,0,0,30,0,0,0,628,1,0,4,1,1,,0,"",2010-06-07,"10661","",,""
"226160719010661",2006,39,79,3701,370,1,1,2006,541,0,0,0,0,0,0,0,30,0,0,0,628,1,0,4,1,1,,0,"",2010-06-07,"10661","",,""
"226160720010661",2006,39,79,3701,370,1,1,2006,915,0,0,0,0,0,0,0,30,0,0,0,628,1,0,4,1,1,,0,"",2010-06-07,"10661","",,""
"226161548010661",2006,39,85,2351,235,1,1,2006,366,0,0,0,0,0,0,0,30,0,0,0,920,1,0,4,1,1,,0,"",2010-06-07,"10661","",,""
"226161549010661",2006,39,85,2351,235,1,1,2006,541,0,0,0,0,0,0,0,30,0,0,0,920,1,0,4,1,1,,0,"",2010-06-07,"10661","",,""
"226161550010661",2006,39,85,2351,235,1,1,2006,762,0,0,0,0,0,0,0,30,0,0,0,920,1,0,4,1,1,,0,"",2010-06-07,"10661","",,""
"226161325010661",2006,39,89,1221,122,1,2,2006,365,0,0,0,0,0,0,0,30,0,0,0,1069,1,0,3,1,1,,0,"",2010-06-07,"10661","",2010-09-07,"10661"
"226161326010661",2006,39,89,1221,122,1,2,2006,762,0.16,0.035,0.0975,0.035,0.035,0.035,2,30,0.06666667,0.0034125,0.0002275,1069,1,0,3,1,1,,0,"",2010-06-07,"10661","",2010-09-07,"10661"
"226161327010661",2006,39,89,1221,122,1,2,2006,931,0,0,0,0,0,0,0,30,0,0,0,1069,1,0,3,1,1,,0,"",2010-06-07,"10661","",2010-09-07,"10661"
"226161544010661",2006,39,103,5321,532,1,1,2006,366,0.88,0.63,0.8175,0.035,0.035,0.035,4,30,0.13333333,0.0286125,0.003815,1066,1,0,4,1,1,,0,"",2010-06-07,"10661","",,""
"226161545010661",2006,39,103,5321,532,1,1,2006,541,0,0,0,0,0,0,0,30,0,0,0,1066,1,0,4,1,1,,0,"",2010-06-07,"10661","",,""
"226161546010661",2006,39,103,5321,532,1,1,2006,762,0,0,0,0,0,0,0,30,0,0,0,1066,1,0,4,1,1,,0,"",2010-06-07,"10661","",,""
"226161554010661",2006,39,103,6151,615,1,1,2006,541,0,0,0,0,0,0,0,30,0,0,0,841,1,0,4,1,1,,0,"",2010-06-07,"10661","",,""
"226161552010661",2006,39,103,6151,615,1,1,2006,365,0,0,0,0,0,0,0,30,0,0,0,841,1,0,4,1,1,,0,"",2010-06-07,"10661","",,""
"226161553010661",2006,39,103,6151,615,1,1,2006,366,0,0,0,0,0,0,0,30,0,0,0,841,1,0,4,1,1,,0,"",2010-06-07,"10661","",,""
"226160704010661",2006,39,105,7461,746,1,1,2006,365,0,0,0,0,0,0,0,30,0,0,0,485,1,65,1,1,1,,0,"",2010-06-07,"10661","",,""
"226160705010661",2006,39,105,7461,746,1,1,2006,366,0,0,0,0,0,0,0,30,0,0,0,485,1,65,1,1,1,,0,"",2010-06-07,"10661","",,""
"226160706010661",2006,39,105,7461,746,1,1,2006,762,0,0,0,0,0,0,0,18,0,0,0,485,1,65,1,1,1,,0,"",2010-06-07,"10661","",,""
"226160707010661",2006,39,105,7461,746,1,1,2006,915,0,0,0,0,0,0,0,30,0,0,0,485,1,65,1,1,1,,0,"",2010-06-07,"10661","",,""
"226161025010661",2006,39,111,4841,484,1,1,2006,366,0,0,0,0,0,0,0,30,0,0,0,984,1,130,3,1,1,,0,"",2010-06-07,"10661","",,""
"226161026010661",2006,39,111,4841,484,1,1,2006,762,0,0,0,0,0,0,0,30,0,0,0,984,1,130,3,1,1,,0,"",2010-06-07,"10661","",,""
"226161027010661",2006,39,111,4841,484,1,1,2006,931,0,0,0,0,0,0,0,30,0,0,0,984,1,130,3,1,1,,0,"",2010-06-07,"10661","",,""
"226161041010661",2006,39,119,11801,1180,1,1,2006,365,0.38,0.035,0.18375,0.16,0.035,0.081875,8,30,0.26666667,0.010025,0.00267333,687,1,310,1,1,1,,0,"",2010-06-07,"10661","",,""
"226161042010661",2006,39,119,11801,1180,1,1,2006,366,0,0,0,0,0,0,0,30,0,0,0,687,1,310,1,1,1,,0,"",2010-06-07,"10661","",,""
"226161043010661",2006,39,119,11801,1180,1,1,2006,541,0,0,0,0,0,0,0,30,0,0,0,687,1,310,1,1,1,,0,"",2010-06-07,"10661","",,""
"226161033010661",2006,39,131,8671,867,1,1,2006,365,0,0,0,0,0,0,0,30,0,0,0,609,1,0,4,1,1,,0,"",2010-06-07,"10661","",,""
"226161034010661",2006,39,131,8671,867,1,1,2006,366,0,0,0,0,0,0,0,30,0,0,0,609,1,0,4,1,1,,0,"",2010-06-07,"10661","",,""
"226161035010661",2006,39,131,8671,867,1,1,2006,931,0.88,0.63,0.71333333,0.16,0.16,0.16,3,30,0.1,0.11413333,0.01141333,609,1,0,4,1,1,,0,"",2010-06-07,"10661","",,""
"226161057010661",2006,39,135,2871,287,1,1,2006,365,0,0,0,0,0,0,0,30,0,0,0,863,1,0,4,1,1,,0,"",2010-06-07,"10661","",,""
"226161058010661",2006,39,135,2871,287,1,1,2006,366,0,0,0,0,0,0,0,30,0,0,0,863,1,0,4,1,1,,0,"",2010-06-07,"10661","",,""
"226161059010661",2006,39,135,2871,287,1,1,2006,541,0,0,0,0,0,0,0,30,0,0,0,863,1,0,4,1,1,,0,"",2010-06-07,"10661","",,""
"226160726010661",2006,39,145,4511,451,1,1,2006,365,0,0,0,0,0,0,0,30,0,0,0,440,1,0,4,1,1,,0,"",2010-06-07,"10661","",,""
"226160727010661",2006,39,145,4511,451,1,1,2006,366,0,0,0,0,0,0,0,30,0,0,0,440,1,0,4,1,1,,0,"",2010-06-07,"10661","",,""
"226074606010661",1997,39,1,11491,1149,1,1,1997,621,0,0,0,0,0,0,0,30,0,0,0,775,2,20,3,1,1,,0,"",2010-06-07,"10661","",,""
"226074607010661",1997,39,1,11491,1149,1,1,1997,915,0,0,0,0,0,0,0,29,0,0,0,775,2,20,3,1,1,,0,"",2010-06-07,"10661","",,""
"226074556010661",1997,39,5,9191,919,1,1,1997,541,0,0,0,0,0,0,0,19,0,0,0,1350,2,90,1,1,1,,0,"",2010-06-07,"10661","",,""
"226074557010661",1997,39,5,9191,919,1,1,1997,915,0.88,0.16,0.5125,0.63,0.035,0.41875,4,38,0.10526316,0.275325,0.02898158,1350,2,90,1,1,1,,0,"",2010-06-07,"10661","",,""
"226074558010661",1997,39,5,9191,919,1,1,1997,931,0,0,0,0,0,0,0,31,0,0,0,1350,2,90,1,1,1,,0,"",2010-06-07,"10661","",,""
"226074552010661",1997,39,29,9611,961,1,1,1997,541,0,0,0,0,0,0,0,10,0,0,0,1280,2,0,2,1,1,,0,"",2010-06-07,"10661","",,""
"226074553010661",1997,39,29,9611,961,1,1,1997,915,0,0,0,0,0,0,0,30,0,0,0,1280,2,0,2,1,1,,0,"",2010-06-07,"10661","",,""
"226074554010661",1997,39,29,9611,961,1,1,1997,931,0,0,0,0,0,0,0,25,0,0,0,1280,2,0,2,1,1,,0,"",2010-06-07,"10661","",,""
"226074560010661",1997,39,67,10341,1034,1,1,1997,365,0,0,0,0,0,0,0,14,0,0,0,1260,2,90,1,1,1,,0,"",2010-06-07,"10661","",,""
"226074561010661",1997,39,67,10341,1034,1,1,1997,541,0,0,0,0,0,0,0,13,0,0,0,1260,2,90,1,1,1,,0,"",2010-06-07,"10661","",,""
"226074562010661",1997,39,67,10341,1034,1,1,1997,611,0,0,0,0,0,0,0,47,0,0,0,1260,2,90,1,1,1,,0,"",2010-06-07,"10661","",,""
"226074548010661",1997,39,69,3461,346,1,1,1997,365,0.63,0.63,0.63,0.38,0.38,0.38,1,29,0.03448276,0.2394,0.00825517,670,2,0,5,1,1,,0,"",2010-06-07,"10661","",,""
"226074549010661",1997,39,69,3461,346,1,1,1997,366,0,0,0,0,0,0,0,31,0,0,0,670,2,0,5,1,1,,0,"",2010-06-07,"10661","",,""
"226074550010661",1997,39,69,3461,346,1,1,1997,915,0,0,0,0,0,0,0,33,0,0,0,670,2,0,5,1,1,,0,"",2010-06-07,"10661","",,""
"226074575010661",1997,39,73,2051,205,1,1,1997,365,0.16,0.16,0.16,0.16,0.16,0.16,2,23,0.08695652,0.0256,0.00222609,1100,2,120,1,1,1,,0,"",2010-06-07,"10661","",,""
"226074576010661",1997,39,73,2051,205,1,1,1997,621,0.63,0.16,0.43166667,0.38,0.035,0.07416667,12,30,0.4,0.03717917,0.01487167,1100,2,120,1,1,1,,0,"",2010-06-07,"10661","",,""
"226074577010661",1997,39,73,2051,205,1,1,1997,915,0.88,0.16,0.76,0.63,0.16,0.42666667,6,24,0.25,0.35626667,0.08906667,1100,2,120,1,1,1,,0,"",2010-06-07,"10661","",,""
"226074590010661",1997,39,79,1841,184,1,1,1997,365,0.63,0.035,0.39954545,0.38,0.035,0.26863636,11,30,0.36666667,0.12912955,0.0473475,800,2,2,5,1,1,,0,"",2010-06-07,"10661","",,""
"226074591010661",1997,39,79,1841,184,1,1,1997,915,0,0,0,0,0,0,0,20,0,0,0,800,2,2,5,1,1,,0,"",2010-06-07,"10661","",,""
"226074592010661",1997,39,79,1841,184,1,1,1997,931,0,0,0,0,0,0,0,12,0,0,0,800,2,2,5,1,1,,0,"",2010-06-07,"10661","",,""
"226074564010661",1997,39,81,8041,804,1,1,1997,366,0,0,0,0,0,0,0,36,0,0,0,1180,3,10,1,1,1,,0,"",2010-06-07,"10661","",,""
"226074565010661",1997,39,81,8041,804,1,1,1997,541,0,0,0,0,0,0,0,15,0,0,0,1180,3,10,1,1,1,,0,"",2010-06-07,"10661","",,""
"226074566010661",1997,39,81,8041,804,1,1,1997,915,0.88,0.38,0.58833333,0.63,0.16,0.42666667,6,35,0.17142857,0.27255,0.04672286,1180,3,10,1,1,1,,0,"",2010-06-07,"10661","",,""
