"CN","PLT_CN","INVYR","STATECD","COUNTYCD","PLOT","SUBP","TRANSECT","SEGMNT","MEASYEAR","CONDID","SLOPE_BEGNDIST","SLOPE_ENDDIST","SLOPE","HORIZ_LENGTH","HORIZ_BEGNDIST","HORIZ_ENDDIST","CREATED_BY","CREATED_DATE","CREATED_IN_INSTANCE","MODIFIED_BY","MODIFIED_IN_INSTANCE","MODIFIED_DATE","SEGMNT_STATUS_CD","SEGMNT_NONSAMPLE_REASN_CD","TRANSECT_LENGTH"
"76460490010538","59782247010538",2001,39,9,598,4,270,1,2001,1,0,24.11970149069,10,24,0,24,"",2007-11-19,"10661","","126144",2019-06-14,,,
"76460499010538","59784375010538",2001,39,25,401,1,150,1,2001,1,0,24,0,24,0,24,"",2007-11-19,"10661","","126144",2019-06-14,,,
"76460500010538","59784375010538",2001,39,25,401,1,270,1,2001,1,0,24,0,24,0,24,"",2007-11-19,"10661","","126144",2019-06-14,,,
"76460502010538","59784375010538",2001,39,25,401,2,30,1,2001,1,0,24,0,24,0,24,"",2007-11-19,"10661","","126144",2019-06-14,,,
"76460501010538","59784375010538",2001,39,25,401,2,150,1,2001,1,0,24,0,24,0,24,"",2007-11-19,"10661","","126144",2019-06-14,,,
"76460504010538","59784375010538",2001,39,25,401,3,30,1,2001,2,0,24,0,24,0,24,"",2007-11-19,"10661","","126144",2019-06-14,,,
"76460503010538","59784375010538",2001,39,25,401,3,150,1,2001,2,0,24,0,24,0,24,"",2007-11-19,"10661","","126144",2019-06-14,,,
"76460505010538","59784375010538",2001,39,25,401,4,150,1,2001,1,0,24.268498099388,15,24,0,24,"",2007-11-19,"10661","","126144",2019-06-14,,,
"76460506010538","59784375010538",2001,39,25,401,4,270,1,2001,1,0,24,0,24,0,24,"",2007-11-19,"10661","","126144",2019-06-14,,,
"76460665010538","59784920010538",2001,39,29,606,1,150,1,2001,1,0,24.268498099388,15,24,0,24,"",2007-11-19,"10661","","126144",2019-06-14,,,
"76460666010538","59784920010538",2001,39,29,606,1,270,1,2001,1,0,24.268498099388,15,24,0,24,"",2007-11-19,"10661","","126144",2019-06-14,,,
"76460669010538","59784920010538",2001,39,29,606,2,30,1,2001,2,0,25.056735621385,30,24,0,24,"",2007-11-19,"10661","","126144",2019-06-14,,,
"76460667010538","59784920010538",2001,39,29,606,2,150,1,2001,2,0,24.11970149069,10,24,0,24,"",2007-11-19,"10661","","126144",2019-06-14,,,
"76460671010538","59784920010538",2001,39,29,606,3,30,1,2001,1,0,24,0,24,0,24,"",2007-11-19,"10661","","126144",2019-06-14,,,
"76460670010538","59784920010538",2001,39,29,606,3,150,1,2001,1,0,24.738633753706,25,24,0,24,"",2007-11-19,"10661","","126144",2019-06-14,,,
"76460672010538","59784920010538",2001,39,29,606,4,150,1,2001,1,0,24.268498099388,15,24,0,24,"",2007-11-19,"10661","","126144",2019-06-14,,,
"76460673010538","59784920010538",2001,39,29,606,4,270,1,2001,1,0,24,0,24,0,24,"",2007-11-19,"10661","","126144",2019-06-14,,,
"76460855010538","59785584010538",2001,39,35,575,1,150,1,2001,1,0,24,0,24,0,24,"",2007-11-19,"10661","","126144",2019-06-14,,,
"76460856010538","59785584010538",2001,39,35,575,1,270,1,2001,1,0,24,0,24,0,24,"",2007-11-19,"10661","","126144",2019-06-14,,,
"76460858010538","59785584010538",2001,39,35,575,2,30,1,2001,1,0,24,0,24,0,24,"",2007-11-19,"10661","","126144",2019-06-14,,,
"76460857010538","59785584010538",2001,39,35,575,2,150,1,2001,1,0,24,0,24,0,24,"",2007-11-19,"10661","","126144",2019-06-14,,,
"76460860010538","59785584010538",2001,39,35,575,3,30,1,2001,1,0,24,0,24,0,24,"",2007-11-19,"10661","","126144",2019-06-14,,,
"76460859010538","59785584010538",2001,39,35,575,3,150,1,2001,1,0,24,0,24,0,24,"",2007-11-19,"10661","","126144",2019-06-14,,,
"76460861010538","59785584010538",2001,39,35,575,4,150,1,2001,1,0,24,0,24,0,24,"",2007-11-19,"10661","","126144",2019-06-14,,,
"76460862010538","59785584010538",2001,39,35,575,4,270,1,2001,1,0,24,0,24,0,24,"",2007-11-19,"10661","","126144",2019-06-14,,,
"76460690010538","59786192010538",2001,39,41,574,1,150,1,2001,1,0,24,0,24,0,24,"",2007-11-19,"10661","","126144",2019-06-14,,,
"76460691010538","59786192010538",2001,39,41,574,1,270,1,2001,1,0,24,0,24,0,24,"",2007-11-19,"10661","","126144",2019-06-14,,,
"76460694010538","59786192010538",2001,39,41,574,2,30,1,2001,3,0,24,0,24,0,24,"",2007-11-19,"10661","","126144",2019-06-14,,,
"76460693010538","59786192010538",2001,39,41,574,2,150,1,2001,3,0,24,0,24,0,24,"",2007-11-19,"10661","","126144",2019-06-14,,,
"76460696010538","59786192010538",2001,39,41,574,3,30,1,2001,1,0,24,0,24,0,24,"",2007-11-19,"10661","","126144",2019-06-14,,,
"76460695010538","59786192010538",2001,39,41,574,3,150,1,2001,1,0,24,0,24,0,24,"",2007-11-19,"10661","","126144",2019-06-14,,,
"76460697010538","59786192010538",2001,39,41,574,4,150,1,2001,2,0,24,0,24,0,24,"",2007-11-19,"10661","","126144",2019-06-14,,,
"76460698010538","59786192010538",2001,39,41,574,4,270,1,2001,2,0,24,0,24,0,24,"",2007-11-19,"10661","","126144",2019-06-14,,,
"76460416010538","59787135010538",2001,39,53,778,1,150,1,2001,1,0,24,0,24,0,24,"",2007-11-19,"10661","","126144",2019-06-14,,,
"76460417010538","59787135010538",2001,39,53,778,1,270,1,2001,1,0,24,0,24,0,24,"",2007-11-19,"10661","","126144",2019-06-14,,,
"76460419010538","59787135010538",2001,39,53,778,2,30,1,2001,1,0,25.056735621385,30,24,0,24,"",2007-11-19,"10661","","126144",2019-06-14,,,
"76460418010538","59787135010538",2001,39,53,778,2,150,1,2001,1,0,24,0,24,0,24,"",2007-11-19,"10661","","126144",2019-06-14,,,
"76460421010538","59787135010538",2001,39,53,778,3,30,1,2001,1,0,24.11970149069,10,24,0,24,"",2007-11-19,"10661","","126144",2019-06-14,,,
"76460420010538","59787135010538",2001,39,53,778,3,150,1,2001,1,0,24.11970149069,10,24,0,24,"",2007-11-19,"10661","","126144",2019-06-14,,,
"76460422010538","59787135010538",2001,39,53,778,4,150,1,2001,1,0,24.11970149069,10,24,0,24,"",2007-11-19,"10661","","126144",2019-06-14,,,
"76460423010538","59787135010538",2001,39,53,778,4,270,1,2001,1,0,24,0,24,0,24,"",2007-11-19,"10661","","126144",2019-06-14,,,
"76460507010538","59788852010538",2001,39,61,506,1,150,1,2001,1,0,24.475293665245,20,24,0,24,"",2007-11-19,"10661","","126144",2019-06-14,,,
"76460508010538","59788852010538",2001,39,61,506,1,270,1,2001,1,0,24.11970149069,10,24,0,24,"",2007-11-19,"10661","","126144",2019-06-14,,,
"76460510010538","59788852010538",2001,39,61,506,2,30,1,2001,1,0,24.268498099388,15,24,0,24,"",2007-11-19,"10661","","126144",2019-06-14,,,
"76460509010538","59788852010538",2001,39,61,506,2,150,1,2001,1,0,24,0,24,0,24,"",2007-11-19,"10661","","126144",2019-06-14,,,
"76460513010538","59788852010538",2001,39,61,506,3,30,1,2001,2,0,24,0,24,0,24,"",2007-11-19,"10661","","126144",2019-06-14,,,
"76460511010538","59788852010538",2001,39,61,506,3,150,1,2001,2,0,4,0,4,0,4,"",2007-11-19,"10661","","126144",2019-06-14,,,
"76460512010538","59788852010538",2001,39,61,506,3,150,2,2001,1,4,24.223748416157,15,20,4,24,"",2007-11-19,"10661","","126144",2019-06-14,,,
"76460514010538","59788852010538",2001,39,61,506,4,150,1,2001,1,0,24.738633753706,25,24,0,24,"",2007-11-19,"10661","","126144",2019-06-14,,,
"76460515010538","59788852010538",2001,39,61,506,4,270,1,2001,1,0,24,0,24,0,24,"",2007-11-19,"10661","","126144",2019-06-14,,,
"76460657010538","59789167010538",2001,39,67,363,1,150,1,2001,1,0,25.056735621385,30,24,0,24,"",2007-11-19,"10661","","126144",2019-06-14,,,
"76460658010538","59789167010538",2001,39,67,363,1,270,1,2001,1,0,24.738633753706,25,24,0,24,"",2007-11-19,"10661","","126144",2019-06-14,,,
"76460660010538","59789167010538",2001,39,67,363,2,30,1,2001,2,0,24,0,24,0,24,"",2007-11-19,"10661","","126144",2019-06-14,,,
"76460659010538","59789167010538",2001,39,67,363,2,150,1,2001,2,0,24,0,24,0,24,"",2007-11-19,"10661","","126144",2019-06-14,,,
"76460662010538","59789167010538",2001,39,67,363,3,30,1,2001,1,0,24,0,24,0,24,"",2007-11-19,"10661","","126144",2019-06-14,,,
"76460661010538","59789167010538",2001,39,67,363,3,150,1,2001,1,0,24.738633753706,25,24,0,24,"",2007-11-19,"10661","","126144",2019-06-14,,,
"76460663010538","59789167010538",2001,39,67,363,4,150,1,2001,1,0,25.056735621385,30,24,0,24,"",2007-11-19,"10661","","126144",2019-06-14,,,
"76460664010538","59789167010538",2001,39,67,363,4,270,1,2001,1,0,24,0,24,0,24,"",2007-11-19,"10661","","126144",2019-06-14,,,
"76460491010538","59790455010538",2001,39,73,197,1,150,1,2001,1,0,24,0,24,0,24,"",2007-11-19,"10661","","126144",2019-06-14,,,
"76460492010538","59790455010538",2001,39,73,197,1,270,1,2001,1,0,25.056735621385,30,24,0,24,"",2007-11-19,"10661","","126144",2019-06-14,,,
"76460494010538","59790455010538",2001,39,73,197,2,30,1,2001,1,0,24,0,24,0,24,"",2007-11-19,"10661","","126144",2019-06-14,,,
"76460493010538","59790455010538",2001,39,73,197,2,150,1,2001,1,0,24.738633753706,25,24,0,24,"",2007-11-19,"10661","","126144",2019-06-14,,,
"76460496010538","59790455010538",2001,39,73,197,3,30,1,2001,1,0,27.390509305232,55,24,0,24,"",2007-11-19,"10661","","126144",2019-06-14,,,
"76460495010538","59790455010538",2001,39,73,197,3,150,1,2001,1,0,24,0,24,0,24,"",2007-11-19,"10661","","126144",2019-06-14,,,
"76460497010538","59790455010538",2001,39,73,197,4,150,1,2001,1,0,24,0,24,0,24,"",2007-11-19,"10661","","126144",2019-06-14,,,
"76460498010538","59790455010538",2001,39,73,197,4,270,1,2001,1,0,25.056735621385,30,24,0,24,"",2007-11-19,"10661","","126144",2019-06-14,,,
"76460682010538","59792161010538",2001,39,83,604,1,150,1,2001,1,0,24.11970149069,10,24,0,24,"",2007-11-19,"10661","","126144",2019-06-14,,,
"76460683010538","59792161010538",2001,39,83,604,1,270,1,2001,1,0,24,0,24,0,24,"",2007-11-19,"10661","","126144",2019-06-14,,,
"76460685010538","59792161010538",2001,39,83,604,2,30,1,2001,1,0,25.427544120501,35,24,0,24,"",2007-11-19,"10661","","126144",2019-06-14,,,
"76460684010538","59792161010538",2001,39,83,604,2,150,1,2001,1,0,24.11970149069,10,24,0,24,"",2007-11-19,"10661","","126144",2019-06-14,,,
"76460687010538","59792161010538",2001,39,83,604,3,30,1,2001,1,0,24,0,24,0,24,"",2007-11-19,"10661","","126144",2019-06-14,,,
"76460686010538","59792161010538",2001,39,83,604,3,150,1,2001,1,0,24,0,24,0,24,"",2007-11-19,"10661","","126144",2019-06-14,,,
"76460688010538","59792161010538",2001,39,83,604,4,150,1,2001,1,0,25.427544120501,35,24,0,24,"",2007-11-19,"10661","","126144",2019-06-14,,,
"76460689010538","59792161010538",2001,39,83,604,4,270,1,2001,1,0,25.056735621385,30,24,0,24,"",2007-11-19,"10661","","126144",2019-06-14,,,
"76460449010538","59792877010538",2001,39,87,319,1,150,1,2001,1,0,24,0,24,0,24,"",2007-11-19,"10661","","126144",2019-06-14,,,
"76460409010538","59792877010538",2001,39,87,319,1,270,1,2001,1,0,24,0,24,0,24,"",2007-11-19,"10661","","126144",2019-06-14,,,
"76460411010538","59792877010538",2001,39,87,319,2,30,1,2001,1,0,25.056735621385,30,24,0,24,"",2007-11-19,"10661","","126144",2019-06-14,,,
"76460410010538","59792877010538",2001,39,87,319,2,150,1,2001,1,0,24.475293665245,20,24,0,24,"",2007-11-19,"10661","","126144",2019-06-14,,,
"76460413010538","59792877010538",2001,39,87,319,3,30,1,2001,1,0,24.738633753706,25,24,0,24,"",2007-11-19,"10661","","126144",2019-06-14,,,
"76460412010538","59792877010538",2001,39,87,319,3,150,1,2001,1,0,24,0,24,0,24,"",2007-11-19,"10661","","126144",2019-06-14,,,
"76460414010538","59792877010538",2001,39,87,319,4,150,1,2001,1,0,24.11970149069,10,24,0,24,"",2007-11-19,"10661","","126144",2019-06-14,,,
"76460415010538","59792877010538",2001,39,87,319,4,270,1,2001,1,0,24.11970149069,10,24,0,24,"",2007-11-19,"10661","","126144",2019-06-14,,,
"76460474010538","59796133010538",2001,39,111,537,1,150,1,2001,1,0,24,0,24,0,24,"",2007-11-19,"10661","","126144",2019-06-14,,,
"76460475010538","59796133010538",2001,39,111,537,1,270,1,2001,1,0,24,0,24,0,24,"",2007-11-19,"10661","","126144",2019-06-14,,,
"76460477010538","59796133010538",2001,39,111,537,2,30,1,2001,1,0,24,0,24,0,24,"",2007-11-19,"10661","","126144",2019-06-14,,,
"76460476010538","59796133010538",2001,39,111,537,2,150,1,2001,1,0,24.268498099388,15,24,0,24,"",2007-11-19,"10661","","126144",2019-06-14,,,
"76460479010538","59796133010538",2001,39,111,537,3,30,1,2001,1,0,24,0,24,0,24,"",2007-11-19,"10661","","126144",2019-06-14,,,
"76460478010538","59796133010538",2001,39,111,537,3,150,1,2001,1,0,24,0,24,0,24,"",2007-11-19,"10661","","126144",2019-06-14,,,
"76460480010538","59796133010538",2001,39,111,537,4,150,1,2001,1,0,24,0,24,0,24,"",2007-11-19,"10661","","126144",2019-06-14,,,
"76460481010538","59796133010538",2001,39,111,537,4,270,1,2001,1,0,24,0,24,0,24,"",2007-11-19,"10661","","126144",2019-06-14,,,
"76460847010538","59799485010538",2001,39,133,64,1,150,1,2001,1,0,24,0,24,0,24,"",2007-11-19,"10661","","126144",2019-06-14,,,
"76460848010538","59799485010538",2001,39,133,64,1,270,1,2001,1,0,25.056735621385,30,24,0,24,"",2007-11-19,"10661","","126144",2019-06-14,,,
"76460850010538","59799485010538",2001,39,133,64,2,30,1,2001,1,0,24,0,24,0,24,"",2007-11-19,"10661","","126144",2019-06-14,,,
"76460849010538","59799485010538",2001,39,133,64,2,150,1,2001,1,0,24.475293665245,20,24,0,24,"",2007-11-19,"10661","","126144",2019-06-14,,,
"76460852010538","59799485010538",2001,39,133,64,3,30,1,2001,1,0,24.11970149069,10,24,0,24,"",2007-11-19,"10661","","126144",2019-06-14,,,
"76460851010538","59799485010538",2001,39,133,64,3,150,1,2001,1,0,24.268498099388,15,24,0,24,"",2007-11-19,"10661","","126144",2019-06-14,,,
"76460853010538","59799485010538",2001,39,133,64,4,150,1,2001,1,0,24,0,24,0,24,"",2007-11-19,"10661","","126144",2019-06-14,,,
"76460854010538","59799485010538",2001,39,133,64,4,270,1,2001,1,0,24.268498099388,15,24,0,24,"",2007-11-19,"10661","","126144",2019-06-14,,,
"76460424010538","59801189010538",2001,39,145,33,1,150,1,2001,1,0,27.988569095257,60,24,0,24,"",2007-11-19,"10661","","126144",2019-06-14,,,
"76460425010538","59801189010538",2001,39,145,33,1,270,1,2001,1,0,24.268498099388,15,24,0,24,"",2007-11-19,"10661","","126144",2019-06-14,,,
"76460427010538","59801189010538",2001,39,145,33,2,30,1,2001,1,0,27.390509305232,55,24,0,24,"",2007-11-19,"10661","","126144",2019-06-14,,,
"76460426010538","59801189010538",2001,39,145,33,2,150,1,2001,1,0,27.390509305232,55,24,0,24,"",2007-11-19,"10661","","126144",2019-06-14,,,
"76460429010538","59801189010538",2001,39,145,33,3,30,1,2001,1,0,27.390509305232,55,24,0,24,"",2007-11-19,"10661","","126144",2019-06-14,,,
"76460428010538","59801189010538",2001,39,145,33,3,150,1,2001,1,0,24.268498099388,15,24,0,24,"",2007-11-19,"10661","","126144",2019-06-14,,,
"76460430010538","59801189010538",2001,39,145,33,4,150,1,2001,1,0,28.624465060504,65,24,0,24,"",2007-11-19,"10661","","126144",2019-06-14,,,
"76460431010538","59801189010538",2001,39,145,33,4,270,1,2001,1,0,25.848791074246,40,24,0,24,"",2007-11-19,"10661","","126144",2019-06-14,,,
"76460674010538","59803170010538",2001,39,157,295,1,150,1,2001,1,0,24,0,24,0,24,"",2007-11-19,"10661","","126144",2019-06-14,,,
"76460675010538","59803170010538",2001,39,157,295,1,270,1,2001,1,0,24,0,24,0,24,"",2007-11-19,"10661","","126144",2019-06-14,,,
"76460677010538","59803170010538",2001,39,157,295,2,30,1,2001,2,0,24,0,24,0,24,"",2007-11-19,"10661","","126144",2019-06-14,,,
"76460676010538","59803170010538",2001,39,157,295,2,150,1,2001,2,0,24,0,24,0,24,"",2007-11-19,"10661","","126144",2019-06-14,,,
"76460679010538","59803170010538",2001,39,157,295,3,30,1,2001,1,0,24,0,24,0,24,"",2007-11-19,"10661","","126144",2019-06-14,,,
"76460678010538","59803170010538",2001,39,157,295,3,150,1,2001,1,0,24,0,24,0,24,"",2007-11-19,"10661","","126144",2019-06-14,,,
"76460680010538","59803170010538",2001,39,157,295,4,150,1,2001,2,0,24,0,24,0,24,"",2007-11-19,"10661","","126144",2019-06-14,,,
"76460681010538","59803170010538",2001,39,157,295,4,270,1,2001,2,0,24,0,24,0,24,"",2007-11-19,"10661","","126144",2019-06-14,,,
"76460466010538","59804300010538",2001,39,167,404,1,150,1,2001,1,0,25.848791074246,40,24,0,24,"",2007-11-19,"10661","","126144",2019-06-14,,,
"76460467010538","59804300010538",2001,39,167,404,1,270,1,2001,1,0,24.475293665245,20,24,0,24,"",2007-11-19,"10661","","126144",2019-06-14,,,
"76460469010538","59804300010538",2001,39,167,404,2,30,1,2001,1,0,24,0,24,0,24,"",2007-11-19,"10661","","126144",2019-06-14,,,
"76460468010538","59804300010538",2001,39,167,404,2,150,1,2001,1,0,25.056735621385,30,24,0,24,"",2007-11-19,"10661","","126144",2019-06-14,,,
"76460471010538","59804300010538",2001,39,167,404,3,30,1,2001,1,0,24,0,24,0,24,"",2007-11-19,"10661","","126144",2019-06-14,,,
"76460470010538","59804300010538",2001,39,167,404,3,150,1,2001,1,0,25.056735621385,30,24,0,24,"",2007-11-19,"10661","","126144",2019-06-14,,,
"76460472010538","59804300010538",2001,39,167,404,4,150,1,2001,1,0,25.056735621385,30,24,0,24,"",2007-11-19,"10661","","126144",2019-06-14,,,
"76460473010538","59804300010538",2001,39,167,404,4,270,1,2001,1,0,24.475293665245,20,24,0,24,"",2007-11-19,"10661","","126144",2019-06-14,,,
"76446581010538","59827371010538",2002,39,1,5656,1,30,1,2002,1,0,24.268498099388,15,24,0,24,"",2007-11-19,"10661","","126144",2019-06-14,,,
"76446582010538","59827371010538",2002,39,1,5656,1,150,1,2002,1,0,24,0,24,0,24,"",2007-11-19,"10661","","126144",2019-06-14,,,
"76446583010538","59827371010538",2002,39,1,5656,1,270,1,2002,1,0,24.11970149069,10,24,0,24,"",2007-11-19,"10661","","126144",2019-06-14,,,
"76446584010538","59827371010538",2002,39,1,5656,2,30,1,2002,1,0,24,0,24,0,24,"",2007-11-19,"10661","","126144",2019-06-14,,,
"76446585010538","59827371010538",2002,39,1,5656,2,150,1,2002,1,0,24.268498099388,15,24,0,24,"",2007-11-19,"10661","","126144",2019-06-14,,,
"76446586010538","59827371010538",2002,39,1,5656,2,270,1,2002,1,0,24.11970149069,10,24,0,24,"",2007-11-19,"10661","","126144",2019-06-14,,,
"76446590010538","59827371010538",2002,39,1,5656,4,30,1,2002,1,0,24,0,24,0,24,"",2007-11-19,"10661","","126144",2019-06-14,,,
"76446587010538","59827371010538",2002,39,1,5656,3,30,1,2002,1,0,24,0,24,0,24,"",2007-11-19,"10661","","126144",2019-06-14,,,
"76446588010538","59827371010538",2002,39,1,5656,3,150,1,2002,1,0,24.268498099388,15,24,0,24,"",2007-11-19,"10661","","126144",2019-06-14,,,
"76446589010538","59827371010538",2002,39,1,5656,3,270,1,2002,1,0,24,0,24,0,24,"",2007-11-19,"10661","","126144",2019-06-14,,,
"76446591010538","59827371010538",2002,39,1,5656,4,150,1,2002,1,0,24,0,24,0,24,"",2007-11-19,"10661","","126144",2019-06-14,,,
"76446592010538","59827371010538",2002,39,1,5656,4,270,1,2002,1,0,24,0,24,0,24,"",2007-11-19,"10661","","126144",2019-06-14,,,
"42786198020004","59828115010538",2002,39,5,3857,1,30,1,2002,1,0,24,0,24,0,24,"",2012-06-06,"20004","","126144",2019-06-14,,,
"42786199020004","59828115010538",2002,39,5,3857,1,150,1,2002,1,0,24,0,24,0,24,"",2012-06-06,"20004","","126144",2019-06-14,,,
"42786200020004","59828115010538",2002,39,5,3857,1,270,1,2002,1,0,24,0,24,0,24,"",2012-06-06,"20004","","126144",2019-06-14,,,
"42786201020004","59828115010538",2002,39,5,3857,2,30,1,2002,1,0,24,0,24,0,24,"",2012-06-06,"20004","","126144",2019-06-14,,,
"42786202020004","59828115010538",2002,39,5,3857,2,150,1,2002,1,0,24,0,24,0,24,"",2012-06-06,"20004","","126144",2019-06-14,,,
"42786203020004","59828115010538",2002,39,5,3857,2,270,1,2002,1,0,24,0,24,0,24,"",2012-06-06,"20004","","126144",2019-06-14,,,
"42786204020004","59828115010538",2002,39,5,3857,3,30,1,2002,1,0,24,0,24,0,24,"",2012-06-06,"20004","","126144",2019-06-14,,,
"42786205020004","59828115010538",2002,39,5,3857,3,150,1,2002,1,0,24,0,24,0,24,"",2012-06-06,"20004","","126144",2019-06-14,,,
"42786206020004","59828115010538",2002,39,5,3857,3,270,1,2002,1,0,24,0,24,0,24,"",2012-06-06,"20004","","126144",2019-06-14,,,
"42786207020004","59828115010538",2002,39,5,3857,4,30,1,2002,1,0,24,0,24,0,24,"",2012-06-06,"20004","","126144",2019-06-14,,,
"42786208020004","59828115010538",2002,39,5,3857,4,150,1,2002,1,0,24,0,24,0,24,"",2012-06-06,"20004","","126144",2019-06-14,,,
"42786209020004","59828115010538",2002,39,5,3857,4,270,1,2002,1,0,24,0,24,0,24,"",2012-06-06,"20004","","126144",2019-06-14,,,
"76447637010538","59828166010538",2002,39,7,5352,1,30,1,2002,1,0,24,0,24,0,24,"",2007-11-19,"10661","","126144",2019-06-14,,,
"76447638010538","59828166010538",2002,39,7,5352,1,150,1,2002,1,0,24,0,24,0,24,"",2007-11-19,"10661","","126144",2019-06-14,,,
"76447639010538","59828166010538",2002,39,7,5352,1,270,1,2002,1,0,24,0,24,0,24,"",2007-11-19,"10661","","126144",2019-06-14,,,
"76447640010538","59828166010538",2002,39,7,5352,2,30,1,2002,1,0,24,0,24,0,24,"",2007-11-19,"10661","","126144",2019-06-14,,,
"76447641010538","59828166010538",2002,39,7,5352,2,150,1,2002,1,0,24,0,24,0,24,"",2007-11-19,"10661","","126144",2019-06-14,,,
"76447642010538","59828166010538",2002,39,7,5352,2,270,1,2002,1,0,24,0,24,0,24,"",2007-11-19,"10661","","126144",2019-06-14,,,
"76447643010538","59828166010538",2002,39,7,5352,3,30,1,2002,1,0,24,0,24,0,24,"",2007-11-19,"10661","","126144",2019-06-14,,,
"76447644010538","59828166010538",2002,39,7,5352,3,150,1,2002,1,0,24.475293665245,20,24,0,24,"",2007-11-19,"10661","","126144",2019-06-14,,,
"76447645010538","59828166010538",2002,39,7,5352,3,270,1,2002,1,0,24,0,24,0,24,"",2007-11-19,"10661","","126144",2019-06-14,,,
"76447646010538","59828166010538",2002,39,7,5352,4,30,1,2002,1,0,24,0,24,0,24,"",2007-11-19,"10661","","126144",2019-06-14,,,
"76447647010538","59828166010538",2002,39,7,5352,4,150,1,2002,1,0,24,0,24,0,24,"",2007-11-19,"10661","","126144",2019-06-14,,,
"76447648010538","59828166010538",2002,39,7,5352,4,270,1,2002,1,0,24,0,24,0,24,"",2007-11-19,"10661","","126144",2019-06-14,,,
