"CN","PLT_CN","INVYR","STATECD","COUNTYCD","PLOT","VEG_QA_STATUS","VEG_KINDCD","VEG_MANUAL","TRACE_COVER_ALLOWED","VEG_MEASYEAR","VEG_MEASMON","VEG_MEASDAY","VEG_SAMPLE_BASIS","CREATED_BY","CREATED_DATE","CREATED_IN_INSTANCE","MODIFIED_BY","MODIFIED_DATE","MODIFIED_IN_INSTANCE","QA_STATUS"
"487010760","59801189010538",2001,39,145,33,1,1,"1.7",0,2001,8,16,1,"",2005-12-21,"10760","",2019-06-13,"126144",
"216281331010661","59803170010538",2001,39,157,295,1,1,"1.7",0,2001,12,31,1,"",2009-09-25,"10661","",2019-06-13,"126144",
"597010760","59804300010538",2001,39,167,404,1,1,"1.7",0,2001,8,8,1,"",2005-12-21,"10760","",2019-06-13,"126144",
"490010760","59827371010538",2002,39,1,5656,1,1,"1.7",0,2002,7,17,1,"",2005-12-21,"10760","",2019-06-13,"126144",
"872010760","59828166010538",2002,39,7,5352,1,1,"1.7",0,2002,8,1,1,"",2005-12-21,"10760","",2019-06-13,"126144",
"595010760","59829816010538",2002,39,13,2644,1,1,"1.7",0,2002,7,6,1,"",2005-12-21,"10760","",2019-06-13,"126144",
"492010760","59830348010538",2002,39,15,2715,1,1,"1.7",0,2002,8,27,1,"",2005-12-21,"10760","",2019-06-13,"126144",
"755010760","59832243010538",2002,39,31,4927,1,1,"1.7",0,2002,7,23,1,"",2005-12-21,"10760","",2019-06-13,"126144",
"879010760","59832674010538",2002,39,35,5793,1,1,"1.7",0,2002,8,21,1,"",2005-12-21,"10760","",2019-06-13,"126144",
"746010760","59819472010538",2002,39,59,1944,1,1,"1.7",0,2002,7,26,1,"",2005-12-21,"10760","",2019-06-13,"126144",
"611010760","59821617010538",2002,39,73,4384,1,1,"1.7",0,2002,7,12,1,"",2005-12-21,"10760","",2019-06-13,"126144",
"607010760","59822682010538",2002,39,79,2106,1,1,"1.7",0,2002,7,15,1,"",2005-12-21,"10760","",2019-06-13,"126144",
"736010760","59823251010538",2002,39,81,2843,1,1,"1.7",0,2002,7,5,1,"",2005-12-21,"10760","",2019-06-13,"126144",
"751010760","59825609010538",2002,39,99,5047,1,1,"1.7",0,2002,8,22,1,"",2005-12-21,"10760","",2019-06-13,"126144",
"596010760","59826469010538",2002,39,105,2981,1,1,"1.7",0,2002,8,28,1,"",2005-12-21,"10760","",2019-06-13,"126144",
"593010760","59833508010538",2002,39,111,3407,1,1,"1.7",0,2002,8,2,1,"",2005-12-21,"10760","",2019-06-13,"126144",
"603010760","59806958010538",2002,39,115,3640,1,1,"1.7",0,2002,7,20,1,"",2005-12-21,"10760","",2019-06-13,"126144",
"752010760","59807612010538",2002,39,119,1949,1,1,"1.7",0,2002,8,3,1,"",2005-12-21,"10760","",2019-06-13,"126144",
"615010760","59809293010538",2002,39,131,2188,1,1,"1.7",0,2002,7,19,1,"",2005-12-21,"10760","",2019-06-13,"126144",
"619010760","59811100010538",2002,39,141,5316,1,1,"1.7",0,2002,7,16,1,"",2005-12-21,"10760","",2019-06-13,"126144",
"486010760","59811889010538",2002,39,145,2227,1,1,"1.7",0,2002,8,26,1,"",2005-12-21,"10760","",2019-06-13,"126144",
"875010760","59813380010538",2002,39,153,3576,1,1,"1.7",0,2002,7,31,1,"",2005-12-21,"10760","",2019-06-13,"126144",
"865010760","59813781010538",2002,39,155,5061,1,1,"1.7",0,2002,7,30,1,"",2005-12-21,"10760","",2019-06-13,"126144",
"598010760","59815863010538",2002,39,167,2110,7,1,"1.7",0,2002,7,10,1,"",2005-12-21,"10760","",2019-06-13,"126144",
"759010760","59845225010538",2003,39,5,4827,1,1,"1.7",0,2003,7,10,1,"",2005-12-21,"10760","",2019-06-13,"126144",
"873010760","59845818010538",2003,39,7,1392,1,1,"1.7",0,2003,7,16,1,"",2005-12-21,"10760","",2019-06-13,"126144",
"608010760","59846299010538",2003,39,9,2380,1,1,"1.7",0,2003,6,30,1,"",2005-12-21,"10760","",2019-06-13,"126144",
"762010760","59846862010538",2003,39,11,2083,1,1,"1.7",0,2003,8,12,1,"",2005-12-21,"10760","",2019-06-13,"126144",
"489010760","59847831010538",2003,39,15,3247,1,1,"1.7",0,2003,7,30,1,"",2005-12-21,"10760","",2019-06-13,"126144",
"741010760","59848292010538",2003,39,19,2633,1,1,"1.7",0,2003,6,25,1,"",2005-12-21,"10760","",2019-06-13,"126144",
"745010760","59849784010538",2003,39,29,5665,1,1,"1.7",0,2003,6,26,1,"",2005-12-21,"10760","",2019-06-13,"126144",
"749010760","59850077010538",2003,39,31,1154,1,1,"1.7",0,2003,7,17,1,"",2005-12-21,"10760","",2019-06-13,"126144",
"620010760","59835507010538",2003,39,49,1720,1,1,"1.7",0,2003,8,14,1,"",2005-12-21,"10760","",2019-06-13,"126144",
"606010760","59835838010538",2003,39,53,2364,1,1,"1.7",0,2003,8,21,1,"",2005-12-21,"10760","",2019-06-13,"126144",
"878010760","59836584010538",2003,39,55,1176,1,1,"1.7",0,2003,7,15,1,"",2005-12-21,"10760","",2019-06-13,"126144",
"626010760","59836717010538",2003,39,57,2961,1,1,"1.7",0,2003,8,5,1,"",2005-12-21,"10760","",2019-06-13,"126144",
"747010760","59838494010538",2003,39,67,4888,1,1,"1.7",0,2003,6,24,1,"",2005-12-21,"10760","",2019-06-13,"126144",
"616010760","59839136010538",2003,39,71,5390,1,1,"1.7",0,2003,7,23,1,"",2005-12-21,"10760","",2019-06-13,"126144",
"484010760","59841598010538",2003,39,87,2049,1,1,"1.7",0,2003,7,1,1,"",2005-12-21,"10760","",2019-06-13,"126144",
"760010760","59842149010538",2003,39,91,4513,1,1,"1.7",0,2003,8,13,1,"",2005-12-21,"10760","",2019-06-13,"126144",
"882010760","59842363010538",2003,39,95,3536,1,1,"1.7",0,2003,8,20,1,"",2005-12-21,"10760","",2019-06-13,"126144",
"216281284010661","59852459010538",2003,39,117,3433,1,1,"1.7",0,2003,12,31,1,"",2009-09-25,"10661","",2019-06-13,"126144",
"605010760","59853254010538",2003,39,119,1245,1,1,"1.7",0,2003,8,18,1,"",2005-12-21,"10760","",2019-06-13,"126144",
"601010760","59853380010538",2003,39,121,2146,1,1,"1.7",0,2003,6,23,1,"",2005-12-21,"10760","",2019-06-13,"126144",
"614010760","59854367010538",2003,39,127,3072,1,1,"1.7",0,2003,8,1,1,"",2005-12-21,"10760","",2019-06-13,"126144",
"627010760","59855376010538",2003,39,135,1422,1,1,"1.7",0,2003,8,11,1,"",2005-12-21,"10760","",2019-06-13,"126144",
"609010760","59856286010538",2003,39,141,3077,1,1,"1.7",0,2003,7,2,1,"",2005-12-21,"10760","",2019-06-13,"126144",
"488010760","59857241010538",2003,39,145,4951,1,1,"1.7",0,2003,7,22,1,"",2005-12-21,"10760","",2019-06-13,"126144",
"864010760","59858451010538",2003,39,155,3843,1,1,"1.7",0,2003,8,27,1,"",2005-12-21,"10760","",2019-06-13,"126144",
"750010760","59859396010538",2003,39,157,3047,1,1,"1.7",0,2003,7,9,1,"",2005-12-21,"10760","",2019-06-13,"126144",
"623010760","59860065010538",2003,39,165,2505,1,1,"1.7",0,2003,8,6,1,"",2005-12-21,"10760","",2019-06-13,"126144",
"735010760","59884897010538",2004,39,13,3399,1,1,"2.0",0,2004,7,22,2,"",2005-12-21,"10760","",2019-06-13,"126144",
"604010760","59885224010538",2004,39,13,4479,1,1,"2.0",0,2004,7,21,2,"",2005-12-21,"10760","",2019-06-13,"126144",
"493010760","59886638010538",2004,39,25,5374,1,1,"2.0",0,2004,6,24,2,"",2005-12-21,"10760","",2019-06-13,"126144",
"618010760","59886738010538",2004,39,27,3456,1,1,"2.0",0,2004,6,23,2,"",2005-12-21,"10760","",2019-06-13,"126144",
"744010760","59887136010538",2004,39,29,2347,1,1,"2.0",0,2004,8,3,2,"",2005-12-21,"10760","",2019-06-13,"126144",
"754010760","59872676010538",2004,39,41,3878,1,1,"2.0",0,2004,6,30,2,"",2005-12-21,"10760","",2019-06-13,"126144",
"483010760","59873691010538",2004,39,53,3579,1,1,"2.0",0,2004,7,8,2,"",2005-12-21,"10760","",2019-06-13,"126144",
"748010760","59875046010538",2004,39,59,2535,1,1,"2.0",0,2004,7,15,2,"",2005-12-21,"10760","",2019-06-13,"126144",
"624010760","59875667010538",2004,39,61,2063,1,1,"2.0",0,2004,6,28,2,"",2005-12-21,"10760","",2019-06-13,"126144",
"613010760","59877102010538",2004,39,73,5262,1,1,"2.0",0,2004,7,19,2,"",2005-12-21,"10760","",2019-06-13,"126144",
"758010760","59877582010538",2004,39,75,1717,1,1,"2.0",0,2004,7,14,2,"",2005-12-21,"10760","",2019-06-13,"126144",
"880010760","59878049010538",2004,39,77,3789,1,1,"2.0",0,2004,7,27,2,"",2005-12-21,"10760","",2019-06-13,"126144",
"740010760","59879090010538",2004,39,81,5147,1,1,"2.0",0,2004,8,4,2,"",2005-12-21,"10760","",2019-06-13,"126144",
"753010760","59880373010538",2004,39,89,1536,1,1,"2.0",0,2004,7,1,2,"",2005-12-21,"10760","",2019-06-13,"126144",
"874010760","59882113010538",2004,39,103,4704,1,1,"2.0",0,2004,7,28,2,"",2005-12-21,"10760","",2019-06-13,"126144",
"763010760","59882851010538",2004,39,107,4902,1,1,"2.0",0,2004,8,5,2,"",2005-12-21,"10760","",2019-06-13,"126144",
"625010760","59862539010538",2004,39,113,1116,1,1,"2.0",0,2004,6,29,2,"",2005-12-21,"10760","",2019-06-13,"126144",
"617010760","59865858010538",2004,39,141,4924,1,1,"2.0",0,2004,6,21,2,"",2005-12-21,"10760","",2019-06-13,"126144",
"881010760","59867573010538",2004,39,147,4302,1,1,"2.0",0,2004,7,26,2,"",2005-12-21,"10760","",2019-06-13,"126144",
"868010760","59868956010538",2004,39,155,4794,1,1,"2.0",0,2004,7,4,2,"",2005-12-21,"10760","",2019-06-13,"126144",
"600010760","59871051010538",2004,39,167,2121,1,1,"2.0",0,2004,7,13,2,"",2005-12-21,"10760","",2019-06-13,"126144",
"599010760","59871176010538",2004,39,167,3682,1,1,"2.0",0,2004,7,12,2,"",2005-12-21,"10760","",2019-06-13,"126144",
"218387244010661","66400768010538",2005,39,19,1299,1,1,"2.0.1",1,2005,6,28,2,"",2009-10-30,"10661","",2019-06-13,"126144",
"218387298010661","66401283010538",2005,39,21,2936,1,1,"2.0.1",1,2005,7,18,2,"",2009-10-30,"10661","",2019-06-13,"126144",
"218387736010661","66402727010538",2005,39,33,4995,1,1,"2.0.1",1,2005,8,3,2,"",2009-10-30,"10661","",2019-06-13,"126144",
"218387514010661","66404522010538",2005,39,37,1088,1,1,"2.0.1",1,2005,7,19,2,"",2009-10-30,"10661","",2019-06-13,"126144",
"218386868010661","66406855010538",2005,39,59,5447,1,1,"2.0.1",1,2005,6,30,2,"",2009-10-30,"10661","",2019-06-13,"126144",
"218387579010661","66407100010538",2005,39,61,2287,1,1,"2.0.1",1,2005,7,12,2,"",2009-10-30,"10661","",2019-06-13,"126144",
"218387376010661","66407916010538",2005,39,67,1501,1,1,"2.0.1",1,2005,6,29,2,"",2009-10-30,"10661","",2019-06-13,"126144",
"218387445010661","66407994010538",2005,39,69,5636,1,1,"2.0.1",1,2005,7,26,2,"",2009-10-30,"10661","",2019-06-13,"126144",
"218386975010661","66409182010538",2005,39,73,1771,1,1,"2.0.1",1,2005,6,16,2,"",2009-10-30,"10661","",2019-06-13,"126144",
"218387844010661","66410984010538",2005,39,87,1355,1,1,"2.0.1",1,2005,6,22,2,"",2009-10-30,"10661","",2019-06-13,"126144",
"218387908010661","66412678010538",2005,39,99,3684,1,1,"2.0.1",1,2005,7,5,2,"",2009-10-30,"10661","",2019-06-13,"126144",
"218387661010661","66413241010538",2005,39,105,2390,1,1,"2.0.1",1,2005,6,21,2,"",2009-10-30,"10661","",2019-06-13,"126144",
"218386414010661","66414281010538",2005,39,113,3539,1,1,"2.0.1",1,2005,7,14,2,"",2009-10-30,"10661","",2019-06-13,"126144",
"218386656010661","66415946010538",2005,39,119,2977,1,1,"2.0.1",1,2005,6,20,2,"",2009-10-30,"10661","",2019-06-13,"126144",
"218387484010661","66416242010538",2005,39,121,4839,1,1,"2.0.1",1,2005,7,25,2,"",2009-10-30,"10661","",2019-06-13,"126144",
"218386455010661","66416953010538",2005,39,129,4055,1,1,"2.0.1",1,2005,8,1,2,"",2009-10-30,"10661","",2019-06-13,"126144",
"218386565010661","66419770010538",2005,39,145,2326,1,1,"2.0.1",1,2005,6,23,2,"",2009-10-30,"10661","",2019-06-13,"126144",
"218387676010661","66420013010538",2005,39,147,4936,1,1,"2.0.1",1,2005,7,27,2,"",2009-10-30,"10661","",2019-06-13,"126144",
"218386773010661","66422502010538",2005,39,163,2417,1,1,"2.0.1",1,2005,6,15,2,"",2009-10-30,"10661","",2019-06-13,"126144",
"218387056010661","66422980010538",2005,39,165,2886,1,1,"2.0.1",1,2005,7,13,2,"",2009-10-30,"10661","",2019-06-13,"126144",
"218410862010661","76388826010538",2007,39,1,561,1,2,"3.0",1,2007,7,24,2,"",2009-10-30,"10661","",2019-06-13,"126144",
"218410351010661","76389426010538",2007,39,7,120,1,2,"3.0",1,2007,7,3,2,"",2009-10-30,"10661","",2019-06-13,"126144",
"218410101010661","76389048010538",2007,39,9,598,1,2,"3.0",1,2007,7,12,2,"",2009-10-30,"10661","",2019-06-13,"126144",
"218409709010661","76389772010538",2007,39,17,722,1,1,"3.0",1,2007,7,19,2,"",2009-10-30,"10661","",2019-06-13,"126144",
"218410639010661","76389470010538",2007,39,29,606,1,2,"3.0",1,2007,6,20,2,"",2009-10-30,"10661","",2019-06-13,"126144",
"218410931010661","76389478010538",2007,39,35,575,1,2,"3.0",1,2007,6,19,2,"",2009-10-30,"10661","",2019-06-13,"126144",
"218411083010661","76390178010538",2007,39,41,574,1,2,"3.0",1,2007,8,1,2,"",2009-10-30,"10661","",2019-06-13,"126144",
"218410183010661","76388870010538",2007,39,53,778,1,2,"3.0",1,2007,7,10,2,"",2009-10-30,"10661","",2019-06-13,"126144",
"218409793010661","76389928010538",2007,39,61,506,1,2,"3.0",1,2007,7,18,2,"",2009-10-30,"10661","",2019-06-13,"126144",
"218410723010661","76389268010538",2007,39,67,363,1,2,"3.0",1,2007,6,26,2,"",2009-10-30,"10661","",2019-06-13,"126144",
"218409894010661","76389074010538",2007,39,73,197,1,2,"3.0",1,2007,7,9,2,"",2009-10-30,"10661","",2019-06-13,"126144",
"218409994010661","76390278010538",2007,39,83,604,1,2,"3.0",1,2007,7,31,2,"",2009-10-30,"10661","",2019-06-13,"126144",
"218410290010661","76388932010538",2007,39,87,319,1,2,"3.0",1,2007,7,25,2,"",2009-10-30,"10661","",2019-06-13,"126144",
"218387153010661","66400505010538",2005,39,15,4442,1,1,"2.0.1",1,2005,7,11,2,"",2009-10-30,"10661","",2019-06-13,"126144",
"218410464010661","76389318010538",2007,39,111,537,1,2,"3.0",1,2007,6,28,2,"",2009-10-30,"10661","",2019-06-13,"126144",
"218410791010661","76389620010538",2007,39,133,64,1,2,"3.0",1,2007,6,21,2,"",2009-10-30,"10661","",2019-06-13,"126144",
"218411031010661","76389020010538",2007,39,145,33,1,2,"3.0",1,2007,7,23,2,"",2009-10-30,"10661","",2019-06-13,"126144",
"218410889010661","76389402010538",2007,39,157,295,1,2,"3.0",1,2007,6,27,2,"",2009-10-30,"10661","",2019-06-13,"126144",
"218410550010661","76389156010538",2007,39,167,404,1,2,"3.0",1,2007,7,11,2,"",2009-10-30,"10661","",2019-06-13,"126144",
"218441485010661","109828427010661",2008,39,1,5656,1,2,"4.0",1,2008,7,16,2,"",2009-10-30,"10661","",2019-06-13,"126144",
"218441586010661","109829095010661",2008,39,7,5352,1,2,"4.0",1,2008,6,17,2,"",2009-10-30,"10661","",2019-06-13,"126144",
"218440201010661","109827621010661",2008,39,13,2644,1,2,"4.0",1,2008,8,5,2,"",2009-10-30,"10661","",2019-06-13,"126144",
"218441529010661","109828639010661",2008,39,15,2715,1,2,"4.0",1,2008,7,17,2,"",2009-10-30,"10661","",2019-06-13,"126144",
"218440931010661","109828041010661",2008,39,31,4927,1,2,"4.0",1,2008,6,24,2,"",2009-10-30,"10661","",2019-06-13,"126144",
"218441723010661","109829223010661",2008,39,35,5793,1,2,"4.0",1,2008,7,2,2,"",2009-10-30,"10661","",2019-06-13,"126144",
"218440543010661","109827809010661",2008,39,59,1944,1,2,"4.0",1,2008,7,22,2,"",2009-10-30,"10661","",2019-06-13,"126144",
"218441086010661","109828069010661",2008,39,73,4384,1,2,"4.0",1,2008,6,26,2,"",2009-10-30,"10661","",2019-06-13,"126144",
"218441151010661","109828083010661",2008,39,79,2106,1,2,"4.0",1,2008,6,12,2,"",2009-10-30,"10661","",2019-06-13,"126144",
"218440448010661","109827771010661",2008,39,99,5047,1,2,"4.0",1,2008,6,17,2,"",2009-10-30,"10661","",2019-06-13,"126144",
"218440750010661","109827841010661",2008,39,105,2981,7,2,"4.0",1,2008,6,11,2,"",2009-10-30,"10661","",2019-06-13,"126144",
"218440287010661","109827633010661",2008,39,111,3407,1,2,"4.0",1,2008,7,23,2,"",2009-10-30,"10661","",2019-06-13,"126144",
"218441663010661","109829209010661",2008,39,115,3640,1,2,"4.0",1,2008,6,10,2,"",2009-10-30,"10661","",2019-06-13,"126144",
"218441000010661","109828053010661",2008,39,119,1949,1,2,"4.0",1,2008,6,25,2,"",2009-10-30,"10661","",2019-06-13,"126144",
"218441480010661","109828417010661",2008,39,131,2188,1,2,"4.0",1,2008,6,15,2,"",2009-10-30,"10661","",2019-06-13,"126144",
"218441386010661","109828299010661",2008,39,141,5316,1,2,"4.0",1,2008,7,8,2,"",2009-10-30,"10661","",2019-06-13,"126144",
"218441249010661","109828093010661",2008,39,145,2227,1,2,"4.0",1,2008,7,10,2,"",2009-10-30,"10661","",2019-06-13,"126144",
"218440831010661","109828017010661",2008,39,153,3576,1,2,"4.0",1,2008,7,1,2,"",2009-10-30,"10661","",2019-06-13,"126144",
"218440345010661","109827759010661",2008,39,155,5061,1,2,"4.0",1,2008,6,30,2,"",2009-10-30,"10661","",2019-06-13,"126144",
"218440629010661","109829303010661",2008,39,167,2110,1,2,"4.0",1,2008,8,6,2,"",2009-10-30,"10661","",2019-06-13,"126144",
"236056713010661","144953751010661",2009,39,5,4827,1,2,"4.0",1,2009,6,15,2,"",2010-11-05,"10661","",2019-06-13,"126144",
"236055206010661","144953675010661",2009,39,9,2380,1,2,"4.0",1,2009,7,6,2,"",2010-11-05,"10661","",2019-06-13,"126144",
"236057722010661","144954517010661",2009,39,11,2083,1,2,"4.0",1,2009,6,16,2,"",2010-11-05,"10661","",2019-06-13,"126144",
"236053911010661","144954161010661",2009,39,15,3247,1,2,"4.0",1,2009,7,28,2,"",2010-11-05,"10661","",2019-06-13,"126144",
"236055614010661","144953287010661",2009,39,19,2633,1,2,"4.0",1,2009,6,9,2,"",2010-11-05,"10661","",2019-06-13,"126144",
"236056806010661","144953267010661",2009,39,29,5665,1,2,"4.0",1,2009,6,29,2,"",2010-11-05,"10661","",2019-06-13,"126144",
"236055795010661","144953639010661",2009,39,31,1154,1,2,"4.0",1,2009,6,8,2,"",2010-11-05,"10661","",2019-06-13,"126144",
"236054069010661","144953567010661",2009,39,53,2364,1,2,"4.0",1,2009,8,6,2,"",2010-11-05,"10661","",2019-06-13,"126144",
"236056953010661","144953593010661",2009,39,55,1176,1,2,"4.0",1,2009,6,30,2,"",2010-11-05,"10661","",2019-06-13,"126144",
"236057243010661","144954337010661",2009,39,57,2961,1,2,"4.0",1,2009,7,29,2,"",2010-11-05,"10661","",2019-06-13,"126144",
"236056007010661","144953299010661",2009,39,67,4888,1,2,"4.0",1,2009,6,9,2,"",2010-11-05,"10661","",2019-06-13,"126144",
"236054284010661","144954149010661",2009,39,71,5390,1,2,"4.0",1,2009,7,23,2,"",2010-11-05,"10661","",2019-06-13,"126144",
"236054531010661","144953707010661",2009,39,87,2049,1,2,"4.0",1,2009,7,8,2,"",2010-11-05,"10661","",2019-06-13,"126144",
"236057886010661","144954313010661",2009,39,91,4513,1,2,"4.0",1,2009,6,17,2,"",2010-11-05,"10661","",2019-06-13,"126144",
"236058114010661","144954467010661",2009,39,95,3536,1,2,"4.0",1,2009,7,30,2,"",2010-11-05,"10661","",2019-06-13,"126144",
"236058296010661","144954079010661",2009,39,117,3433,1,2,"4.0",1,2009,6,24,2,"",2010-11-05,"10661","",2019-06-13,"126144",
"236056147010661","144953531010661",2009,39,119,1245,1,2,"4.0",1,2009,6,23,2,"",2010-11-05,"10661","",2019-06-13,"126144",
"236056354010661","144953331010661",2009,39,121,2146,1,2,"4.0",1,2009,7,9,2,"",2010-11-05,"10661","",2019-06-13,"126144",
"236055433010661","144954845010661",2009,39,127,3072,1,2,"4.0",1,2009,6,25,2,"",2010-11-05,"10661","",2019-06-13,"126144",
"236057435010661","144954561010661",2009,39,135,1422,1,2,"4.0",1,2009,8,10,2,"",2010-11-05,"10661","",2019-06-13,"126144",
"236054778010661","144953903010661",2009,39,141,3077,1,2,"4.0",1,2009,7,13,2,"",2010-11-05,"10661","",2019-06-13,"126144",
"236054978010661","144953809010661",2009,39,145,4951,1,2,"4.0",1,2009,7,21,2,"",2010-11-05,"10661","",2019-06-13,"126144",
"236056534010661","144953627010661",2009,39,157,3047,1,2,"4.0",1,2009,6,22,2,"",2010-11-05,"10661","",2019-06-13,"126144",
"236057615010661","144954347010661",2009,39,165,2505,1,2,"4.0",1,2009,7,14,2,"",2010-11-05,"10661","",2019-06-13,"126144",
"248609596010661","168996353010661",2010,39,13,3399,1,2,"4.0",1,2010,6,29,2,"",2011-05-09,"10661","",2019-06-13,"126144",
"247526760010661","168996583010661",2010,39,13,4479,1,2,"4.0",1,2010,7,1,2,"",2011-05-05,"10661","",2019-06-13,"126144",
"247542152010661","168995905010661",2010,39,25,5374,1,2,"4.0",1,2010,7,20,2,"",2011-05-05,"10661","",2019-06-13,"126144",
"247542427010661","168995897010661",2010,39,27,3456,1,2,"4.0",1,2010,7,19,2,"",2011-05-05,"10661","",2019-06-13,"126144",
"247543511010661","168996623010661",2010,39,41,3878,1,2,"4.0",1,2010,6,17,2,"",2011-05-05,"10661","",2019-06-13,"126144",
"248610278010661","168995097010661",2010,39,53,3579,1,2,"4.0",1,2010,7,7,2,"",2011-05-09,"10661","",2019-06-13,"126144",
"248610544010661","168995175010661",2010,39,59,2204,1,1,"4.0",1,2010,7,29,2,"",2011-05-09,"10661","",2019-06-13,"126144",
"247545092010661","168995163010661",2010,39,59,2535,1,2,"4.0",1,2010,7,27,2,"",2011-05-05,"10661","",2019-06-13,"126144",
"248065778010661","168996193010661",2010,39,61,2063,1,2,"4.0",1,2010,7,21,2,"",2011-05-05,"10661","",2019-06-13,"126144",
"247553600010661","168995445010661",2010,39,73,5262,1,2,"4.0",1,2010,8,5,2,"",2011-05-05,"10661","",2019-06-13,"126144",
"248065983010661","168995405010661",2010,39,75,1717,1,2,"4.0",1,2010,7,28,2,"",2011-05-05,"10661","",2019-06-13,"126144",
"247554744010661","168995585010661",2010,39,77,3789,1,2,"4.0",1,2010,6,15,2,"",2011-05-05,"10661","",2019-06-13,"126144",
"247560283010661","168994889010661",2010,39,81,5147,1,2,"4.0",1,2010,6,30,2,"",2011-05-05,"10661","",2019-06-13,"126144",
"247577622010661","168996389010661",2010,39,103,4704,1,2,"4.0",1,2010,6,16,2,"",2011-05-05,"10661","",2019-06-13,"126144",
"247578321010661","168996323010661",2010,39,107,4902,1,2,"4.0",1,2010,7,13,2,"",2011-05-05,"10661","",2019-06-13,"126144",
"247578942010661","168996081010661",2010,39,113,1116,1,2,"4.0",1,2010,8,4,2,"",2011-05-05,"10661","",2019-06-13,"126144",
"247581549010661","168995667010661",2010,39,141,4924,1,2,"4.0",1,2010,8,3,2,"",2011-05-05,"10661","",2019-06-13,"126144",
"247583119010661","168994999010661",2010,39,155,4794,1,2,"4.0",1,2010,8,17,2,"",2011-05-05,"10661","",2019-06-13,"126144",
"247583465010661","168995039010661",2010,39,157,5760,1,1,"4.0",1,2010,7,30,2,"",2011-05-05,"10661","",2019-06-13,"126144",
"248612115010661","168994921010661",2010,39,167,2121,1,2,"4.0",1,2010,7,8,2,"",2011-05-09,"10661","",2019-06-13,"126144",
"236057082010661","144954107010661",2009,39,49,1720,1,2,"4.0",1,2009,6,18,2,"",2010-11-05,"10661","",2019-06-13,"126144",
