"CN","PLT_CN","VVT_CN","VSB_CN","INVYR","STATECD","COUNTYCD","PLOT","SUBP","QUADRAT","CONDID","QUADRAT_STATUS","QUADRAT_STATUS_PRE2004","TRAMPLING","CREATED_BY","CREATED_DATE","CREATED_IN_INSTANCE","MODIFIED_BY","MODIFIED_DATE","MODIFIED_IN_INSTANCE"
"146129010760","59860065010538","623010760","70323010760",2003,39,165,2505,2,2,1,1,,1,"",2005-12-21,"10760","",,""
"146130010760","59860065010538","623010760","70323010760",2003,39,165,2505,2,3,1,1,,1,"",2005-12-21,"10760","",,""
"146131010760","59860065010538","623010760","70324010760",2003,39,165,2505,3,1,1,1,,1,"",2005-12-21,"10760","",,""
"146132010760","59860065010538","623010760","70324010760",2003,39,165,2505,3,2,1,1,,1,"",2005-12-21,"10760","",,""
"145860010760","59815863010538","598010760","70224010760",2002,39,167,2110,3,3,1,1,,1,"",2005-12-21,"10760","",,""
"145861010760","59815863010538","598010760","70225010760",2002,39,167,2110,4,1,1,1,,1,"",2005-12-21,"10760","",,""
"145862010760","59815863010538","598010760","70225010760",2002,39,167,2110,4,2,1,1,,1,"",2005-12-21,"10760","",,""
"145863010760","59815863010538","598010760","70225010760",2002,39,167,2110,4,3,1,1,,1,"",2005-12-21,"10760","",,""
"147346010760","59819472010538","746010760","70814010760",2002,39,59,1944,1,1,1,1,,1,"",2005-12-21,"10760","",,""
"147347010760","59819472010538","746010760","70814010760",2002,39,59,1944,1,2,1,1,,1,"",2005-12-21,"10760","",,""
"147348010760","59819472010538","746010760","70814010760",2002,39,59,1944,1,3,1,1,,1,"",2005-12-21,"10760","",,""
"147349010760","59819472010538","746010760","70815010760",2002,39,59,1944,2,1,1,1,,1,"",2005-12-21,"10760","",,""
"147350010760","59819472010538","746010760","70815010760",2002,39,59,1944,2,2,1,1,,1,"",2005-12-21,"10760","",,""
"147351010760","59819472010538","746010760","70815010760",2002,39,59,1944,2,3,1,1,,1,"",2005-12-21,"10760","",,""
"147355010760","59819472010538","746010760","70817010760",2002,39,59,1944,4,1,1,1,,1,"",2005-12-21,"10760","",,""
"147356010760","59819472010538","746010760","70817010760",2002,39,59,1944,4,2,1,3,,1,"",2005-12-21,"10760","",,""
"147357010760","59819472010538","746010760","70817010760",2002,39,59,1944,4,3,1,1,,1,"",2005-12-21,"10760","",,""
"145984010760","59821617010538","611010760","70274010760",2002,39,73,4384,1,1,1,1,,2,"",2005-12-21,"10760","",,""
"145985010760","59821617010538","611010760","70274010760",2002,39,73,4384,1,2,1,1,,1,"",2005-12-21,"10760","",,""
"145986010760","59821617010538","611010760","70274010760",2002,39,73,4384,1,3,1,1,,1,"",2005-12-21,"10760","",,""
"145987010760","59821617010538","611010760","70275010760",2002,39,73,4384,2,1,1,1,,1,"",2005-12-21,"10760","",,""
"145988010760","59821617010538","611010760","70275010760",2002,39,73,4384,2,2,1,1,,1,"",2005-12-21,"10760","",,""
"145989010760","59821617010538","611010760","70275010760",2002,39,73,4384,2,3,1,1,,1,"",2005-12-21,"10760","",,""
"148785010760","59785584010538","877010760","71341010760",2001,39,35,575,4,3,1,1,,1,"",2005-12-21,"10760","",,""
"147466010760","59786192010538","757010760","70858010760",2001,39,41,574,1,1,1,1,,1,"",2005-12-21,"10760","",,""
"147467010760","59786192010538","757010760","70858010760",2001,39,41,574,1,2,1,1,,1,"",2005-12-21,"10760","",,""
"147468010760","59786192010538","757010760","70858010760",2001,39,41,574,1,3,1,1,,1,"",2005-12-21,"10760","",,""
"147469010760","59786192010538","757010760","70859010760",2001,39,41,574,2,1,3,1,,1,"",2005-12-21,"10760","",,""
"147470010760","59786192010538","757010760","70859010760",2001,39,41,574,2,2,3,1,,1,"",2005-12-21,"10760","",,""
"147471010760","59786192010538","757010760","70859010760",2001,39,41,574,2,3,3,1,,2,"",2005-12-21,"10760","",,""
"147472010760","59786192010538","757010760","70860010760",2001,39,41,574,3,1,1,1,,1,"",2005-12-21,"10760","",,""
"147473010760","59786192010538","757010760","70860010760",2001,39,41,574,3,2,1,1,,1,"",2005-12-21,"10760","",,""
"147474010760","59786192010538","757010760","70860010760",2001,39,41,574,3,3,1,1,,1,"",2005-12-21,"10760","",,""
"144643010760","59787135010538","485010760","69770010760",2001,39,53,778,1,1,1,1,,1,"",2005-12-21,"10760","",,""
"144644010760","59787135010538","485010760","69770010760",2001,39,53,778,1,2,1,1,,1,"",2005-12-21,"10760","",,""
"144645010760","59787135010538","485010760","69770010760",2001,39,53,778,1,3,1,1,,1,"",2005-12-21,"10760","",,""
"144646010760","59787135010538","485010760","69771010760",2001,39,53,778,2,1,1,1,,1,"",2005-12-21,"10760","",,""
"144647010760","59787135010538","485010760","69771010760",2001,39,53,778,2,2,1,1,,1,"",2005-12-21,"10760","",,""
"144648010760","59787135010538","485010760","69771010760",2001,39,53,778,2,3,1,1,,1,"",2005-12-21,"10760","",,""
"144649010760","59787135010538","485010760","69772010760",2001,39,53,778,3,1,1,1,,1,"",2005-12-21,"10760","",,""
"144650010760","59787135010538","485010760","69772010760",2001,39,53,778,3,2,1,1,,1,"",2005-12-21,"10760","",,""
"144651010760","59787135010538","485010760","69772010760",2001,39,53,778,3,3,1,1,,1,"",2005-12-21,"10760","",,""
"144652010760","59787135010538","485010760","69773010760",2001,39,53,778,4,1,1,1,,1,"",2005-12-21,"10760","",,""
"144653010760","59787135010538","485010760","69773010760",2001,39,53,778,4,2,1,1,,1,"",2005-12-21,"10760","",,""
"144654010760","59787135010538","485010760","69773010760",2001,39,53,778,4,3,1,1,,1,"",2005-12-21,"10760","",,""
"146113010760","59788852010538","622010760","70318010760",2001,39,61,506,1,1,1,1,,1,"",2005-12-21,"10760","",,""
"146114010760","59788852010538","622010760","70318010760",2001,39,61,506,1,2,1,1,,1,"",2005-12-21,"10760","",,""
"146115010760","59788852010538","622010760","70318010760",2001,39,61,506,1,3,1,1,,1,"",2005-12-21,"10760","",,""
"146116010760","59788852010538","622010760","70319010760",2001,39,61,506,2,1,1,1,,1,"",2005-12-21,"10760","",,""
"146117010760","59788852010538","622010760","70319010760",2001,39,61,506,2,2,1,1,,1,"",2005-12-21,"10760","",,""
"146118010760","59788852010538","622010760","70319010760",2001,39,61,506,2,3,1,1,,1,"",2005-12-21,"10760","",,""
"146122010760","59788852010538","622010760","70321010760",2001,39,61,506,4,1,1,1,,1,"",2005-12-21,"10760","",,""
"146123010760","59788852010538","622010760","70321010760",2001,39,61,506,4,2,1,1,,1,"",2005-12-21,"10760","",,""
"146124010760","59788852010538","622010760","70321010760",2001,39,61,506,4,3,1,1,,1,"",2005-12-21,"10760","",,""
"147262010760","59789167010538","738010760","70782010760",2001,39,67,363,1,1,1,1,,2,"",2005-12-21,"10760","",,""
"147263010760","59789167010538","738010760","70782010760",2001,39,67,363,1,2,1,1,,2,"",2005-12-21,"10760","",,""
"147264010760","59789167010538","738010760","70782010760",2001,39,67,363,1,3,1,1,,1,"",2005-12-21,"10760","",,""
"147265010760","59789167010538","738010760","70783010760",2001,39,67,363,2,1,2,4,,,"",2005-12-21,"10760","",,""
"147266010760","59789167010538","738010760","70783010760",2001,39,67,363,2,2,2,1,,1,"",2005-12-21,"10760","",,""
"147267010760","59789167010538","738010760","70783010760",2001,39,67,363,2,3,2,1,,2,"",2005-12-21,"10760","",,""
"147268010760","59789167010538","738010760","70784010760",2001,39,67,363,3,1,1,1,,1,"",2005-12-21,"10760","",,""
"147269010760","59789167010538","738010760","70784010760",2001,39,67,363,3,2,1,1,,2,"",2005-12-21,"10760","",,""
"147270010760","59789167010538","738010760","70784010760",2001,39,67,363,3,3,1,1,,1,"",2005-12-21,"10760","",,""
"147271010760","59789167010538","738010760","70785010760",2001,39,67,363,4,1,1,1,,1,"",2005-12-21,"10760","",,""
"147272010760","59789167010538","738010760","70785010760",2001,39,67,363,4,2,1,1,,2,"",2005-12-21,"10760","",,""
"147273010760","59789167010538","738010760","70785010760",2001,39,67,363,4,3,1,1,,1,"",2005-12-21,"10760","",,""
"145996010760","59790455010538","612010760","70278010760",2001,39,73,197,1,1,1,1,,1,"",2005-12-21,"10760","",,""
"145997010760","59790455010538","612010760","70278010760",2001,39,73,197,1,2,1,1,,1,"",2005-12-21,"10760","",,""
"145998010760","59790455010538","612010760","70278010760",2001,39,73,197,1,3,1,1,,1,"",2005-12-21,"10760","",,""
"145999010760","59790455010538","612010760","70279010760",2001,39,73,197,2,1,1,1,,2,"",2005-12-21,"10760","",,""
"146000010760","59790455010538","612010760","70279010760",2001,39,73,197,2,2,1,1,,1,"",2005-12-21,"10760","",,""
"146001010760","59790455010538","612010760","70279010760",2001,39,73,197,2,3,1,1,,1,"",2005-12-21,"10760","",,""
"146002010760","59790455010538","612010760","70280010760",2001,39,73,197,3,1,1,1,,1,"",2005-12-21,"10760","",,""
"146003010760","59790455010538","612010760","70280010760",2001,39,73,197,3,2,1,1,,2,"",2005-12-21,"10760","",,""
"146004010760","59790455010538","612010760","70280010760",2001,39,73,197,3,3,1,1,,1,"",2005-12-21,"10760","",,""
"146005010760","59790455010538","612010760","70281010760",2001,39,73,197,4,1,1,1,,2,"",2005-12-21,"10760","",,""
"146006010760","59790455010538","612010760","70281010760",2001,39,73,197,4,2,1,1,,1,"",2005-12-21,"10760","",,""
"146007010760","59790455010538","612010760","70281010760",2001,39,73,197,4,3,1,1,,2,"",2005-12-21,"10760","",,""
"147454010760","59792161010538","756010760","70854010760",2001,39,83,604,1,1,1,1,,1,"",2005-12-21,"10760","",,""
"147455010760","59792161010538","756010760","70854010760",2001,39,83,604,1,2,1,1,,1,"",2005-12-21,"10760","",,""
"147456010760","59792161010538","756010760","70854010760",2001,39,83,604,1,3,1,1,,1,"",2005-12-21,"10760","",,""
"147457010760","59792161010538","756010760","70855010760",2001,39,83,604,2,1,1,1,,1,"",2005-12-21,"10760","",,""
"147458010760","59792161010538","756010760","70855010760",2001,39,83,604,2,2,1,1,,1,"",2005-12-21,"10760","",,""
"147459010760","59792161010538","756010760","70855010760",2001,39,83,604,2,3,1,1,,1,"",2005-12-21,"10760","",,""
"147460010760","59792161010538","756010760","70856010760",2001,39,83,604,3,1,1,1,,1,"",2005-12-21,"10760","",,""
"147461010760","59792161010538","756010760","70856010760",2001,39,83,604,3,2,1,1,,1,"",2005-12-21,"10760","",,""
"147462010760","59792161010538","756010760","70856010760",2001,39,83,604,3,3,1,1,,1,"",2005-12-21,"10760","",,""
"147463010760","59792161010538","756010760","70857010760",2001,39,83,604,4,1,1,1,,1,"",2005-12-21,"10760","",,""
"147464010760","59792161010538","756010760","70857010760",2001,39,83,604,4,2,1,1,,1,"",2005-12-21,"10760","",,""
"147465010760","59792161010538","756010760","70857010760",2001,39,83,604,4,3,1,1,,1,"",2005-12-21,"10760","",,""
"144607010760","59792877010538","482010760","69758010760",2001,39,87,319,1,1,1,1,,1,"",2005-12-21,"10760","",,""
"144608010760","59792877010538","482010760","69758010760",2001,39,87,319,1,2,1,1,,1,"",2005-12-21,"10760","",,""
"144724010760","59780449010538","491010760","69797010760",2001,39,1,561,4,1,1,1,,1,"",2005-12-21,"10760","",,""
"144725010760","59780449010538","491010760","69797010760",2001,39,1,561,4,2,1,1,,1,"",2005-12-21,"10760","",,""
"144726010760","59780449010538","491010760","69797010760",2001,39,1,561,4,3,1,1,,1,"",2005-12-21,"10760","",,""
"148711010760","59781089010538","871010760","71314010760",2001,39,7,120,1,1,1,1,,1,"",2005-12-21,"10760","",,""
"148712010760","59781089010538","871010760","71314010760",2001,39,7,120,1,2,1,1,,1,"",2005-12-21,"10760","",,""
"148713010760","59781089010538","871010760","71314010760",2001,39,7,120,1,3,1,1,,1,"",2005-12-21,"10760","",,""
"148714010760","59781089010538","871010760","71315010760",2001,39,7,120,2,1,1,1,,1,"",2005-12-21,"10760","",,""
"148715010760","59781089010538","871010760","71315010760",2001,39,7,120,2,2,1,3,,1,"",2005-12-21,"10760","",,""
"148716010760","59781089010538","871010760","71315010760",2001,39,7,120,2,3,1,1,,1,"",2005-12-21,"10760","",,""
"148717010760","59781089010538","871010760","71316010760",2001,39,7,120,3,1,1,1,,1,"",2005-12-21,"10760","",,""
"148718010760","59781089010538","871010760","71316010760",2001,39,7,120,3,2,1,1,,1,"",2005-12-21,"10760","",,""
"148719010760","59781089010538","871010760","71316010760",2001,39,7,120,3,3,1,1,,1,"",2005-12-21,"10760","",,""
"148720010760","59781089010538","871010760","71317010760",2001,39,7,120,4,1,1,1,,1,"",2005-12-21,"10760","",,""
"148721010760","59781089010538","871010760","71317010760",2001,39,7,120,4,2,1,1,,1,"",2005-12-21,"10760","",,""
"148722010760","59781089010538","871010760","71317010760",2001,39,7,120,4,3,1,1,,1,"",2005-12-21,"10760","",,""
"145972010760","59782247010538","610010760","70270010760",2001,39,9,598,1,1,1,1,,1,"",2005-12-21,"10760","",,""
"145973010760","59782247010538","610010760","70270010760",2001,39,9,598,1,2,1,1,,1,"",2005-12-21,"10760","",,""
"145974010760","59782247010538","610010760","70270010760",2001,39,9,598,1,3,1,1,,1,"",2005-12-21,"10760","",,""
"145975010760","59782247010538","610010760","70271010760",2001,39,9,598,2,1,1,1,,1,"",2005-12-21,"10760","",,""
"145976010760","59782247010538","610010760","70271010760",2001,39,9,598,2,2,1,1,,2,"",2005-12-21,"10760","",,""
"145977010760","59782247010538","610010760","70271010760",2001,39,9,598,2,3,1,1,,1,"",2005-12-21,"10760","",,""
"145978010760","59782247010538","610010760","70272010760",2001,39,9,598,3,1,1,1,,1,"",2005-12-21,"10760","",,""
"145979010760","59782247010538","610010760","70272010760",2001,39,9,598,3,2,1,1,,1,"",2005-12-21,"10760","",,""
"145980010760","59782247010538","610010760","70272010760",2001,39,9,598,3,3,1,1,,1,"",2005-12-21,"10760","",,""
"145981010760","59782247010538","610010760","70273010760",2001,39,9,598,4,1,1,1,,1,"",2005-12-21,"10760","",,""
"145982010760","59782247010538","610010760","70273010760",2001,39,9,598,4,2,1,1,,1,"",2005-12-21,"10760","",,""
"145983010760","59782247010538","610010760","70273010760",2001,39,9,598,4,3,1,1,,2,"",2005-12-21,"10760","",,""
"146101010760","59784375010538","621010760","70314010760",2001,39,25,401,1,1,1,1,,2,"",2005-12-21,"10760","",,""
"146102010760","59784375010538","621010760","70314010760",2001,39,25,401,1,2,1,1,,1,"",2005-12-21,"10760","",,""
"146103010760","59784375010538","621010760","70314010760",2001,39,25,401,1,3,1,1,,1,"",2005-12-21,"10760","",,""
"146104010760","59784375010538","621010760","70315010760",2001,39,25,401,2,1,1,1,,1,"",2005-12-21,"10760","",,""
"146105010760","59784375010538","621010760","70315010760",2001,39,25,401,2,2,1,1,,1,"",2005-12-21,"10760","",,""
"146106010760","59784375010538","621010760","70315010760",2001,39,25,401,2,3,1,1,,2,"",2005-12-21,"10760","",,""
"147322010760","59784920010538","743010760","70802010760",2001,39,29,606,1,1,1,1,,2,"",2005-12-21,"10760","",,""
"147323010760","59784920010538","743010760","70802010760",2001,39,29,606,1,2,1,1,,1,"",2005-12-21,"10760","",,""
"147324010760","59784920010538","743010760","70802010760",2001,39,29,606,1,3,1,1,,2,"",2005-12-21,"10760","",,""
"147325010760","59784920010538","743010760","70803010760",2001,39,29,606,2,1,2,1,,1,"",2005-12-21,"10760","",,""
"147326010760","59784920010538","743010760","70803010760",2001,39,29,606,2,2,2,1,,2,"",2005-12-21,"10760","",,""
"147327010760","59784920010538","743010760","70803010760",2001,39,29,606,2,3,2,1,,1,"",2005-12-21,"10760","",,""
"147328010760","59784920010538","743010760","70804010760",2001,39,29,606,3,1,1,1,,1,"",2005-12-21,"10760","",,""
"147329010760","59784920010538","743010760","70804010760",2001,39,29,606,3,2,1,1,,1,"",2005-12-21,"10760","",,""
"147330010760","59784920010538","743010760","70804010760",2001,39,29,606,3,3,1,1,,1,"",2005-12-21,"10760","",,""
"147331010760","59784920010538","743010760","70805010760",2001,39,29,606,4,1,1,1,,1,"",2005-12-21,"10760","",,""
"147332010760","59784920010538","743010760","70805010760",2001,39,29,606,4,2,1,1,,2,"",2005-12-21,"10760","",,""
"147333010760","59784920010538","743010760","70805010760",2001,39,29,606,4,3,1,1,,1,"",2005-12-21,"10760","",,""
"148774010760","59785584010538","877010760","71338010760",2001,39,35,575,1,1,1,1,,2,"",2005-12-21,"10760","",,""
"148775010760","59785584010538","877010760","71338010760",2001,39,35,575,1,2,1,1,,2,"",2005-12-21,"10760","",,""
"148776010760","59785584010538","877010760","71338010760",2001,39,35,575,1,3,1,1,,2,"",2005-12-21,"10760","",,""
"148777010760","59785584010538","877010760","71339010760",2001,39,35,575,2,1,1,1,,2,"",2005-12-21,"10760","",,""
"148778010760","59785584010538","877010760","71339010760",2001,39,35,575,2,2,1,1,,1,"",2005-12-21,"10760","",,""
"148779010760","59785584010538","877010760","71339010760",2001,39,35,575,2,3,1,1,,2,"",2005-12-21,"10760","",,""
"148780010760","59785584010538","877010760","71340010760",2001,39,35,575,3,1,1,1,,1,"",2005-12-21,"10760","",,""
"148781010760","59785584010538","877010760","71340010760",2001,39,35,575,3,2,1,1,,1,"",2005-12-21,"10760","",,""
"148782010760","59785584010538","877010760","71340010760",2001,39,35,575,3,3,1,1,,1,"",2005-12-21,"10760","",,""
"144609010760","59792877010538","482010760","69758010760",2001,39,87,319,1,3,1,1,,1,"",2005-12-21,"10760","",,""
"144610010760","59792877010538","482010760","69759010760",2001,39,87,319,2,1,1,1,,1,"",2005-12-21,"10760","",,""
"144611010760","59792877010538","482010760","69759010760",2001,39,87,319,2,2,1,1,,2,"",2005-12-21,"10760","",,""
"144612010760","59792877010538","482010760","69759010760",2001,39,87,319,2,3,1,1,,1,"",2005-12-21,"10760","",,""
"144613010760","59792877010538","482010760","69760010760",2001,39,87,319,3,1,1,1,,2,"",2005-12-21,"10760","",,""
"144614010760","59792877010538","482010760","69760010760",2001,39,87,319,3,2,1,1,,1,"",2005-12-21,"10760","",,""
"148783010760","59785584010538","877010760","71341010760",2001,39,35,575,4,1,1,1,,1,"",2005-12-21,"10760","",,""
"148784010760","59785584010538","877010760","71341010760",2001,39,35,575,4,2,1,1,,1,"",2005-12-21,"10760","",,""
"144615010760","59792877010538","482010760","69760010760",2001,39,87,319,3,3,1,1,,1,"",2005-12-21,"10760","",,""
"144616010760","59792877010538","482010760","69761010760",2001,39,87,319,4,1,1,1,,1,"",2005-12-21,"10760","",,""
"144617010760","59792877010538","482010760","69761010760",2001,39,87,319,4,2,1,1,,1,"",2005-12-21,"10760","",,""
"144618010760","59792877010538","482010760","69761010760",2001,39,87,319,4,3,1,1,,1,"",2005-12-21,"10760","",,""
"148762010760","59799485010538","876010760","71334010760",2001,39,133,64,1,1,1,1,,1,"",2005-12-21,"10760","",,""
"145990010760","59821617010538","611010760","70276010760",2002,39,73,4384,3,1,1,1,,1,"",2005-12-21,"10760","",,""
"145991010760","59821617010538","611010760","70276010760",2002,39,73,4384,3,2,1,1,,1,"",2005-12-21,"10760","",,""
"145992010760","59821617010538","611010760","70276010760",2002,39,73,4384,3,3,1,1,,1,"",2005-12-21,"10760","",,""
"145993010760","59821617010538","611010760","70277010760",2002,39,73,4384,4,1,1,1,,1,"",2005-12-21,"10760","",,""
"145994010760","59821617010538","611010760","70277010760",2002,39,73,4384,4,2,1,1,,1,"",2005-12-21,"10760","",,""
"145995010760","59821617010538","611010760","70277010760",2002,39,73,4384,4,3,1,1,,1,"",2005-12-21,"10760","",,""
"145939010760","59822682010538","607010760","70258010760",2002,39,79,2106,1,1,1,1,,1,"",2005-12-21,"10760","",,""
"145940010760","59822682010538","607010760","70258010760",2002,39,79,2106,1,2,1,1,,1,"",2005-12-21,"10760","",,""
"145941010760","59822682010538","607010760","70258010760",2002,39,79,2106,1,3,1,1,,1,"",2005-12-21,"10760","",,""
"145942010760","59822682010538","607010760","70259010760",2002,39,79,2106,2,1,1,1,,1,"",2005-12-21,"10760","",,""
"145943010760","59822682010538","607010760","70259010760",2002,39,79,2106,2,2,1,1,,1,"",2005-12-21,"10760","",,""
"145944010760","59822682010538","607010760","70259010760",2002,39,79,2106,2,3,1,1,,1,"",2005-12-21,"10760","",,""
"145945010760","59822682010538","607010760","70260010760",2002,39,79,2106,3,1,1,1,,1,"",2005-12-21,"10760","",,""
"145946010760","59822682010538","607010760","70260010760",2002,39,79,2106,3,2,1,1,,1,"",2005-12-21,"10760","",,""
"145947010760","59822682010538","607010760","70260010760",2002,39,79,2106,3,3,1,1,,1,"",2005-12-21,"10760","",,""
"145948010760","59822682010538","607010760","70261010760",2002,39,79,2106,4,1,1,1,,1,"",2005-12-21,"10760","",,""
"145949010760","59822682010538","607010760","70261010760",2002,39,79,2106,4,2,1,1,,1,"",2005-12-21,"10760","",,""
"145950010760","59822682010538","607010760","70261010760",2002,39,79,2106,4,3,1,1,,1,"",2005-12-21,"10760","",,""
"147238010760","59823251010538","736010760","70774010760",2002,39,81,2843,1,1,1,1,,1,"",2005-12-21,"10760","",,""
"147239010760","59823251010538","736010760","70774010760",2002,39,81,2843,1,2,1,1,,1,"",2005-12-21,"10760","",,""
"147240010760","59823251010538","736010760","70774010760",2002,39,81,2843,1,3,1,1,,1,"",2005-12-21,"10760","",,""
"147241010760","59823251010538","736010760","70775010760",2002,39,81,2843,2,1,1,1,,1,"",2005-12-21,"10760","",,""
"147242010760","59823251010538","736010760","70775010760",2002,39,81,2843,2,2,1,1,,1,"",2005-12-21,"10760","",,""
"147243010760","59823251010538","736010760","70775010760",2002,39,81,2843,2,3,1,1,,1,"",2005-12-21,"10760","",,""
"147244010760","59823251010538","736010760","70776010760",2002,39,81,2843,3,1,1,1,,1,"",2005-12-21,"10760","",,""
"147245010760","59823251010538","736010760","70776010760",2002,39,81,2843,3,2,1,1,,1,"",2005-12-21,"10760","",,""
"147246010760","59823251010538","736010760","70776010760",2002,39,81,2843,3,3,1,1,,1,"",2005-12-21,"10760","",,""
"147247010760","59823251010538","736010760","70777010760",2002,39,81,2843,4,1,1,1,,1,"",2005-12-21,"10760","",,""
"147248010760","59823251010538","736010760","70777010760",2002,39,81,2843,4,2,1,1,,1,"",2005-12-21,"10760","",,""
"147249010760","59823251010538","736010760","70777010760",2002,39,81,2843,4,3,1,1,,1,"",2005-12-21,"10760","",,""
"146134010760","59860065010538","623010760","70325010760",2003,39,165,2505,4,1,1,1,,1,"",2005-12-21,"10760","",,""
"146135010760","59860065010538","623010760","70325010760",2003,39,165,2505,4,2,1,1,,1,"",2005-12-21,"10760","",,""
"146136010760","59860065010538","623010760","70325010760",2003,39,165,2505,4,3,1,1,,1,"",2005-12-21,"10760","",,""
"146149010760","59862539010538","625010760","70330010760",2004,39,113,1116,1,1,1,1,,1,"",2005-12-21,"10760","",,""
"148763010760","59799485010538","876010760","71334010760",2001,39,133,64,1,2,1,1,,1,"",2005-12-21,"10760","",,""
