"CN","PLT_CN","SBP_CN","INVYR","STATECD","UNITCD","COUNTYCD","PLOT","SUBP","REGEN_SUBP_STATUS_CD","REGEN_NONSAMPLE_REASN_CD","SUBPLOT_SITE_LIMITATIONS","MICROPLOT_SITE_LIMITATIONS","CREATED_BY","CREATED_DATE","CREATED_IN_INSTANCE","MODIFIED_BY","MODIFIED_DATE","MODIFIED_IN_INSTANCE","CYCLE","SUBCYCLE","REGEN_MICR_STATUS_CD"
"233228817020004","247063962010661","211877339020004",2012,39,4,29,606,2,1,,1,1,"",2014-01-29,"20004","",2016-06-21,"489998",7,1,1
"233228818020004","247063962010661","211877340020004",2012,39,4,29,606,3,1,,1,1,"",2014-01-29,"20004","",2016-06-21,"489998",7,1,1
"233228819020004","247063962010661","211877341020004",2012,39,4,29,606,4,1,,1,1,"",2014-01-29,"20004","",2016-06-21,"489998",7,1,1
"233228413020004","247063982010661","211878141020004",2012,39,4,99,747,1,2,10,,,"",2014-01-29,"20004","",2016-06-21,"489998",7,1,9
"233228414020004","247063982010661","211878142020004",2012,39,4,99,747,2,2,10,,,"",2014-01-29,"20004","",2016-06-21,"489998",7,1,9
"233228415020004","247063982010661","211878143020004",2012,39,4,99,747,3,2,10,,,"",2014-01-29,"20004","",2016-06-21,"489998",7,1,9
"233228416020004","247063982010661","211878144020004",2012,39,4,99,747,4,2,10,,,"",2014-01-29,"20004","",2016-06-21,"489998",7,1,9
"233228907020004","247063227010661","211865390020004",2012,39,1,141,646,1,1,,1,1,"",2014-01-29,"20004","",2016-06-21,"489998",7,1,1
"233228908020004","247063227010661","211865391020004",2012,39,1,141,646,2,1,,1,1,"",2014-01-29,"20004","",2016-06-21,"489998",7,1,1
"233228909020004","247063227010661","211865392020004",2012,39,1,141,646,3,1,,1,1,"",2014-01-29,"20004","",2016-06-21,"489998",7,1,1
"233229034020004","247063995010661","211878641020004",2012,39,3,111,884,4,2,10,,,"",2014-01-29,"20004","",2016-06-21,"489998",7,1,5
"233228910020004","247063227010661","211865393020004",2012,39,1,141,646,4,1,,1,1,"",2014-01-29,"20004","",2016-06-21,"489998",7,1,1
"233228399020004","247063340010661","211866446020004",2012,39,5,61,506,1,1,,1,1,"",2014-01-29,"20004","",2016-06-21,"489998",7,1,1
"233228400020004","247063340010661","211866447020004",2012,39,5,61,506,2,1,,1,1,"",2014-01-29,"20004","",2016-06-21,"489998",7,1,1
"233228401020004","247063340010661","211866448020004",2012,39,5,61,506,3,1,,1,1,"",2014-01-29,"20004","",2016-06-21,"489998",7,1,1
"233228402020004","247063340010661","211866449020004",2012,39,5,61,506,4,1,,1,1,"",2014-01-29,"20004","",2016-06-21,"489998",7,1,1
"233235981020004","247063892010661","211875065020004",2012,39,3,121,472,1,1,,1,1,"",2014-01-29,"20004","",2016-06-21,"489998",7,1,1
"233235982020004","247063892010661","211875066020004",2012,39,3,121,472,2,1,,1,1,"",2014-01-29,"20004","",2016-06-21,"489998",7,1,1
"233235983020004","247063892010661","211875067020004",2012,39,3,121,472,3,1,,1,1,"",2014-01-29,"20004","",2016-06-21,"489998",7,1,1
"233235984020004","247063892010661","211875068020004",2012,39,3,121,472,4,1,,1,1,"",2014-01-29,"20004","",2016-06-21,"489998",7,1,1
"233228659020004","247063900010661","211875382020004",2012,39,2,167,563,1,1,,1,1,"",2014-01-29,"20004","",2016-06-21,"489998",7,1,1
"233228660020004","247063900010661","211875383020004",2012,39,2,167,563,2,1,,1,1,"",2014-01-29,"20004","",2016-06-21,"489998",7,1,1
"233228661020004","247063900010661","211875384020004",2012,39,2,167,563,3,1,,1,1,"",2014-01-29,"20004","",2016-06-21,"489998",7,1,1
"233228662020004","247063900010661","211875385020004",2012,39,2,167,563,4,1,,1,1,"",2014-01-29,"20004","",2016-06-21,"489998",7,1,1
"233228901020004","247063938010661","211876563020004",2012,39,4,155,866,1,2,10,,,"",2014-01-29,"20004","",2016-06-21,"489998",7,1,9
"233228902020004","247063938010661","211876564020004",2012,39,4,155,866,2,1,,1,1,"",2014-01-29,"20004","",2016-06-21,"489998",7,1,1
"233228903020004","247063938010661","211876565020004",2012,39,4,155,866,3,2,10,,,"",2014-01-29,"20004","",2016-06-21,"489998",7,1,9
"233228904020004","247063938010661","211876566020004",2012,39,4,155,866,4,2,10,,,"",2014-01-29,"20004","",2016-06-21,"489998",7,1,9
"233228356020004","247063335010661","211866256020004",2012,39,5,17,722,1,2,10,,,"",2014-01-29,"20004","",2016-06-21,"489998",7,1,9
"233228357020004","247063335010661","211866257020004",2012,39,5,17,722,2,2,10,,,"",2014-01-29,"20004","",2016-06-21,"489998",7,1,9
"233228358020004","247063335010661","211866258020004",2012,39,5,17,722,3,2,10,,,"",2014-01-29,"20004","",2016-06-21,"489998",7,1,9
"233228359020004","247063335010661","211866259020004",2012,39,5,17,722,4,1,,1,1,"",2014-01-29,"20004","",2016-06-21,"489998",7,1,1
"233228871020004","247063758010661","211871352020004",2012,39,6,83,604,1,1,,1,1,"",2014-01-29,"20004","",2016-06-21,"489998",7,1,1
"233228872020004","247063758010661","211871353020004",2012,39,6,83,604,2,1,,1,1,"",2014-01-29,"20004","",2016-06-21,"489998",7,1,1
"233228873020004","247063758010661","211871354020004",2012,39,6,83,604,3,1,,1,1,"",2014-01-29,"20004","",2016-06-21,"489998",7,1,1
"233228874020004","247063758010661","211871355020004",2012,39,6,83,604,4,1,,1,1,"",2014-01-29,"20004","",2016-06-21,"489998",7,1,1
"233229415020004","247063849010661","211874138020004",2012,39,1,87,319,1,1,,1,1,"",2014-01-29,"20004","",2016-06-21,"489998",7,1,1
"233229416020004","247063849010661","211874139020004",2012,39,1,87,319,2,1,,1,1,"",2014-01-29,"20004","",2016-06-21,"489998",7,1,1
"334958479489998","171867987020004","334958458489998",2014,39,1,53,2364,1,2,10,,,"",2015-06-01,"489998","",2016-06-21,"489998",7,3,5
"334958480489998","171867987020004","334958459489998",2014,39,1,53,2364,2,2,10,,,"",2015-06-01,"489998","",2016-06-21,"489998",7,3,5
"334958481489998","171867987020004","334958460489998",2014,39,1,53,2364,3,2,10,,,"",2015-06-01,"489998","",2016-06-21,"489998",7,3,5
"334958482489998","171867987020004","334958461489998",2014,39,1,53,2364,4,2,10,,,"",2015-06-01,"489998","",2016-06-21,"489998",7,3,5
"334961160489998","171868091020004","334961099489998",2014,39,2,163,3872,1,1,,1,1,"",2015-06-01,"489998","",2016-06-21,"489998",7,3,1
"334961161489998","171868091020004","334961100489998",2014,39,2,163,3872,2,1,,1,1,"",2015-06-01,"489998","",2016-06-21,"489998",7,3,1
"334961162489998","171868091020004","334961101489998",2014,39,2,163,3872,3,1,,1,1,"",2015-06-01,"489998","",2016-06-21,"489998",7,3,1
"334961163489998","171868091020004","334961102489998",2014,39,2,163,3872,4,1,,1,1,"",2015-06-01,"489998","",2016-06-21,"489998",7,3,1
"334947796489998","171867303020004","334947738489998",2014,39,2,127,3072,1,1,,1,1,"",2015-06-01,"489998","",2016-06-21,"489998",7,3,1
"334947797489998","171867303020004","334947739489998",2014,39,2,127,3072,2,1,,1,1,"",2015-06-01,"489998","",2016-06-21,"489998",7,3,1
"334947798489998","171867303020004","334947740489998",2014,39,2,127,3072,3,1,,1,1,"",2015-06-01,"489998","",2016-06-21,"489998",7,3,1
"334947799489998","171867303020004","334947741489998",2014,39,2,127,3072,4,1,,1,1,"",2015-06-01,"489998","",2016-06-21,"489998",7,3,1
"334961382489998","171868097020004","334961330489998",2014,39,1,79,2631,1,1,,1,1,"",2015-06-01,"489998","",2016-06-21,"489998",7,3,1
"334961383489998","171868097020004","334961331489998",2014,39,1,79,2631,2,1,,1,1,"",2015-06-01,"489998","",2016-06-21,"489998",7,3,1
"334961384489998","171868097020004","334961332489998",2014,39,1,79,2631,3,1,,1,1,"",2015-06-01,"489998","",2016-06-21,"489998",7,3,1
"334961385489998","171868097020004","334961333489998",2014,39,1,79,2631,4,1,,1,1,"",2015-06-01,"489998","",2016-06-21,"489998",7,3,1
"334950258489998","171867622020004","334950181489998",2014,39,6,95,3536,1,1,,1,1,"",2015-06-01,"489998","",2016-06-21,"489998",7,3,1
"334950259489998","171867622020004","334950182489998",2014,39,6,95,3536,2,1,,1,1,"",2015-06-01,"489998","",2016-06-21,"489998",7,3,1
"334950260489998","171867622020004","334950183489998",2014,39,6,95,3536,3,1,,1,1,"",2015-06-01,"489998","",2016-06-21,"489998",7,3,1
"334950261489998","171867622020004","334950184489998",2014,39,6,95,3536,4,1,,1,1,"",2015-06-01,"489998","",2016-06-21,"489998",7,3,1
"334951145489998","171867656020004","334951125489998",2014,39,6,39,3798,1,2,10,,,"",2015-06-01,"489998","",2016-06-21,"489998",7,3,9
"334948377489998","171867364020004","334948372489998",2014,39,6,147,2896,4,2,10,,,"",2015-06-01,"489998","",2016-06-21,"489998",7,3,5
"334951797489998","171867724020004","334951764489998",2014,39,5,165,2505,1,2,10,,,"",2015-06-01,"489998","",2016-06-21,"489998",7,3,5
"334951798489998","171867724020004","334951765489998",2014,39,5,165,2505,2,2,10,,,"",2015-06-01,"489998","",2016-06-21,"489998",7,3,5
"334951799489998","171867724020004","334951766489998",2014,39,5,165,2505,3,2,10,,,"",2015-06-01,"489998","",2016-06-21,"489998",7,3,5
"334951800489998","171867724020004","334951767489998",2014,39,5,165,2505,4,2,10,,,"",2015-06-01,"489998","",2016-06-21,"489998",7,3,5
"334952460489998","171867795020004","334952421489998",2014,39,3,31,4050,1,1,,1,1,"",2015-06-01,"489998","",2016-06-21,"489998",7,3,1
"334952461489998","171867795020004","334952422489998",2014,39,3,31,4050,2,1,,1,1,"",2015-06-01,"489998","",2016-06-21,"489998",7,3,1
"334952462489998","171867795020004","334952423489998",2014,39,3,31,4050,3,1,,1,1,"",2015-06-01,"489998","",2016-06-21,"489998",7,3,1
"334952463489998","171867795020004","334952424489998",2014,39,3,31,4050,4,1,,1,1,"",2015-06-01,"489998","",2016-06-21,"489998",7,3,1
"334961608489998","171868113020004","334961603489998",2014,39,4,151,5253,1,2,10,,,"",2015-06-01,"489998","",2016-06-21,"489998",7,3,5
"334961609489998","171868113020004","334961604489998",2014,39,4,151,5253,2,2,10,,,"",2015-06-01,"489998","",2016-06-21,"489998",7,3,5
"334961610489998","171868113020004","334961605489998",2014,39,4,151,5253,3,2,10,,,"",2015-06-01,"489998","",2016-06-21,"489998",7,3,5
"334961611489998","171868113020004","334961606489998",2014,39,4,151,5253,4,2,10,,,"",2015-06-01,"489998","",2016-06-21,"489998",7,3,5
"334962401489998","171868145020004","334962363489998",2014,39,1,71,4274,1,1,,1,1,"",2015-06-01,"489998","",2016-06-21,"489998",7,3,1
"334962402489998","171868145020004","334962364489998",2014,39,1,71,4274,2,1,,1,1,"",2015-06-01,"489998","",2016-06-21,"489998",7,3,1
"334962403489998","171868145020004","334962365489998",2014,39,1,71,4274,3,1,,1,1,"",2015-06-01,"489998","",2016-06-21,"489998",7,3,1
"334962404489998","171868145020004","334962366489998",2014,39,1,71,4274,4,1,,1,1,"",2015-06-01,"489998","",2016-06-21,"489998",7,3,1
"381533638489998","171867900020004","381533607489998",2015,39,3,119,1245,1,,,,,"",2016-03-25,"489998","",2016-09-22,"489998",7,4,2
"381533639489998","171867900020004","381533608489998",2015,39,3,119,1245,2,,,,,"",2016-03-25,"489998","",2016-09-22,"489998",7,4,2
"381533640489998","171867900020004","381533609489998",2015,39,3,119,1245,3,,,,1,"",2016-03-25,"489998","",2016-06-29,"489998",7,4,1
"381533641489998","171867900020004","381533610489998",2015,39,3,119,1245,4,,,,,"",2016-03-25,"489998","",2016-09-22,"489998",7,4,2
"381537838489998","251630488489998","381537808489998",2015,39,5,57,2629,1,,,,,"",2016-03-25,"489998","",2016-09-22,"489998",7,4,2
"381537839489998","251630488489998","381537809489998",2015,39,5,57,2629,2,,,,1,"",2016-03-25,"489998","",2016-06-29,"489998",7,4,1
"381537840489998","251630488489998","381537810489998",2015,39,5,57,2629,3,,,,,"",2016-03-25,"489998","",2016-09-22,"489998",7,4,2
"381537841489998","251630488489998","381537811489998",2015,39,5,57,2629,4,,,,,"",2016-03-25,"489998","",2016-09-22,"489998",7,4,2
"381538846489998","251630572489998","381538800489998",2015,39,2,127,5467,1,,,,1,"",2016-03-25,"489998","",2016-06-29,"489998",7,4,1
"381538847489998","251630572489998","381538801489998",2015,39,2,127,5467,2,,,,1,"",2016-03-25,"489998","",2016-06-29,"489998",7,4,1
"381538848489998","251630572489998","381538802489998",2015,39,2,127,5467,3,,,,1,"",2016-03-25,"489998","",2016-06-29,"489998",7,4,1
"381538849489998","251630572489998","381538803489998",2015,39,2,127,5467,4,,,,1,"",2016-03-25,"489998","",2016-06-29,"489998",7,4,1
"381540826489998","251630631489998","381540757489998",2015,39,2,73,5262,1,,,,1,"",2016-03-25,"489998","",2016-06-29,"489998",7,4,1
"381540827489998","251630631489998","381540758489998",2015,39,2,73,5262,2,,,,1,"",2016-03-25,"489998","",2016-06-29,"489998",7,4,1
"381540828489998","251630631489998","381540759489998",2015,39,2,73,5262,3,,,,1,"",2016-03-25,"489998","",2016-06-29,"489998",7,4,1
"381540829489998","251630631489998","381540760489998",2015,39,2,73,5262,4,,,,1,"",2016-03-25,"489998","",2016-06-29,"489998",7,4,1
"381541903489998","251630667489998","381541898489998",2015,39,4,29,2347,1,,10,,,"",2016-03-25,"489998","",2016-09-22,"489998",7,4,5
"381541904489998","251630667489998","381541899489998",2015,39,4,29,2347,2,,10,,,"",2016-03-25,"489998","",2016-09-22,"489998",7,4,5
"381541905489998","251630667489998","381541900489998",2015,39,4,29,2347,3,,10,,,"",2016-03-25,"489998","",2016-09-22,"489998",7,4,5
"381541906489998","251630667489998","381541901489998",2015,39,4,29,2347,4,,10,,,"",2016-03-25,"489998","",2016-09-22,"489998",7,4,5
"381532100489998","171867791020004","381532064489998",2015,39,3,157,3047,1,,,,1,"",2016-03-25,"489998","",2016-06-29,"489998",7,4,1
"381532101489998","171867791020004","381532065489998",2015,39,3,157,3047,2,,,,1,"",2016-03-25,"489998","",2016-06-29,"489998",7,4,1
"381532102489998","171867791020004","381532066489998",2015,39,3,157,3047,3,,10,,,"",2016-03-25,"489998","",2016-09-22,"489998",7,4,5
"381532103489998","171867791020004","381532067489998",2015,39,3,157,3047,4,,,,2,"",2016-03-25,"489998","",2016-06-29,"489998",7,4,1
"381541343489998","251630645489998","381541288489998",2015,39,4,55,1995,1,,10,,,"",2016-03-25,"489998","",2016-09-22,"489998",7,4,5
"381541344489998","251630645489998","381541289489998",2015,39,4,55,1995,2,,10,,,"",2016-03-25,"489998","",2016-09-22,"489998",7,4,5
"381541345489998","251630645489998","381541290489998",2015,39,4,55,1995,3,,10,,,"",2016-03-25,"489998","",2016-09-22,"489998",7,4,5
"381541346489998","251630645489998","381541291489998",2015,39,4,55,1995,4,,,,1,"",2016-03-25,"489998","",2016-06-29,"489998",7,4,1
"381533775489998","171867921020004","381533733489998",2015,39,1,87,2263,1,,,,1,"",2016-03-25,"489998","",2016-06-29,"489998",7,4,1
"381533776489998","171867921020004","381533734489998",2015,39,1,87,2263,2,,,,1,"",2016-03-25,"489998","",2016-06-29,"489998",7,4,1
"381533777489998","171867921020004","381533735489998",2015,39,1,87,2263,3,,,,1,"",2016-03-25,"489998","",2016-06-29,"489998",7,4,1
"381533778489998","171867921020004","381533736489998",2015,39,1,87,2263,4,,,,1,"",2016-03-25,"489998","",2016-06-29,"489998",7,4,1
"381537297489998","251630448489998","381537240489998",2015,39,1,25,5374,1,,,,1,"",2016-03-25,"489998","",2016-06-29,"489998",7,4,1
"381537298489998","251630448489998","381537241489998",2015,39,1,25,5374,2,,,,1,"",2016-03-25,"489998","",2016-06-29,"489998",7,4,1
"381537299489998","251630448489998","381537242489998",2015,39,1,25,5374,3,,,,1,"",2016-03-25,"489998","",2016-06-29,"489998",7,4,1
"381537300489998","251630448489998","381537243489998",2015,39,1,25,5374,4,,,,1,"",2016-03-25,"489998","",2016-06-29,"489998",7,4,1
"381531511489998","171867616020004","381531445489998",2015,39,5,135,1422,1,,,,1,"",2016-03-25,"489998","",2016-06-29,"489998",7,4,1
"381531512489998","171867616020004","381531446489998",2015,39,5,135,1422,2,,,,,"",2016-03-25,"489998","",2016-06-29,"489998",7,4,2
"381531513489998","171867616020004","381531447489998",2015,39,5,135,1422,3,,,,1,"",2016-03-25,"489998","",2016-06-29,"489998",7,4,1
"381531514489998","171867616020004","381531448489998",2015,39,5,135,1422,4,,,,1,"",2016-03-25,"489998","",2016-06-29,"489998",7,4,1
"381540371489998","251630621489998","381540304489998",2015,39,3,111,2939,1,,10,,,"",2016-03-25,"489998","",2016-09-22,"489998",7,4,5
"381540372489998","251630621489998","381540305489998",2015,39,3,111,2939,2,,10,,,"",2016-03-25,"489998","",2016-09-22,"489998",7,4,5
"381540373489998","251630621489998","381540306489998",2015,39,3,111,2939,3,,10,,,"",2016-03-25,"489998","",2016-09-22,"489998",7,4,5
"381540374489998","251630621489998","381540307489998",2015,39,3,111,2939,4,,10,,,"",2016-03-25,"489998","",2016-06-29,"489998",7,4,3
"381542450489998","251630694489998","381542420489998",2015,39,1,25,2368,1,,,,1,"",2016-03-25,"489998","",2016-06-29,"489998",7,4,1
"381542451489998","251630694489998","381542421489998",2015,39,1,25,2368,2,,,,3,"",2016-03-25,"489998","",2016-06-29,"489998",7,4,1
"381542452489998","251630694489998","381542422489998",2015,39,1,25,2368,3,,,,1,"",2016-03-25,"489998","",2016-06-29,"489998",7,4,1
"381542453489998","251630694489998","381542423489998",2015,39,1,25,2368,4,,,,1,"",2016-03-25,"489998","",2016-06-29,"489998",7,4,1
"381540518489998","251630625489998","381540439489998",2015,39,1,53,1418,1,,,,1,"",2016-03-25,"489998","",2016-06-29,"489998",7,4,1
"381540519489998","251630625489998","381540440489998",2015,39,1,53,1418,2,,,,1,"",2016-03-25,"489998","",2016-06-29,"489998",7,4,1
"381540520489998","251630625489998","381540441489998",2015,39,1,53,1418,3,,,,1,"",2016-03-25,"489998","",2016-06-29,"489998",7,4,1
"381540521489998","251630625489998","381540442489998",2015,39,1,53,1418,4,,,,1,"",2016-03-25,"489998","",2016-06-29,"489998",7,4,1
"381531649489998","171867643020004","381531611489998",2015,39,5,57,2961,1,,,,1,"",2016-03-25,"489998","",2016-06-29,"489998",7,4,1
"381531650489998","171867643020004","381531612489998",2015,39,5,57,2961,2,,,,1,"",2016-03-25,"489998","",2016-06-29,"489998",7,4,1
"381531651489998","171867643020004","381531613489998",2015,39,5,57,2961,3,,,,1,"",2016-03-25,"489998","",2016-06-29,"489998",7,4,1
"381531652489998","171867643020004","381531614489998",2015,39,5,57,2961,4,,,,,"",2016-03-25,"489998","",2016-06-29,"489998",7,4,2
"381536230489998","251630346489998","381536192489998",2015,39,2,163,1300,1,,,,1,"",2016-03-25,"489998","",2016-06-29,"489998",7,4,1
"381536231489998","251630346489998","381536193489998",2015,39,2,163,1300,2,,,,1,"",2016-03-25,"489998","",2016-06-29,"489998",7,4,1
"381536232489998","251630346489998","381536194489998",2015,39,2,163,1300,3,,,,1,"",2016-03-25,"489998","",2016-06-29,"489998",7,4,1
"381536233489998","251630346489998","381536195489998",2015,39,2,163,1300,4,,,,1,"",2016-03-25,"489998","",2016-06-29,"489998",7,4,1
"381536659489998","251630364489998","381536600489998",2015,39,4,103,4704,1,,,,1,"",2016-03-25,"489998","",2016-06-29,"489998",7,4,1
"381536660489998","251630364489998","381536601489998",2015,39,4,103,4704,2,,,,1,"",2016-03-25,"489998","",2016-06-29,"489998",7,4,1
"381536661489998","251630364489998","381536602489998",2015,39,4,103,4704,3,,,,1,"",2016-03-25,"489998","",2016-06-29,"489998",7,4,1
"381536662489998","251630364489998","381536603489998",2015,39,4,103,4704,4,,,,,"",2016-03-25,"489998","",2016-06-29,"489998",7,4,2
"381538049489998","251630535489998","381538039489998",2015,39,6,65,3196,1,,,,,"",2016-03-25,"489998","",2016-09-22,"489998",7,4,2
"381538050489998","251630535489998","381538040489998",2015,39,6,65,3196,2,,,,1,"",2016-03-25,"489998","",2016-06-29,"489998",7,4,1
"381538051489998","251630535489998","381538041489998",2015,39,6,65,3196,3,,,,,"",2016-03-25,"489998","",2016-09-22,"489998",7,4,2
"381538052489998","251630535489998","381538042489998",2015,39,6,65,3196,4,,,,,"",2016-03-25,"489998","",2016-09-22,"489998",7,4,2
"381538134489998","251630538489998","381538103489998",2015,39,3,81,5147,1,,10,,,"",2016-03-25,"489998","",2016-09-22,"489998",7,4,5
"381538135489998","251630538489998","381538104489998",2015,39,3,81,5147,2,,10,,,"",2016-03-25,"489998","",2016-09-22,"489998",7,4,5
"381538136489998","251630538489998","381538105489998",2015,39,3,81,5147,3,,10,,,"",2016-03-25,"489998","",2016-09-22,"489998",7,4,5
"334961888489998","171868124020004","334961844489998",2014,39,3,157,1342,2,1,,1,1,"",2015-06-01,"489998","",2016-06-21,"489998",7,3,1
"381532350489998","171867801020004","381532319489998",2015,39,3,31,3618,4,,10,,,"",2016-03-25,"489998","",2016-09-22,"489998",7,4,5
"381537619489998","251630477489998","381537562489998",2015,39,5,61,2063,1,,,,1,"",2016-03-25,"489998","",2016-06-29,"489998",7,4,1
"381537620489998","251630477489998","381537563489998",2015,39,5,61,2063,2,,,,1,"",2016-03-25,"489998","",2016-06-29,"489998",7,4,1
"381537621489998","251630477489998","381537564489998",2015,39,5,61,2063,3,,,,1,"",2016-03-25,"489998","",2016-06-29,"489998",7,4,1
"381537622489998","251630477489998","381537565489998",2015,39,5,61,2063,4,,,,1,"",2016-03-25,"489998","",2016-06-29,"489998",7,4,1
"381540993489998","251630633489998","381540959489998",2015,39,2,73,1847,1,,,,1,"",2016-03-25,"489998","",2016-06-29,"489998",7,4,1
"381540994489998","251630633489998","381540960489998",2015,39,2,73,1847,2,,,,1,"",2016-03-25,"489998","",2016-06-29,"489998",7,4,1
"381540995489998","251630633489998","381540961489998",2015,39,2,73,1847,3,,,,1,"",2016-03-25,"489998","",2016-06-29,"489998",7,4,1
"381540996489998","251630633489998","381540962489998",2015,39,2,73,1847,4,,,,1,"",2016-03-25,"489998","",2016-06-29,"489998",7,4,1
"469320099489998","306266366489998","469320045489998",2016,39,1,25,3830,1,,,,1,"",2017-05-11,"489998","",,"",7,5,1
"469320100489998","306266366489998","469320046489998",2016,39,1,25,3830,2,,,,1,"",2017-05-11,"489998","",,"",7,5,1
"469320101489998","306266366489998","469320047489998",2016,39,1,25,3830,3,,,,1,"",2017-05-11,"489998","",,"",7,5,1
"469320102489998","306266366489998","469320048489998",2016,39,1,25,3830,4,,,,1,"",2017-05-11,"489998","",,"",7,5,1
"469320288489998","306266376489998","469320283489998",2016,39,3,81,4577,1,,10,,,"",2017-05-11,"489998","",,"",7,5,5
"469320289489998","306266376489998","469320284489998",2016,39,3,81,4577,2,,10,,,"",2017-05-11,"489998","",,"",7,5,5
"469320290489998","306266376489998","469320285489998",2016,39,3,81,4577,3,,10,,,"",2017-05-11,"489998","",,"",7,5,5
"469320291489998","306266376489998","469320286489998",2016,39,3,81,4577,4,,10,,,"",2017-05-11,"489998","",,"",7,5,5
"469322621489998","306266465489998","469322545489998",2016,39,3,59,2204,1,,,,1,"",2017-05-11,"489998","",,"",7,5,1
"469322622489998","306266465489998","469322546489998",2016,39,3,59,2204,2,,,,1,"",2017-05-11,"489998","",,"",7,5,1
"469322623489998","306266465489998","469322547489998",2016,39,3,59,2204,3,,,,1,"",2017-05-11,"489998","",,"",7,5,1
"469322624489998","306266465489998","469322548489998",2016,39,3,59,2204,4,,,,1,"",2017-05-11,"489998","",,"",7,5,1
"469323203489998","306266490489998","469323162489998",2016,39,1,145,4764,1,,,,1,"",2017-05-11,"489998","",,"",7,5,1
"469323204489998","306266490489998","469323163489998",2016,39,1,145,4764,2,,,,1,"",2017-05-11,"489998","",,"",7,5,1
"469323205489998","306266490489998","469323164489998",2016,39,1,145,4764,3,,,,1,"",2017-05-11,"489998","",,"",7,5,1
"469323206489998","306266490489998","469323165489998",2016,39,1,145,4764,4,,,,1,"",2017-05-11,"489998","",,"",7,5,1
"469328174489998","306266649489998","469328153489998",2016,39,6,41,3878,1,,,,,"",2017-05-11,"489998","",,"",7,5,2
"469328175489998","306266649489998","469328154489998",2016,39,6,41,3878,2,,,,,"",2017-05-11,"489998","",,"",7,5,2
