"CN","PLT_CN","INVYR","STATECD","COUNTYCD","PLOT","TRANSECT","SUBP","CONDID","MEASYEAR","SMALLCT","MEDIUMCT","LARGECT","RSNCTCD","PILESCD","SMALL_TL_COND","SMALL_TL_PLOT","SMALL_TL_UNADJ","MEDIUM_TL_COND","MEDIUM_TL_PLOT","MEDIUM_TL_UNADJ","LARGE_TL_COND","LARGE_TL_PLOT","LARGE_TL_UNADJ","CREATED_BY","CREATED_DATE","CREATED_IN_INSTANCE","MODIFIED_BY","MODIFIED_DATE","MODIFIED_IN_INSTANCE","FWD_STATUS_CD","FWD_NONSAMPLE_REASN_CD","FWD_SAMPLE_METHOD","SLOPE"
"76438923010538","59785584010538",2001,39,35,575,150,4,1,2001,20,4,6,0,0,40,40,40,40,40,40,40,40,40,"",2007-11-19,"10661","",2019-06-14,"126144",,,"1",
"76438854010538","59786192010538",2001,39,41,574,150,1,1,2001,0,0,0,0,0,20,40,40,20,40,40,20,40,40,"",2007-11-19,"10661","",2019-06-14,"126144",,,"1",
"76438732010538","59787135010538",2001,39,53,778,150,3,1,2001,8,2,2,0,0,3.99007438041997827133054750747714379644E01,3.99007438041997827133054750747714379644E01,3.99007438041997827133054750747714379644E01,3.99007438041997827133054750747714379644E01,3.99007438041997827133054750747714379644E01,3.99007438041997827133054750747714379644E01,4.0138958674120032260641150901150315998E01,4.0138958674120032260641150901150315998E01,4.0138958674120032260641150901150315998E01,"",2007-11-19,"10661","",2019-06-14,"126144",,,"1",
"76438853010538","59786192010538",2001,39,41,574,150,2,3,2001,11,3,0,0,0,10,40,40,10,40,40,10,40,40,"",2007-11-19,"10661","",2019-06-14,"126144",,,"1",
"76438734010538","59787135010538",2001,39,53,778,150,1,1,2001,20,8,10,0,0,3.99007438041997827133054750747714379644E01,3.99007438041997827133054750747714379644E01,3.99007438041997827133054750747714379644E01,3.99007438041997827133054750747714379644E01,3.99007438041997827133054750747714379644E01,3.99007438041997827133054750747714379644E01,4.0138958674120032260641150901150315998E01,4.0138958674120032260641150901150315998E01,4.0138958674120032260641150901150315998E01,"",2007-11-19,"10661","",2019-06-14,"126144",,,"1",
"76438733010538","59787135010538",2001,39,53,778,150,2,1,2001,32,17,3,0,0,3.99007438041997827133054750747714379644E01,3.99007438041997827133054750747714379644E01,3.99007438041997827133054750747714379644E01,3.99007438041997827133054750747714379644E01,3.99007438041997827133054750747714379644E01,3.99007438041997827133054750747714379644E01,4.0138958674120032260641150901150315998E01,4.0138958674120032260641150901150315998E01,4.0138958674120032260641150901150315998E01,"",2007-11-19,"10661","",2019-06-14,"126144",,,"1",
"76438731010538","59787135010538",2001,39,53,778,150,4,1,2001,28,20,23,0,0,3.99007438041997827133054750747714379644E01,3.99007438041997827133054750747714379644E01,3.99007438041997827133054750747714379644E01,3.99007438041997827133054750747714379644E01,3.99007438041997827133054750747714379644E01,3.99007438041997827133054750747714379644E01,4.0138958674120032260641150901150315998E01,4.0138958674120032260641150901150315998E01,4.0138958674120032260641150901150315998E01,"",2007-11-19,"10661","",2019-06-14,"126144",,,"1",
"76438777010538","59788852010538",2001,39,61,506,150,1,1,2001,7,3,0,0,0,3.93965952870454957836699991596085941988E01,3.93965952870454957836699991596085941988E01,3.93965952870454957836699991596085941988E01,3.93965952870454957836699991596085941988E01,3.93965952870454957836699991596085941988E01,3.93965952870454957836699991596085941988E01,4.08005120096094836817191996264418915009E01,4.08005120096094836817191996264418915009E01,4.08005120096094836817191996264418915009E01,"",2007-11-19,"10661","",2019-06-14,"126144",,,"1",
"76438776010538","59788852010538",2001,39,61,506,150,2,1,2001,35,7,1,0,0,3.93965952870454957836699991596085941988E01,3.93965952870454957836699991596085941988E01,3.93965952870454957836699991596085941988E01,3.93965952870454957836699991596085941988E01,3.93965952870454957836699991596085941988E01,3.93965952870454957836699991596085941988E01,4.08005120096094836817191996264418915009E01,4.08005120096094836817191996264418915009E01,4.08005120096094836817191996264418915009E01,"",2007-11-19,"10661","",2019-06-14,"126144",,,"1",
"76438775010538","59788852010538",2001,39,61,506,150,3,1,2001,6,3,6,0,0,3.93965952870454957836699991596085941988E01,3.93965952870454957836699991596085941988E01,3.93965952870454957836699991596085941988E01,3.93965952870454957836699991596085941988E01,3.93965952870454957836699991596085941988E01,3.93965952870454957836699991596085941988E01,4.08005120096094836817191996264418915009E01,4.08005120096094836817191996264418915009E01,4.08005120096094836817191996264418915009E01,"",2007-11-19,"10661","",2019-06-14,"126144",,,"1",
"76438774010538","59788852010538",2001,39,61,506,150,4,1,2001,6,2,0,0,0,3.93965952870454957836699991596085941988E01,3.93965952870454957836699991596085941988E01,3.93965952870454957836699991596085941988E01,3.93965952870454957836699991596085941988E01,3.93965952870454957836699991596085941988E01,3.93965952870454957836699991596085941988E01,4.08005120096094836817191996264418915009E01,4.08005120096094836817191996264418915009E01,4.08005120096094836817191996264418915009E01,"",2007-11-19,"10661","",2019-06-14,"126144",,,"1",
"76438844010538","59789167010538",2001,39,67,363,150,1,1,2001,27,3,1,0,0,2.8857950705876346793522779626934882858E01,3.8857950705876346793522779626934882858E01,3.8857950705876346793522779626934882858E01,2.8857950705876346793522779626934882858E01,3.8857950705876346793522779626934882858E01,3.8857950705876346793522779626934882858E01,3.15988690117725362590667011314896651564E01,4.15988690117725362590667011314896651564E01,4.15988690117725362590667011314896651564E01,"",2007-11-19,"10661","",2019-06-14,"126144",,,"1",
"76438843010538","59789167010538",2001,39,67,363,150,3,1,2001,28,8,1,0,0,2.8857950705876346793522779626934882858E01,3.8857950705876346793522779626934882858E01,3.8857950705876346793522779626934882858E01,2.8857950705876346793522779626934882858E01,3.8857950705876346793522779626934882858E01,3.8857950705876346793522779626934882858E01,3.15988690117725362590667011314896651564E01,4.15988690117725362590667011314896651564E01,4.15988690117725362590667011314896651564E01,"",2007-11-19,"10661","",2019-06-14,"126144",,,"1",
"76438842010538","59789167010538",2001,39,67,363,150,4,1,2001,10,3,0,0,0,2.8857950705876346793522779626934882858E01,3.8857950705876346793522779626934882858E01,3.8857950705876346793522779626934882858E01,2.8857950705876346793522779626934882858E01,3.8857950705876346793522779626934882858E01,3.8857950705876346793522779626934882858E01,3.15988690117725362590667011314896651564E01,4.15988690117725362590667011314896651564E01,4.15988690117725362590667011314896651564E01,"",2007-11-19,"10661","",2019-06-14,"126144",,,"1",
"76438770010538","59790455010538",2001,39,73,197,150,1,1,2001,19,0,7,0,0,3.97014250014533189407562584846448871179E01,3.97014250014533189407562584846448871179E01,3.97014250014533189407562584846448871179E01,3.97014250014533189407562584846448871179E01,3.97014250014533189407562584846448871179E01,3.97014250014533189407562584846448871179E01,4.04180049979653890882105407881374135513E01,4.04180049979653890882105407881374135513E01,4.04180049979653890882105407881374135513E01,"",2007-11-19,"10661","",2019-06-14,"126144",,,"1",
"76438769010538","59790455010538",2001,39,73,197,150,2,1,2001,17,1,0,0,0,3.97014250014533189407562584846448871179E01,3.97014250014533189407562584846448871179E01,3.97014250014533189407562584846448871179E01,3.97014250014533189407562584846448871179E01,3.97014250014533189407562584846448871179E01,3.97014250014533189407562584846448871179E01,4.04180049979653890882105407881374135513E01,4.04180049979653890882105407881374135513E01,4.04180049979653890882105407881374135513E01,"",2007-11-19,"10661","",2019-06-14,"126144",,,"1",
"76438768010538","59790455010538",2001,39,73,197,150,3,1,2001,22,2,0,0,0,3.97014250014533189407562584846448871179E01,3.97014250014533189407562584846448871179E01,3.97014250014533189407562584846448871179E01,3.97014250014533189407562584846448871179E01,3.97014250014533189407562584846448871179E01,3.97014250014533189407562584846448871179E01,4.04180049979653890882105407881374135513E01,4.04180049979653890882105407881374135513E01,4.04180049979653890882105407881374135513E01,"",2007-11-19,"10661","",2019-06-14,"126144",,,"1",
"76438767010538","59790455010538",2001,39,73,197,150,4,1,2001,15,4,6,0,0,3.97014250014533189407562584846448871179E01,3.97014250014533189407562584846448871179E01,3.97014250014533189407562584846448871179E01,3.97014250014533189407562584846448871179E01,3.97014250014533189407562584846448871179E01,3.97014250014533189407562584846448871179E01,4.04180049979653890882105407881374135513E01,4.04180049979653890882105407881374135513E01,4.04180049979653890882105407881374135513E01,"",2007-11-19,"10661","",2019-06-14,"126144",,,"1",
"76438852010538","59792161010538",2001,39,83,604,150,1,1,2001,21,6,3,0,0,3.93393273678599567764313810665398303395E01,3.93393273678599567764313810665398303395E01,3.93393273678599567764313810665398303395E01,3.93393273678599567764313810665398303395E01,3.93393273678599567764313810665398303395E01,3.93393273678599567764313810665398303395E01,4.09249416849962520765056212053034899569E01,4.09249416849962520765056212053034899569E01,4.09249416849962520765056212053034899569E01,"",2007-11-19,"10661","",2019-06-14,"126144",,,"1",
"76438851010538","59792161010538",2001,39,83,604,150,2,1,2001,28,9,4,0,0,3.93393273678599567764313810665398303395E01,3.93393273678599567764313810665398303395E01,3.93393273678599567764313810665398303395E01,3.93393273678599567764313810665398303395E01,3.93393273678599567764313810665398303395E01,3.93393273678599567764313810665398303395E01,4.09249416849962520765056212053034899569E01,4.09249416849962520765056212053034899569E01,4.09249416849962520765056212053034899569E01,"",2007-11-19,"10661","",2019-06-14,"126144",,,"1",
"76438850010538","59792161010538",2001,39,83,604,150,3,1,2001,19,11,3,0,0,3.93393273678599567764313810665398303395E01,3.93393273678599567764313810665398303395E01,3.93393273678599567764313810665398303395E01,3.93393273678599567764313810665398303395E01,3.93393273678599567764313810665398303395E01,3.93393273678599567764313810665398303395E01,4.09249416849962520765056212053034899569E01,4.09249416849962520765056212053034899569E01,4.09249416849962520765056212053034899569E01,"",2007-11-19,"10661","",2019-06-14,"126144",,,"1",
"76438849010538","59792161010538",2001,39,83,604,150,4,1,2001,19,14,1,0,0,3.93393273678599567764313810665398303395E01,3.93393273678599567764313810665398303395E01,3.93393273678599567764313810665398303395E01,3.93393273678599567764313810665398303395E01,3.93393273678599567764313810665398303395E01,3.93393273678599567764313810665398303395E01,4.09249416849962520765056212053034899569E01,4.09249416849962520765056212053034899569E01,4.09249416849962520765056212053034899569E01,"",2007-11-19,"10661","",2019-06-14,"126144",,,"1",
"76438750010538","59792877010538",2001,39,87,319,150,1,1,2001,30,10,0,0,0,3.9756178659009092952860860823967992039E01,3.9756178659009092952860860823967992039E01,3.9756178659009092952860860823967992039E01,3.9756178659009092952860860823967992039E01,3.9756178659009092952860860823967992039E01,3.9756178659009092952860860823967992039E01,4.03413498773867738419615350782296834648E01,4.03413498773867738419615350782296834648E01,4.03413498773867738419615350782296834648E01,"",2007-11-19,"10661","",2019-06-14,"126144",,,"1",
"76438753010538","59792877010538",2001,39,87,319,150,2,1,2001,13,1,0,0,0,3.9756178659009092952860860823967992039E01,3.9756178659009092952860860823967992039E01,3.9756178659009092952860860823967992039E01,3.9756178659009092952860860823967992039E01,3.9756178659009092952860860823967992039E01,3.9756178659009092952860860823967992039E01,4.03413498773867738419615350782296834648E01,4.03413498773867738419615350782296834648E01,4.03413498773867738419615350782296834648E01,"",2007-11-19,"10661","",2019-06-14,"126144",,,"1",
"76438752010538","59792877010538",2001,39,87,319,150,3,1,2001,12,3,0,0,0,3.9756178659009092952860860823967992039E01,3.9756178659009092952860860823967992039E01,3.9756178659009092952860860823967992039E01,3.9756178659009092952860860823967992039E01,3.9756178659009092952860860823967992039E01,3.9756178659009092952860860823967992039E01,4.03413498773867738419615350782296834648E01,4.03413498773867738419615350782296834648E01,4.03413498773867738419615350782296834648E01,"",2007-11-19,"10661","",2019-06-14,"126144",,,"1",
"76438751010538","59792877010538",2001,39,87,319,150,4,1,2001,26,6,0,0,0,3.9756178659009092952860860823967992039E01,3.9756178659009092952860860823967992039E01,3.9756178659009092952860860823967992039E01,3.9756178659009092952860860823967992039E01,3.9756178659009092952860860823967992039E01,3.9756178659009092952860860823967992039E01,4.03413498773867738419615350782296834648E01,4.03413498773867738419615350782296834648E01,4.03413498773867738419615350782296834648E01,"",2007-11-19,"10661","",2019-06-14,"126144",,,"1",
"76438922010538","59799485010538",2001,39,133,64,150,1,1,2001,26,7,2,0,0,3.96951702855921768429137406749637070809E01,3.96951702855921768429137406749637070809E01,3.96951702855921768429137406749637070809E01,3.96951702855921768429137406749637070809E01,3.96951702855921768429137406749637070809E01,3.96951702855921768429137406749637070809E01,4.04267616001705713459999278837483134169E01,4.04267616001705713459999278837483134169E01,4.04267616001705713459999278837483134169E01,"",2007-11-19,"10661","",2019-06-14,"126144",,,"1",
"76438921010538","59799485010538",2001,39,133,64,150,2,1,2001,11,4,2,0,0,3.96951702855921768429137406749637070809E01,3.96951702855921768429137406749637070809E01,3.96951702855921768429137406749637070809E01,3.96951702855921768429137406749637070809E01,3.96951702855921768429137406749637070809E01,3.96951702855921768429137406749637070809E01,4.04267616001705713459999278837483134169E01,4.04267616001705713459999278837483134169E01,4.04267616001705713459999278837483134169E01,"",2007-11-19,"10661","",2019-06-14,"126144",,,"1",
"76438920010538","59799485010538",2001,39,133,64,150,3,1,2001,15,10,6,0,0,3.96951702855921768429137406749637070809E01,3.96951702855921768429137406749637070809E01,3.96951702855921768429137406749637070809E01,3.96951702855921768429137406749637070809E01,3.96951702855921768429137406749637070809E01,3.96951702855921768429137406749637070809E01,4.04267616001705713459999278837483134169E01,4.04267616001705713459999278837483134169E01,4.04267616001705713459999278837483134169E01,"",2007-11-19,"10661","",2019-06-14,"126144",,,"1",
"76438919010538","59799485010538",2001,39,133,64,150,4,1,2001,40,8,2,0,0,3.96951702855921768429137406749637070809E01,3.96951702855921768429137406749637070809E01,3.96951702855921768429137406749637070809E01,3.96951702855921768429137406749637070809E01,3.96951702855921768429137406749637070809E01,3.96951702855921768429137406749637070809E01,4.04267616001705713459999278837483134169E01,4.04267616001705713459999278837483134169E01,4.04267616001705713459999278837483134169E01,"",2007-11-19,"10661","",2019-06-14,"126144",,,"1",
"76438738010538","59801189010538",2001,39,145,33,150,1,1,2001,28,3,0,0,0,3.56108880355812583635412041613960851191E01,3.56108880355812583635412041613960851191E01,3.56108880355812583635412041613960851191E01,3.56108880355812583635412041613960851191E01,3.56108880355812583635412041613960851191E01,3.56108880355812583635412041613960851191E01,4.61447567501860594113789400461673050948E01,4.61447567501860594113789400461673050948E01,4.61447567501860594113789400461673050948E01,"",2007-11-19,"10661","",2019-06-14,"126144",,,"1",
"76438737010538","59801189010538",2001,39,145,33,150,2,1,2001,7,0,1,0,0,3.56108880355812583635412041613960851191E01,3.56108880355812583635412041613960851191E01,3.56108880355812583635412041613960851191E01,3.56108880355812583635412041613960851191E01,3.56108880355812583635412041613960851191E01,3.56108880355812583635412041613960851191E01,4.61447567501860594113789400461673050948E01,4.61447567501860594113789400461673050948E01,4.61447567501860594113789400461673050948E01,"",2007-11-19,"10661","",2019-06-14,"126144",,,"1",
"76438736010538","59801189010538",2001,39,145,33,150,3,1,2001,28,3,2,0,0,3.56108880355812583635412041613960851191E01,3.56108880355812583635412041613960851191E01,3.56108880355812583635412041613960851191E01,3.56108880355812583635412041613960851191E01,3.56108880355812583635412041613960851191E01,3.56108880355812583635412041613960851191E01,4.61447567501860594113789400461673050948E01,4.61447567501860594113789400461673050948E01,4.61447567501860594113789400461673050948E01,"",2007-11-19,"10661","",2019-06-14,"126144",,,"1",
"76438735010538","59801189010538",2001,39,145,33,150,4,1,2001,8,2,2,0,0,3.56108880355812583635412041613960851191E01,3.56108880355812583635412041613960851191E01,3.56108880355812583635412041613960851191E01,3.56108880355812583635412041613960851191E01,3.56108880355812583635412041613960851191E01,3.56108880355812583635412041613960851191E01,4.61447567501860594113789400461673050948E01,4.61447567501860594113789400461673050948E01,4.61447567501860594113789400461673050948E01,"",2007-11-19,"10661","",2019-06-14,"126144",,,"1",
"76438762010538","59804300010538",2001,39,167,404,150,1,1,2001,23,3,3,0,0,3.8019555465487134936478592905745904399E01,3.8019555465487134936478592905745904399E01,3.8019555465487134936478592905745904399E01,3.8019555465487134936478592905745904399E01,3.8019555465487134936478592905745904399E01,3.8019555465487134936478592905745904399E01,4.27726223483174437606731238805471478817E01,4.27726223483174437606731238805471478817E01,4.27726223483174437606731238805471478817E01,"",2007-11-19,"10661","",2019-06-14,"126144",,,"1",
"76438761010538","59804300010538",2001,39,167,404,150,2,1,2001,35,15,12,0,0,3.8019555465487134936478592905745904399E01,3.8019555465487134936478592905745904399E01,3.8019555465487134936478592905745904399E01,3.8019555465487134936478592905745904399E01,3.8019555465487134936478592905745904399E01,3.8019555465487134936478592905745904399E01,4.27726223483174437606731238805471478817E01,4.27726223483174437606731238805471478817E01,4.27726223483174437606731238805471478817E01,"",2007-11-19,"10661","",2019-06-14,"126144",,,"1",
"76438760010538","59804300010538",2001,39,167,404,150,3,1,2001,24,12,8,0,0,3.8019555465487134936478592905745904399E01,3.8019555465487134936478592905745904399E01,3.8019555465487134936478592905745904399E01,3.8019555465487134936478592905745904399E01,3.8019555465487134936478592905745904399E01,3.8019555465487134936478592905745904399E01,4.27726223483174437606731238805471478817E01,4.27726223483174437606731238805471478817E01,4.27726223483174437606731238805471478817E01,"",2007-11-19,"10661","",2019-06-14,"126144",,,"1",
"76438759010538","59804300010538",2001,39,167,404,150,4,1,2001,12,5,4,0,0,3.8019555465487134936478592905745904399E01,3.8019555465487134936478592905745904399E01,3.8019555465487134936478592905745904399E01,3.8019555465487134936478592905745904399E01,3.8019555465487134936478592905745904399E01,3.8019555465487134936478592905745904399E01,4.27726223483174437606731238805471478817E01,4.27726223483174437606731238805471478817E01,4.27726223483174437606731238805471478817E01,"",2007-11-19,"10661","",2019-06-14,"126144",,,"1",
"76439839010538","59827371010538",2002,39,1,5656,150,1,1,2002,6,1,0,0,0,2.3867236234419570296046740866057720829E01,2.3867236234419570296046740866057720829E01,2.3867236234419570296046740866057720829E01,2.3867236234419570296046740866057720829E01,2.3867236234419570296046740866057720829E01,2.3867236234419570296046740866057720829E01,3.97787270573659504934112347767628680483E01,3.97787270573659504934112347767628680483E01,3.97787270573659504934112347767628680483E01,"",2007-11-19,"10661","",2019-06-14,"126144",,,"2",
"76439838010538","59827371010538",2002,39,1,5656,150,2,1,2002,5,1,0,0,0,2.3867236234419570296046740866057720829E01,2.3867236234419570296046740866057720829E01,2.3867236234419570296046740866057720829E01,2.3867236234419570296046740866057720829E01,2.3867236234419570296046740866057720829E01,2.3867236234419570296046740866057720829E01,3.97787270573659504934112347767628680483E01,3.97787270573659504934112347767628680483E01,3.97787270573659504934112347767628680483E01,"",2007-11-19,"10661","",2019-06-14,"126144",,,"2",
"76439837010538","59827371010538",2002,39,1,5656,150,3,1,2002,60,3,1,0,0,2.3867236234419570296046740866057720829E01,2.3867236234419570296046740866057720829E01,2.3867236234419570296046740866057720829E01,2.3867236234419570296046740866057720829E01,2.3867236234419570296046740866057720829E01,2.3867236234419570296046740866057720829E01,3.97787270573659504934112347767628680483E01,3.97787270573659504934112347767628680483E01,3.97787270573659504934112347767628680483E01,"",2007-11-19,"10661","",2019-06-14,"126144",,,"2",
