"CN","PLT_CN","INVYR","STATECD","UNITCD","COUNTYCD","PLOT","BROWSE_IMPACT","CREATED_BY","CREATED_DATE","CREATED_IN_INSTANCE","MODIFIED_BY","MODIFIED_DATE","MODIFIED_IN_INSTANCE","CYCLE","SUBCYCLE"
"271073455489998","16233004020004",2013,39,4,151,4692,,"",2014-07-22,"489998","",,"",7,2
"271075120489998","16233044020004",2013,39,2,73,4384,3,"",2014-07-22,"489998","",,"",7,2
"271075699489998","16233054020004",2013,39,4,153,3576,3,"",2014-07-22,"489998","",,"",7,2
"271062048489998","16232426020004",2013,39,5,113,4685,4,"",2014-07-22,"489998","",,"",7,2
"271062503489998","16232471020004",2013,39,1,1,5799,4,"",2014-07-22,"489998","",,"",7,2
"271062782489998","16232490020004",2013,39,6,3,3210,,"",2014-07-22,"489998","",,"",7,2
"271066095489998","16232765020004",2013,39,1,131,2184,3,"",2014-07-22,"489998","",,"",7,2
"271070432489998","16232895020004",2013,39,6,83,2625,,"",2014-07-22,"489998","",,"",7,2
"271073751489998","16233015020004",2013,39,3,119,1949,3,"",2014-07-22,"489998","",,"",7,2
"271074828489998","16233038020004",2013,39,4,99,5047,2,"",2014-07-22,"489998","",,"",7,2
"271076320489998","16233080020004",2013,39,2,105,1983,2,"",2014-07-22,"489998","",,"",7,2
"271059116489998","16232250020004",2013,39,4,35,5793,,"",2014-07-22,"489998","",,"",7,2
"271060513489998","16232326020004",2013,39,4,7,1766,,"",2014-07-22,"489998","",,"",7,2
"271061301489998","16232402020004",2013,39,1,131,2188,3,"",2014-07-22,"489998","",,"",7,2
"271060335489998","16232317020004",2013,39,1,141,5028,4,"",2014-07-22,"489998","",,"",7,2
"334959784489998","171868044020004",2014,39,4,29,5665,3,"",2015-06-01,"489998","",,"",7,3
"334949198489998","171867451020004",2014,39,6,91,4513,2,"",2015-06-01,"489998","",,"",7,3
"334949984489998","171867601020004",2014,39,5,49,1720,4,"",2015-06-01,"489998","",,"",7,3
"334955723489998","171867917020004",2014,39,4,5,4827,3,"",2015-06-01,"489998","",,"",7,3
"334959184489998","171868009020004",2014,39,3,121,2146,,"",2015-06-01,"489998","",,"",7,3
"334960252489998","171868056020004",2014,39,1,53,2376,,"",2015-06-01,"489998","",,"",7,3
"334960964489998","171868088020004",2014,39,2,9,2380,3,"",2015-06-01,"489998","",,"",7,3
"334948910489998","171867407020004",2014,39,6,117,3433,2,"",2015-06-01,"489998","",,"",7,3
"334953092489998","171867816020004",2014,39,1,141,3077,3,"",2015-06-01,"489998","",,"",7,3
"334958478489998","171867987020004",2014,39,1,53,2364,,"",2015-06-01,"489998","",,"",7,3
"334961159489998","171868091020004",2014,39,2,163,3872,3,"",2015-06-01,"489998","",,"",7,3
"334947795489998","171867303020004",2014,39,2,127,3072,3,"",2015-06-01,"489998","",,"",7,3
"334961381489998","171868097020004",2014,39,1,79,2631,3,"",2015-06-01,"489998","",,"",7,3
"334950257489998","171867622020004",2014,39,6,95,3536,2,"",2015-06-01,"489998","",,"",7,3
"334951144489998","171867656020004",2014,39,6,39,3798,2,"",2015-06-01,"489998","",,"",7,3
"334952054489998","171867746020004",2014,39,1,15,3247,4,"",2015-06-01,"489998","",,"",7,3
"334957090489998","171867943020004",2014,39,3,67,4888,,"",2015-06-01,"489998","",,"",7,3
"334957461489998","171867952020004",2014,39,2,115,3461,3,"",2015-06-01,"489998","",,"",7,3
"334960539489998","171868067020004",2014,39,2,73,3185,3,"",2015-06-01,"489998","",,"",7,3
"334951676489998","171867720020004",2014,39,6,11,2083,2,"",2015-06-01,"489998","",,"",7,3
"334953982489998","171867849020004",2014,39,4,55,1176,3,"",2015-06-01,"489998","",,"",7,3
"334956031489998","171867923020004",2014,39,1,87,2049,3,"",2015-06-01,"489998","",,"",7,3
"334956331489998","171867927020004",2014,39,1,87,4134,,"",2015-06-01,"489998","",,"",7,3
"334960179489998","171868055020004",2014,39,1,53,2634,3,"",2015-06-01,"489998","",,"",7,3
"334961886489998","171868124020004",2014,39,3,157,1342,3,"",2015-06-01,"489998","",,"",7,3
"334955460489998","171867908020004",2014,39,4,7,1392,,"",2015-06-01,"489998","",,"",7,3
"334956812489998","171867937020004",2014,39,3,19,2633,3,"",2015-06-01,"489998","",,"",7,3
"334948373489998","171867364020004",2014,39,6,147,2896,,"",2015-06-01,"489998","",,"",7,3
"334951796489998","171867724020004",2014,39,5,165,2505,,"",2015-06-01,"489998","",,"",7,3
"334952459489998","171867795020004",2014,39,3,31,4050,3,"",2015-06-01,"489998","",,"",7,3
"334961607489998","171868113020004",2014,39,4,151,5253,,"",2015-06-01,"489998","",,"",7,3
"334962400489998","171868145020004",2014,39,1,71,4274,4,"",2015-06-01,"489998","",,"",7,3
"381533637489998","171867900020004",2015,39,3,119,1245,3,"",2016-03-25,"489998","",,"",7,4
"381537837489998","251630488489998",2015,39,5,57,2629,4,"",2016-03-25,"489998","",,"",7,4
"381538845489998","251630572489998",2015,39,2,127,5467,3,"",2016-03-25,"489998","",,"",7,4
"381540825489998","251630631489998",2015,39,2,73,5262,2,"",2016-03-25,"489998","",,"",7,4
"381541902489998","251630667489998",2015,39,4,29,2347,,"",2016-03-25,"489998","",,"",7,4
"381532099489998","171867791020004",2015,39,3,157,3047,3,"",2016-03-25,"489998","",,"",7,4
"381541342489998","251630645489998",2015,39,4,55,1995,5,"",2016-03-25,"489998","",,"",7,4
"381533774489998","171867921020004",2015,39,1,87,2263,3,"",2016-03-25,"489998","",,"",7,4
"381537296489998","251630448489998",2015,39,1,25,5374,3,"",2016-03-25,"489998","",,"",7,4
"381531510489998","171867616020004",2015,39,5,135,1422,4,"",2016-03-25,"489998","",,"",7,4
"381540370489998","251630621489998",2015,39,3,111,2939,3,"",2016-03-25,"489998","",,"",7,4
"381542449489998","251630694489998",2015,39,1,25,2368,3,"",2016-03-25,"489998","",,"",7,4
"381540517489998","251630625489998",2015,39,1,53,1418,3,"",2016-03-25,"489998","",,"",7,4
"381531648489998","171867643020004",2015,39,5,57,2961,4,"",2016-03-25,"489998","",,"",7,4
"381536229489998","251630346489998",2015,39,2,163,1300,3,"",2016-03-25,"489998","",,"",7,4
"381536658489998","251630364489998",2015,39,4,103,4704,3,"",2016-03-25,"489998","",,"",7,4
"530817789126144","375549817489998",2017,39,3,121,5629,3,"",2018-04-17,"126144","",,"",7,6
"530827649126144","375549703489998",2017,39,5,23,3896,4,"",2018-04-17,"126144","",,"",7,6
"530815736126144","375549751489998",2017,39,3,31,4127,3,"",2018-04-17,"126144","",,"",7,6
"530817445126144","375549800489998",2017,39,4,35,4820,4,"",2018-04-17,"126144","",,"",7,6
"530821456126144","375549475489998",2017,39,5,37,1088,3,"",2018-04-17,"126144","",,"",7,6
"530825403126144","375549539489998",2017,39,1,145,5581,3,"",2018-04-17,"126144","",,"",7,6
"530816751126144","375549783489998",2017,39,3,13,3686,3,"",2018-04-17,"126144","",,"",7,6
"530823042126144","375549962489998",2017,39,2,163,2417,5,"",2018-04-17,"126144","",,"",7,6
"530823995126144","375549969489998",2017,39,4,133,1429,,"",2018-04-17,"126144","",,"",7,6
"530824254126144","375549981489998",2017,39,3,59,5447,2,"",2018-04-17,"126144","",,"",7,6
"530825106126144","375550014489998",2017,39,5,57,990,,"",2018-04-17,"126144","",,"",7,6
"530818332126144","375549839489998",2017,39,1,79,1052,,"",2018-04-17,"126144","",,"",7,6
"530818827126144","375549848489998",2017,39,3,19,1299,3,"",2018-04-17,"126144","",,"",7,6
"530819739126144","375549869489998",2017,39,5,89,1958,3,"",2018-04-17,"126144","",,"",7,6
"530827938126144","375549669489998",2017,39,4,43,1882,3,"",2018-04-17,"126144","",,"",7,6
"530825061126144","375550013489998",2017,39,1,15,4442,4,"",2018-04-17,"126144","",,"",7,6
"530823755126144","375549512489998",2017,39,5,113,3539,3,"",2018-04-17,"126144","",,"",7,6
"530828321126144","375549741489998",2017,39,4,169,2495,,"",2018-04-17,"126144","",,"",7,6
"530816488126144","375549770489998",2017,39,1,145,2326,3,"",2018-04-17,"126144","",,"",7,6
"657549433126144","463048680489998",2018,39,3,121,4839,2,"",2019-04-26,"126144","",,"",7,7
"657548780126144","463048573489998",2018,39,6,33,4995,,"",2019-04-26,"126144","",,"",7,7
"657548372126144","463048551489998",2018,39,6,21,2936,,"",2019-04-26,"126144","",,"",7,7
"657546650126144","463048743489998",2018,39,4,35,575,3,"",2019-04-26,"126144","",,"",8,1
"657546977126144","463048780489998",2018,39,1,141,507,,"",2019-04-26,"126144","",,"",8,1
"657543112126144","463049099489998",2018,39,1,53,778,3,"",2019-04-26,"126144","",,"",8,1
"657543501126144","463049111489998",2018,39,2,73,197,3,"",2019-04-26,"126144","",,"",8,1
"657544955126144","463049178489998",2018,39,3,111,884,,"",2019-04-26,"126144","",,"",8,1
"657541430126144","463049030489998",2018,39,2,9,598,2,"",2019-04-26,"126144","",,"",8,1
"657542086126144","463049061489998",2018,39,4,29,606,2,"",2019-04-26,"126144","",,"",8,1
"657543650126144","463049114489998",2018,39,1,141,691,3,"",2019-04-26,"126144","",,"",8,1
"657544169126144","463049144489998",2018,39,2,105,556,2,"",2019-04-26,"126144","",,"",8,1
"657545046126144","463049180489998",2018,39,4,155,542,3,"",2019-04-26,"126144","",,"",8,1
"657547962126144","463048905489998",2018,39,5,61,506,2,"",2019-04-26,"126144","",,"",8,1
"657540335126144","463048962489998",2018,39,6,11,41,3,"",2019-04-26,"126144","",,"",8,1
"657543345126144","463049108489998",2018,39,3,157,295,,"",2019-04-26,"126144","",,"",8,1
"657547853126144","463048903489998",2018,39,5,17,722,,"",2019-04-26,"126144","",,"",8,1
"657547523126144","463048839489998",2018,39,6,41,574,,"",2019-04-26,"126144","",,"",8,1
"657540912126144","463049012489998",2018,39,4,155,866,3,"",2019-04-26,"126144","",,"",8,1
"657546939126144","463048767489998",2018,39,3,59,486,,"",2019-04-26,"126144","",,"",8,1
"657547245126144","463048805489998",2018,39,1,1,599,3,"",2019-04-26,"126144","",,"",8,1
"657540581126144","463048985489998",2018,39,3,67,651,3,"",2019-04-26,"126144","",,"",8,1
"657540686126144","463048988489998",2018,39,4,93,358,,"",2019-04-26,"126144","",,"",8,1
"657546448126144","463048616489998",2018,39,5,165,644,3,"",2019-04-26,"126144","",,"",8,1
"657542457126144","463049076489998",2018,39,3,67,363,4,"",2019-04-26,"126144","",,"",8,1
"657543775126144","463049127489998",2018,39,4,133,64,3,"",2019-04-26,"126144","",,"",8,1
"657544731126144","463049170489998",2018,39,3,19,378,2,"",2019-04-26,"126144","",,"",8,1
"530821970126144","375549936489998",2017,39,3,119,2977,3,"",2018-04-17,"126144","",,"",7,6
"530822717126144","375549958489998",2017,39,2,73,2537,3,"",2018-04-17,"126144","",,"",7,6
"530826741126144","375549579489998",2017,39,6,69,5636,3,"",2018-04-17,"126144","",,"",7,6
"530827379126144","375549685489998",2017,39,6,91,2885,3,"",2018-04-17,"126144","",,"",7,6
"530816358126144","375549768489998",2017,39,1,145,3813,3,"",2018-04-17,"126144","",,"",7,6
"657544921126144","463049176489998",2018,39,4,29,209,2,"",2019-04-26,"126144","",,"",8,1
"530823189126144","375549965489998",2017,39,2,163,1723,3,"",2018-04-17,"126144","",,"",7,6
"530824110126144","375549978489998",2017,39,3,67,1501,3,"",2018-04-17,"126144","",,"",7,6
"530827297126144","375549672489998",2017,39,6,147,4936,,"",2018-04-17,"126144","",,"",7,6
"530828268126144","375549739489998",2017,39,5,129,4055,3,"",2018-04-17,"126144","",,"",7,6
"530819339126144","375549318489998",2017,39,6,63,1590,3,"",2018-04-17,"126144","",,"",7,6
"530827124126144","375549653489998",2017,39,6,171,3206,3,"",2018-04-17,"126144","",,"",7,6
"530827566126144","375549699489998",2017,39,6,21,3537,4,"",2018-04-17,"126144","",,"",7,6
"530815518126144","375549745489998",2017,39,3,75,2969,,"",2018-04-17,"126144","",,"",7,6
"530818616126144","375549844489998",2017,39,1,87,1355,3,"",2018-04-17,"126144","",,"",7,6
"657550198126144","463048720489998",2018,39,5,165,2886,,"",2019-04-26,"126144","",,"",7,7
"233228999020004","247063223010661",2012,39,4,35,575,5,"",2014-01-29,"20004","",,"",7,1
"233229097020004","247063595010661",2012,39,1,1,599,2,"",2014-01-29,"20004","",,"",7,1
"233228716020004","247063731010661",2012,39,1,141,691,3,"",2014-01-29,"20004","",,"",7,1
"233229184020004","247063844010661",2012,39,1,53,778,3,"",2014-01-29,"20004","",,"",7,1
"233228422020004","247063854010661",2012,39,4,151,562,,"",2014-01-29,"20004","",,"",7,1
"233228941020004","247063879010661",2012,39,4,133,64,3,"",2014-01-29,"20004","",,"",7,1
"233228779020004","247063836010661",2012,39,2,9,598,2,"",2014-01-29,"20004","",,"",7,1
"233228635020004","247063859010661",2012,39,3,157,295,,"",2014-01-29,"20004","",,"",7,1
"233228759020004","247063906010661",2012,39,2,105,556,,"",2014-01-29,"20004","",,"",7,1
"233229373020004","247063951010661",2012,39,2,167,404,3,"",2014-01-29,"20004","",,"",7,1
"233229070020004","247063990010661",2012,39,3,67,651,3,"",2014-01-29,"20004","",,"",7,1
"233228582020004","247063210010661",2012,39,5,165,644,3,"",2014-01-29,"20004","",,"",7,1
"233236080020004","247063241010661",2012,39,3,59,486,,"",2014-01-29,"20004","",,"",7,1
"233228976020004","247063364010661",2012,39,6,11,41,2,"",2014-01-29,"20004","",,"",7,1
"233229145020004","247063599010661",2012,39,1,1,561,3,"",2014-01-29,"20004","",,"",7,1
"233228611020004","247063358010661",2012,39,6,3,818,2,"",2014-01-29,"20004","",,"",7,1
"233229049020004","247063240010661",2012,39,3,67,345,3,"",2014-01-29,"20004","",,"",7,1
"233228764020004","247063703010661",2012,39,6,83,263,3,"",2014-01-29,"20004","",,"",7,1
"233228840020004","247063945010661",2012,39,3,111,537,2,"",2014-01-29,"20004","",,"",7,1
"233228391020004","247063985010661",2012,39,4,29,209,2,"",2014-01-29,"20004","",,"",7,1
"233229030020004","247063995010661",2012,39,3,111,884,,"",2014-01-29,"20004","",,"",7,1
"233236044020004","247064001010661",2012,39,4,155,542,2,"",2014-01-29,"20004","",,"",7,1
"233228694020004","247063695010661",2012,39,1,145,33,3,"",2014-01-29,"20004","",,"",7,1
"233228738020004","247063725010661",2012,39,2,73,197,4,"",2014-01-29,"20004","",,"",7,1
"233229040020004","247063864010661",2012,39,3,59,225,3,"",2014-01-29,"20004","",,"",7,1
"233229035020004","247063979010661",2012,39,3,111,602,,"",2014-01-29,"20004","",,"",7,1
"233228815020004","247063962010661",2012,39,4,29,606,3,"",2014-01-29,"20004","",,"",7,1
"233228412020004","247063982010661",2012,39,4,99,747,,"",2014-01-29,"20004","",,"",7,1
"233228906020004","247063227010661",2012,39,1,141,646,2,"",2014-01-29,"20004","",,"",7,1
"233228398020004","247063340010661",2012,39,5,61,506,3,"",2014-01-29,"20004","",,"",7,1
"233235980020004","247063892010661",2012,39,3,121,472,3,"",2014-01-29,"20004","",,"",7,1
"233228658020004","247063900010661",2012,39,2,167,563,2,"",2014-01-29,"20004","",,"",7,1
"233228900020004","247063938010661",2012,39,4,155,866,3,"",2014-01-29,"20004","",,"",7,1
"233228355020004","247063335010661",2012,39,5,17,722,3,"",2014-01-29,"20004","",,"",7,1
"233228870020004","247063758010661",2012,39,6,83,604,2,"",2014-01-29,"20004","",,"",7,1
"233229414020004","247063849010661",2012,39,1,87,319,3,"",2014-01-29,"20004","",,"",7,1
