"CN","PLT_CN","INVYR","STATECD","UNITCD","COUNTYCD","PLOT","SUBP","CONDID","VEG_FLDSPCD","UNIQUE_SP_NBR","VEG_SPCD","COVER_PCT","CREATED_BY","CREATED_DATE","CREATED_IN_INSTANCE","MODIFIED_BY","MODIFIED_DATE","MODIFIED_IN_INSTANCE","CYCLE","SUBCYCLE"
"469338265489998","306266633489998",2016,39,3,13,4479,1,1,"ROMU",1,"ROMU",1,"",2017-05-11,"489998","",,"",7,5
"469338266489998","306266633489998",2016,39,3,13,4479,2,2,"ROMU",1,"ROMU",9,"",2017-05-11,"489998","",,"",7,5
"469338267489998","306266633489998",2016,39,3,13,4479,4,2,"ROMU",1,"ROMU",20,"",2017-05-11,"489998","",,"",7,5
"469332542489998","306266188489998",2016,39,5,27,3456,1,1,"ALPE4",1,"ALPE4",3,"",2017-05-11,"489998","",,"",7,5
"469332543489998","306266188489998",2016,39,5,27,3456,2,1,"ALPE4",1,"ALPE4",2,"",2017-05-11,"489998","",,"",7,5
"469332544489998","306266188489998",2016,39,5,27,3456,3,1,"ALPE4",1,"ALPE4",5,"",2017-05-11,"489998","",,"",7,5
"469332545489998","306266188489998",2016,39,5,27,3456,4,1,"ALPE4",1,"ALPE4",3,"",2017-05-11,"489998","",,"",7,5
"469332546489998","306266188489998",2016,39,5,27,3456,1,1,"LOJA",1,"LOJA",1,"",2017-05-11,"489998","",,"",7,5
"469332547489998","306266188489998",2016,39,5,27,3456,2,1,"LOJA",1,"LOJA",2,"",2017-05-11,"489998","",,"",7,5
"469332548489998","306266188489998",2016,39,5,27,3456,3,1,"LOJA",1,"LOJA",1,"",2017-05-11,"489998","",,"",7,5
"469332549489998","306266188489998",2016,39,5,27,3456,1,1,"LOMA6",1,"LOMA6",10,"",2017-05-11,"489998","",,"",7,5
"382561835489998","171867797020004",2015,39,3,31,1154,2,1,"MIVI",1,"MIVI",3,"",2016-03-25,"489998","",,"",7,4
"469332550489998","306266188489998",2016,39,5,27,3456,2,1,"LOMA6",1,"LOMA6",4,"",2017-05-11,"489998","",,"",7,5
"469332551489998","306266188489998",2016,39,5,27,3456,3,1,"LOMA6",1,"LOMA6",30,"",2017-05-11,"489998","",,"",7,5
"469332552489998","306266188489998",2016,39,5,27,3456,4,1,"LOMA6",1,"LOMA6",50,"",2017-05-11,"489998","",,"",7,5
"469332553489998","306266188489998",2016,39,5,27,3456,1,1,"ROMU",1,"ROMU",5,"",2017-05-11,"489998","",,"",7,5
"469332554489998","306266188489998",2016,39,5,27,3456,2,1,"ROMU",1,"ROMU",3,"",2017-05-11,"489998","",,"",7,5
"382559342489998","251630633489998",2015,39,2,73,1847,1,1,"ROMU",1,"ROMU",1,"",2016-03-25,"489998","",,"",7,4
"382559343489998","251630633489998",2015,39,2,73,1847,3,1,"ROMU",1,"ROMU",1,"",2016-03-25,"489998","",,"",7,4
"382559344489998","251630633489998",2015,39,2,73,1847,4,1,"ROMU",1,"ROMU",1,"",2016-03-25,"489998","",,"",7,4
"469335855489998","306266366489998",2016,39,1,25,3830,1,1,"ALPE4",1,"ALPE4",6,"",2017-05-11,"489998","",,"",7,5
"469335856489998","306266366489998",2016,39,1,25,3830,2,1,"ALPE4",1,"ALPE4",6,"",2017-05-11,"489998","",,"",7,5
"469335857489998","306266366489998",2016,39,1,25,3830,3,1,"ALPE4",1,"ALPE4",4,"",2017-05-11,"489998","",,"",7,5
"469335858489998","306266366489998",2016,39,1,25,3830,4,1,"ALPE4",1,"ALPE4",10,"",2017-05-11,"489998","",,"",7,5
"469335859489998","306266366489998",2016,39,1,25,3830,1,1,"CEOR7",1,"CEOR7",1,"",2017-05-11,"489998","",,"",7,5
"469335860489998","306266366489998",2016,39,1,25,3830,1,1,"LOJA",1,"LOJA",1,"",2017-05-11,"489998","",,"",7,5
"469335861489998","306266366489998",2016,39,1,25,3830,2,1,"LOJA",1,"LOJA",1,"",2017-05-11,"489998","",,"",7,5
"469335862489998","306266366489998",2016,39,1,25,3830,3,1,"LOJA",1,"LOJA",1,"",2017-05-11,"489998","",,"",7,5
"469335863489998","306266366489998",2016,39,1,25,3830,1,1,"LOMA6",1,"LOMA6",1,"",2017-05-11,"489998","",,"",7,5
"469335864489998","306266366489998",2016,39,1,25,3830,2,1,"LOMA6",1,"LOMA6",1,"",2017-05-11,"489998","",,"",7,5
"469335865489998","306266366489998",2016,39,1,25,3830,3,1,"LOMA6",1,"LOMA6",1,"",2017-05-11,"489998","",,"",7,5
"469335866489998","306266366489998",2016,39,1,25,3830,4,1,"LOMA6",1,"LOMA6",1,"",2017-05-11,"489998","",,"",7,5
"469335867489998","306266366489998",2016,39,1,25,3830,1,1,"MIVI",1,"MIVI",1,"",2017-05-11,"489998","",,"",7,5
"469335868489998","306266366489998",2016,39,1,25,3830,2,1,"MIVI",1,"MIVI",1,"",2017-05-11,"489998","",,"",7,5
"469335869489998","306266366489998",2016,39,1,25,3830,3,1,"MIVI",1,"MIVI",3,"",2017-05-11,"489998","",,"",7,5
"469335870489998","306266366489998",2016,39,1,25,3830,1,1,"ROMU",1,"ROMU",1,"",2017-05-11,"489998","",,"",7,5
"469335871489998","306266366489998",2016,39,1,25,3830,2,1,"ROMU",1,"ROMU",4,"",2017-05-11,"489998","",,"",7,5
"469335872489998","306266366489998",2016,39,1,25,3830,3,1,"ROMU",1,"ROMU",2,"",2017-05-11,"489998","",,"",7,5
"469335873489998","306266366489998",2016,39,1,25,3830,4,1,"ROMU",1,"ROMU",2,"",2017-05-11,"489998","",,"",7,5
"469336061489998","306266465489998",2016,39,3,59,2204,1,1,"ALPE4",1,"ALPE4",1,"",2017-05-11,"489998","",,"",7,5
"469336062489998","306266465489998",2016,39,3,59,2204,3,1,"ALPE4",1,"ALPE4",1,"",2017-05-11,"489998","",,"",7,5
"469336063489998","306266465489998",2016,39,3,59,2204,3,1,"BETH",1,"BETH",2,"",2017-05-11,"489998","",,"",7,5
"469336064489998","306266465489998",2016,39,3,59,2204,2,2,"CIAR4",1,"CIAR4",3,"",2017-05-11,"489998","",,"",7,5
"469336065489998","306266465489998",2016,39,3,59,2204,1,1,"ELUM",1,"ELUM",15,"",2017-05-11,"489998","",,"",7,5
"469336066489998","306266465489998",2016,39,3,59,2204,2,2,"ELUM",1,"ELUM",10,"",2017-05-11,"489998","",,"",7,5
"469336067489998","306266465489998",2016,39,3,59,2204,3,1,"ELUM",1,"ELUM",10,"",2017-05-11,"489998","",,"",7,5
"469336068489998","306266465489998",2016,39,3,59,2204,4,2,"ELUM",1,"ELUM",7,"",2017-05-11,"489998","",,"",7,5
"469336069489998","306266465489998",2016,39,3,59,2204,3,1,"LOJA",1,"LOJA",2,"",2017-05-11,"489998","",,"",7,5
"222860275010661","76388932010538",2007,39,1,87,319,4,1,"ROMU",1,"ROMU",3,"",2010-03-01,"10661","",2012-02-28,"20004",6,1
"222860002010661","76389042010538",2007,39,2,9,58,4,2,"LOJA",1,"LOJA",10,"",2010-03-01,"10661","",2012-02-28,"20004",6,1
"222860003010661","76389042010538",2007,39,2,9,58,4,2,"ROMU",1,"ROMU",15,"",2010-03-01,"10661","",2012-02-28,"20004",6,1
"222860015010661","76389048010538",2007,39,2,9,598,1,1,"ELAN",1,"ELAN",3,"",2010-03-01,"10661","",2012-02-28,"20004",6,1
"222860019010661","76389048010538",2007,39,2,9,598,1,1,"LIVU",1,"LIVU",1,"",2010-03-01,"10661","",2012-02-29,"20004",6,1
"222860021010661","76389048010538",2007,39,2,9,598,1,1,"LOJA",1,"LOJA",1,"",2010-03-01,"10661","",2012-02-29,"20004",6,1
"222860150010661","76388882010538",2007,39,1,53,407,3,1,"ROMU",1,"ROMU",40,"",2010-03-01,"10661","",2012-02-28,"20004",6,1
"222860153010661","76388882010538",2007,39,1,53,407,3,1,"ROPS",1,"ROPS",15,"",2010-03-01,"10661","",2012-02-28,"20004",6,1
"222860145010661","76388882010538",2007,39,1,53,407,4,1,"ALPE4",1,"ALPE4",5,"",2010-03-01,"10661","",2012-02-28,"20004",6,1
"222860151010661","76388882010538",2007,39,1,53,407,4,1,"ROMU",1,"ROMU",40,"",2010-03-01,"10661","",2012-02-28,"20004",6,1
"222860331010661","76389114010538",2007,39,2,115,769,1,1,"ELUM",1,"ELUM",4,"",2010-03-01,"10661","",2012-02-28,"20004",6,1
"222860335010661","76389114010538",2007,39,2,115,769,1,1,"LOMO2",1,"LOMO2",2,"",2010-03-01,"10661","",2012-02-28,"20004",6,1
"222860337010661","76389114010538",2007,39,2,115,769,1,1,"ROMU",1,"ROMU",2,"",2010-03-01,"10661","",2012-02-28,"20004",6,1
"222860332010661","76389114010538",2007,39,2,115,769,2,1,"ELUM",1,"ELUM",2,"",2010-03-01,"10661","",2012-02-28,"20004",6,1
"222860336010661","76389114010538",2007,39,2,115,769,2,1,"LOMO2",1,"LOMO2",2,"",2010-03-01,"10661","",2012-02-28,"20004",6,1
"222860338010661","76389114010538",2007,39,2,115,769,2,1,"ROMU",1,"ROMU",1,"",2010-03-01,"10661","",2012-02-28,"20004",6,1
"222860333010661","76389114010538",2007,39,2,115,769,3,1,"ELUM",1,"ELUM",3,"",2010-03-01,"10661","",2012-02-28,"20004",6,1
"222860339010661","76389114010538",2007,39,2,115,769,3,1,"ROMU",1,"ROMU",1,"",2010-03-01,"10661","",2012-02-28,"20004",6,1
"222860334010661","76389114010538",2007,39,2,115,769,4,1,"ELUM",1,"ELUM",4,"",2010-03-01,"10661","",2012-02-28,"20004",6,1
"222860340010661","76389114010538",2007,39,2,115,769,4,1,"ROMU",1,"ROMU",1,"",2010-03-01,"10661","",2012-02-28,"20004",6,1
"222860372010661","76389380010538",2007,39,3,157,525,4,2,"ALPE4",1,"ALPE4",6,"",2010-03-01,"10661","",2012-02-28,"20004",6,1
"222860373010661","76389380010538",2007,39,3,157,525,4,2,"CIAR4",1,"CIAR4",4,"",2010-03-01,"10661","",2012-02-28,"20004",6,1
"222860374010661","76389380010538",2007,39,3,157,525,4,2,"ROMU",1,"ROMU",2,"",2010-03-01,"10661","",2012-02-28,"20004",6,1
"222860375010661","76389380010538",2007,39,3,157,525,4,2,"ROPS",1,"ROPS",4,"",2010-03-01,"10661","",2012-02-28,"20004",6,1
"222859990010661","76388826010538",2007,39,1,1,561,2,1,"ROMU",1,"ROMU",1,"",2010-03-01,"10661","",2012-02-29,"20004",6,1
"222859991010661","76388826010538",2007,39,1,1,561,4,1,"ROMU",1,"ROMU",1,"",2010-03-01,"10661","",2012-02-29,"20004",6,1
"222859992010661","76388826010538",2007,39,1,1,561,4,1,"ROPS",1,"ROPS",1,"",2010-03-01,"10661","",2012-02-29,"20004",6,1
"222860376010661","76389402010538",2007,39,3,157,295,2,2,"CIAR4",1,"CIAR4",1,"",2010-03-01,"10661","",2012-02-29,"20004",6,1
"222860356010661","76388988010538",2007,39,1,141,800,1,1,"ROMU",1,"ROMU",1,"",2010-03-01,"10661","",2012-02-28,"20004",6,1
"222860355010661","76388988010538",2007,39,1,141,800,2,1,"AIAL",1,"AIAL",5,"",2010-03-01,"10661","",2012-02-28,"20004",6,1
"222860357010661","76388988010538",2007,39,1,141,800,2,1,"ROMU",1,"ROMU",1,"",2010-03-01,"10661","",2012-02-28,"20004",6,1
"222860359010661","76388988010538",2007,39,1,141,800,2,1,"ROPS",1,"ROPS",1,"",2010-03-01,"10661","",2012-02-28,"20004",6,1
"222860358010661","76388988010538",2007,39,1,141,800,4,1,"ROMU",1,"ROMU",1,"",2010-03-01,"10661","",2012-02-28,"20004",6,1
"222860033010661","76389182010538",2007,39,3,13,679,3,2,"BETH",1,"BETH",1,"",2010-03-01,"10661","",2012-02-28,"20004",6,1
"222860034010661","76389182010538",2007,39,3,13,679,3,2,"CEOR7",1,"CEOR7",1,"",2010-03-01,"10661","",2012-02-28,"20004",6,1
"222860035010661","76389182010538",2007,39,3,13,679,3,2,"CIAR4",1,"CIAR4",1,"",2010-03-01,"10661","",2012-02-28,"20004",6,1
"222860036010661","76389182010538",2007,39,3,13,679,3,2,"ROMU",1,"ROMU",15,"",2010-03-01,"10661","",2012-02-28,"20004",6,1
"222860037010661","76389182010538",2007,39,3,13,679,3,2,"ROPS",1,"ROPS",13,"",2010-03-01,"10661","",2012-02-28,"20004",6,1
"222860196010661","76389288010538",2007,39,3,75,10,1,1,"ROMU",1,"ROMU",2,"",2010-03-01,"10661","",2012-02-28,"20004",6,1
"222860197010661","76389288010538",2007,39,3,75,10,2,1,"ROMU",1,"ROMU",4,"",2010-03-01,"10661","",2012-02-28,"20004",6,1
"222860198010661","76389288010538",2007,39,3,75,10,3,1,"ROMU",1,"ROMU",1,"",2010-03-01,"10661","",2012-02-28,"20004",6,1
"222860199010661","76389288010538",2007,39,3,75,10,4,1,"ROMU",1,"ROMU",2,"",2010-03-01,"10661","",2012-02-28,"20004",6,1
"222860113010661","76390178010538",2007,39,6,41,574,1,1,"LOMA6",1,"LOMA6",2,"",2010-03-01,"10661","",2012-02-28,"20004",6,1
"222860116010661","76390178010538",2007,39,6,41,574,1,1,"ROMU",1,"ROMU",10,"",2010-03-01,"10661","",2012-02-28,"20004",6,1
"222860114010661","76390178010538",2007,39,6,41,574,2,2,"LOMA6",1,"LOMA6",1,"",2010-03-01,"10661","",2012-02-29,"20004",6,1
"222860117010661","76390178010538",2007,39,6,41,574,2,2,"ROMU",1,"ROMU",1,"",2010-03-01,"10661","",2012-02-28,"20004",6,1
"222860115010661","76390178010538",2007,39,6,41,574,3,1,"LOMA6",1,"LOMA6",1,"",2010-03-01,"10661","",2012-02-28,"20004",6,1
"222860118010661","76390178010538",2007,39,6,41,574,3,1,"ROMU",1,"ROMU",1,"",2010-03-01,"10661","",2012-02-29,"20004",6,1
"222860001010661","76389444010538",2007,39,4,7,505,3,1,"ROMU",1,"ROMU",10,"",2010-03-01,"10661","",2012-02-28,"20004",6,1
"222860099010661","76389222010538",2007,39,3,31,628,1,1,"ALPE4",1,"ALPE4",6,"",2010-03-01,"10661","",2012-02-28,"20004",6,1
"222860100010661","76389222010538",2007,39,3,31,628,2,1,"ALPE4",1,"ALPE4",7,"",2010-03-01,"10661","",2012-02-28,"20004",6,1
"222860103010661","76389222010538",2007,39,3,31,628,2,1,"ROMU",1,"ROMU",1,"",2010-03-01,"10661","",2012-02-28,"20004",6,1
"222860101010661","76389222010538",2007,39,3,31,628,3,1,"ALPE4",1,"ALPE4",4,"",2010-03-01,"10661","",2012-02-28,"20004",6,1
"222860104010661","76389222010538",2007,39,3,31,628,3,1,"ROMU",1,"ROMU",1,"",2010-03-01,"10661","",2012-02-28,"20004",6,1
"222860102010661","76389222010538",2007,39,3,31,628,4,1,"ALPE4",1,"ALPE4",6,"",2010-03-01,"10661","",2012-02-28,"20004",6,1
"222860105010661","76389222010538",2007,39,3,31,628,4,1,"ROMU",1,"ROMU",1,"",2010-03-01,"10661","",2012-02-28,"20004",6,1
"222860362010661","76389020010538",2007,39,1,145,33,1,1,"AIAL",1,"AIAL",2,"",2010-03-01,"10661","",2012-02-28,"20004",6,1
"222860366010661","76389020010538",2007,39,1,145,33,1,1,"LOJA",1,"LOJA",1,"",2010-03-01,"10661","",2012-02-29,"20004",6,1
"222860363010661","76389020010538",2007,39,1,145,33,2,1,"AIAL",1,"AIAL",2,"",2010-03-01,"10661","",2012-02-28,"20004",6,1
"222860368010661","76389020010538",2007,39,1,145,33,2,1,"ROMU",1,"ROMU",15,"",2010-03-01,"10661","",2012-02-28,"20004",6,1
"222860364010661","76389020010538",2007,39,1,145,33,3,1,"AIAL",1,"AIAL",2,"",2010-03-01,"10661","",2012-02-28,"20004",6,1
"222860365010661","76389020010538",2007,39,1,145,33,4,1,"AIAL",1,"AIAL",1,"",2010-03-01,"10661","",2012-02-29,"20004",6,1
"222860367010661","76389020010538",2007,39,1,145,33,4,1,"LOJA",1,"LOJA",1,"",2010-03-01,"10661","",2012-02-28,"20004",6,1
"222860391010661","76390064010538",2007,39,5,165,154,1,1,"AIAL",1,"AIAL",1,"",2010-03-01,"10661","",2012-02-28,"20004",6,1
"31298479020004","222444763010661",2011,39,2,167,1497,2,1,"ROMU",1,"ROMU",1,"",2012-03-19,"20004","",,"",6,5
"31298480020004","222444763010661",2011,39,2,167,1497,3,1,"ROMU",1,"ROMU",1,"",2012-03-19,"20004","",,"",6,5
"31298481020004","222444763010661",2011,39,2,167,1497,4,1,"ROMU",1,"ROMU",1,"",2012-03-19,"20004","",,"",6,5
"31298566020004","222444803010661",2011,39,3,67,1501,1,1,"LOJA",1,"LOJA",2,"",2012-03-19,"20004","",,"",6,5
"31298567020004","222444803010661",2011,39,3,67,1501,1,1,"ROMU",1,"ROMU",4,"",2012-03-19,"20004","",,"",6,5
"31298568020004","222444803010661",2011,39,3,67,1501,4,1,"ROMU",1,"ROMU",2,"",2012-03-19,"20004","",,"",6,5
"31298574020004","222444805010661",2011,39,3,67,2072,1,2,"ALPE4",1,"ALPE4",1,"",2012-03-19,"20004","",,"",6,5
"31298575020004","222444805010661",2011,39,3,67,2072,2,2,"ALPE4",1,"ALPE4",10,"",2012-03-19,"20004","",,"",6,5
"31298576020004","222444805010661",2011,39,3,67,2072,2,2,"ROMU",1,"ROMU",1,"",2012-03-19,"20004","",,"",6,5
"31298577020004","222444805010661",2011,39,3,67,2072,3,2,"ROMU",1,"ROMU",9,"",2012-03-19,"20004","",,"",6,5
