"CN","EVAL_CN","RSCD","EVALID","ESTN_UNIT","ESTN_UNIT_DESCR","STATECD","AREALAND_EU","AREATOT_EU","AREA_USED","AREA_SOURCE","P1PNTCNT_EU","P1SOURCE","CREATED_BY","CREATED_DATE","CREATED_IN_INSTANCE","MODIFIED_BY","MODIFIED_DATE","MODIFIED_IN_INSTANCE"
"107116350010661","107113893010661",24,399102,3,"3",39,2071121,0,2071121,"US CENSUS 1990",10356,"","",2007-09-21,"10661","",2012-01-03,"20004"
"107116351010661","107113893010661",24,399102,4,"4",39,3418354,0,3418354,"US CENSUS 1990",17090,"","",2007-09-21,"10661","",2012-01-03,"20004"
"107116352010661","107113893010661",24,399102,5,"5",39,5105208,0,5105208,"US CENSUS 1990",25525,"","",2007-09-21,"10661","",2012-01-03,"20004"
"107116353010661","107113893010661",24,399102,6,"6",39,4800144,0,4800144,"US CENSUS 1990",23996,"","",2007-09-21,"10661","",2012-01-03,"20004"
"107116354010661","107113893010661",24,399102,7,"7",39,7507436,0,7507436,"US CENSUS 1990",37537,"","",2007-09-21,"10661","",2012-01-03,"20004"
"107116355010661","107113893010661",24,399102,999,"999",39,2479979,0,2479979,"US CENSUS 1990",12400,"","",2007-09-21,"10661","",2012-01-03,"20004"
"107116356010661","107113894010661",24,399103,1,"1",39,369668,0,369668,"US CENSUS 1990",1849,"","",2007-09-21,"10661","",2012-01-03,"20004"
"107116357010661","107113894010661",24,399103,3,"3",39,623401,0,623401,"US CENSUS 1990",3117,"","",2007-09-21,"10661","",2012-01-03,"20004"
"107116358010661","107113894010661",24,399103,5,"5",39,299250,0,299250,"US CENSUS 1990",1494,"","",2007-09-21,"10661","",2012-01-03,"20004"
"107116359010661","107113894010661",24,399103,7,"7",39,445356,0,445356,"US CENSUS 1990",2227,"","",2007-09-21,"10661","",2012-01-03,"20004"
"107116360010661","107113894010661",24,399103,9,"9",39,311471,0,311471,"US CENSUS 1990",1556,"","",2007-09-21,"10661","",2012-01-03,"20004"
"107116361010661","107113894010661",24,399103,11,"11",39,274766,0,274766,"US CENSUS 1990",1374,"","",2007-09-21,"10661","",2012-01-03,"20004"
"107116362010661","107113894010661",24,399103,13,"13",39,343333,0,343333,"US CENSUS 1990",1716,"","",2007-09-21,"10661","",2012-01-03,"20004"
"107116363010661","107113894010661",24,399103,15,"15",39,314660,0,314660,"US CENSUS 1990",1573,"","",2007-09-21,"10661","",2012-01-03,"20004"
"107116364010661","107113894010661",24,399103,17,"17",39,294609,0,294609,"US CENSUS 1990",1473,"","",2007-09-21,"10661","",2012-01-03,"20004"
"107116365010661","107113894010661",24,399103,19,"19",39,252532,0,252532,"US CENSUS 1990",1263,"","",2007-09-21,"10661","",2012-01-03,"20004"
"107116366010661","107113894010661",24,399103,21,"21",39,267094,0,267094,"US CENSUS 1990",1336,"","",2007-09-21,"10661","",2012-01-03,"20004"
"107116367010661","107113894010661",24,399103,23,"23",39,177545,0,177545,"US CENSUS 1990",888,"","",2007-09-21,"10661","",2012-01-03,"20004"
"107116368010661","107113894010661",24,399103,25,"25",39,285507,0,285507,"US CENSUS 1990",1427,"","",2007-09-21,"10661","",2012-01-03,"20004"
"107116369010661","107113894010661",24,399103,27,"27",39,234499,0,234499,"US CENSUS 1990",1173,"","",2007-09-21,"10661","",2012-01-03,"20004"
"107116370010661","107113894010661",24,399103,29,"29",39,338770,0,338770,"US CENSUS 1990",1693,"","",2007-09-21,"10661","",2012-01-03,"20004"
"107116371010661","107113894010661",24,399103,31,"31",39,360916,0,360916,"US CENSUS 1990",1805,"","",2007-09-21,"10661","",2012-01-03,"20004"
"107116372010661","107113894010661",24,399103,33,"33",39,250422,0,250422,"US CENSUS 1990",1252,"","",2007-09-21,"10661","",2012-01-03,"20004"
"107116373010661","107113894010661",24,399103,35,"35",39,292615,0,292615,"US CENSUS 1990",1463,"","",2007-09-21,"10661","",2012-01-03,"20004"
"107116374010661","107113894010661",24,399103,37,"37",39,286984,0,286984,"US CENSUS 1990",1435,"","",2007-09-21,"10661","",2012-01-03,"20004"
"107116375010661","107113894010661",24,399103,39,"39",39,253324,0,253324,"US CENSUS 1990",1267,"","",2007-09-21,"10661","",2012-01-03,"20004"
"107116376010661","107113894010661",24,399103,41,"41",39,268308,0,268308,"US CENSUS 1990",1342,"","",2007-09-21,"10661","",2012-01-03,"20004"
"107116377010661","107113894010661",24,399103,43,"43",39,139472,0,139472,"US CENSUS 1990",697,"","",2007-09-21,"10661","",2012-01-03,"20004"
"107116378010661","107113894010661",24,399103,45,"45",39,318040,0,318040,"US CENSUS 1990",1590,"","",2007-09-21,"10661","",2012-01-03,"20004"
"107116379010661","107113894010661",24,399103,47,"47",39,270712,0,270712,"US CENSUS 1990",1354,"","",2007-09-21,"10661","",2012-01-03,"20004"
"107116380010661","107113894010661",24,399103,49,"49",39,365584,0,365584,"US CENSUS 1990",1828,"","",2007-09-21,"10661","",2012-01-03,"20004"
"107116381010661","107113894010661",24,399103,51,"51",39,263814,0,263814,"US CENSUS 1990",1320,"","",2007-09-21,"10661","",2012-01-03,"20004"
"107116382010661","107113894010661",24,399103,53,"53",39,287629,0,287629,"US CENSUS 1990",1439,"","",2007-09-21,"10661","",2012-01-03,"20004"
"107116509010661","107113895010661",24,399104,131,"131",39,327283,0,327283,"US CENSUS 1990",1637,"","",2007-09-21,"10661","",2012-01-03,"20004"
"107116510010661","107113895010661",24,399104,133,"133",39,330714,0,330714,"US CENSUS 1990",1654,"","",2007-09-21,"10661","",2012-01-03,"20004"
"107116511010661","107113895010661",24,399104,135,"135",39,252743,0,252743,"US CENSUS 1990",1264,"","",2007-09-21,"10661","",2012-01-03,"20004"
"107116512010661","107113895010661",24,399104,137,"137",39,352246,0,352246,"US CENSUS 1990",1761,"","",2007-09-21,"10661","",2012-01-03,"20004"
"107116513010661","107113895010661",24,399104,139,"139",39,289014,0,289014,"US CENSUS 1990",1444,"","",2007-09-21,"10661","",2012-01-03,"20004"
"107116514010661","107113895010661",24,399104,141,"141",39,465293,0,465293,"US CENSUS 1990",2326,"","",2007-09-21,"10661","",2012-01-03,"20004"
"107116515010661","107113895010661",24,399104,143,"143",39,240006,0,240006,"US CENSUS 1990",1200,"","",2007-09-21,"10661","",2012-01-03,"20004"
"107116516010661","107113895010661",24,399104,145,"145",39,378904,0,378904,"US CENSUS 1990",1894,"","",2007-09-21,"10661","",2012-01-03,"20004"
"107116517010661","107113895010661",24,399104,147,"147",39,350381,0,350381,"US CENSUS 1990",1752,"","",2007-09-21,"10661","",2012-01-03,"20004"
"107116518010661","107113895010661",24,399104,149,"149",39,302798,0,302798,"US CENSUS 1990",1514,"","",2007-09-21,"10661","",2012-01-03,"20004"
"107116519010661","107113895010661",24,399104,153,"153",39,250998,0,250998,"US CENSUS 1990",1255,"","",2007-09-21,"10661","",2012-01-03,"20004"
"107116520010661","107113895010661",24,399104,155,"155",39,397286,0,397286,"US CENSUS 1990",1987,"","",2007-09-21,"10661","",2012-01-03,"20004"
"107116521010661","107113895010661",24,399104,157,"157",39,363075,0,363075,"US CENSUS 1990",1815,"","",2007-09-21,"10661","",2012-01-03,"20004"
"107116522010661","107113895010661",24,399104,159,"159",39,231648,0,231648,"US CENSUS 1990",1158,"","",2007-09-21,"10661","",2012-01-03,"20004"
"107116523010661","107113895010661",24,399104,161,"161",39,137715,0,137715,"US CENSUS 1990",688,"","",2007-09-21,"10661","",2012-01-03,"20004"
"107116524010661","107113895010661",24,399104,163,"163",39,276630,0,276630,"US CENSUS 1990",1383,"","",2007-09-21,"10661","",2012-01-03,"20004"
"107116525010661","107113895010661",24,399104,165,"165",39,269804,0,269804,"US CENSUS 1990",1350,"","",2007-09-21,"10661","",2012-01-03,"20004"
"107116526010661","107113895010661",24,399104,167,"167",39,382177,0,382177,"US CENSUS 1990",1911,"","",2007-09-21,"10661","",2012-01-03,"20004"
"107116527010661","107113895010661",24,399104,169,"169",39,401989,0,401989,"US CENSUS 1990",2011,"","",2007-09-21,"10661","",2012-01-03,"20004"
"107116528010661","107113895010661",24,399104,171,"171",39,289296,0,289296,"US CENSUS 1990",1446,"","",2007-09-21,"10661","",2012-01-03,"20004"
"107116529010661","107113895010661",24,399104,173,"173",39,407021,0,407021,"US CENSUS 1990",2036,"","",2007-09-21,"10661","",2012-01-03,"20004"
"107116530010661","107113895010661",24,399104,175,"175",39,263962,0,263962,"US CENSUS 1990",1320,"","",2007-09-21,"10661","",2012-01-03,"20004"
"107116531010661","107113895010661",24,399104,998,"998",39,63725,0,63725,"US CENSUS 1990",318,"","",2007-09-21,"10661","",2012-01-03,"20004"
"107116532010661","107113896010661",24,399105,1,"1",39,369668,0,369668,"US CENSUS 1990",1849,"","",2007-09-21,"10661","",2012-01-03,"20004"
"107116533010661","107113896010661",24,399105,3,"3",39,623401,0,623401,"US CENSUS 1990",3117,"","",2007-09-21,"10661","",2012-01-03,"20004"
"107116534010661","107113896010661",24,399105,5,"5",39,299250,0,299250,"US CENSUS 1990",1494,"","",2007-09-21,"10661","",2012-01-03,"20004"
"107116535010661","107113896010661",24,399105,7,"7",39,445356,0,445356,"US CENSUS 1990",2227,"","",2007-09-21,"10661","",2012-01-03,"20004"
"107116536010661","107113896010661",24,399105,9,"9",39,311471,0,311471,"US CENSUS 1990",1556,"","",2007-09-21,"10661","",2012-01-03,"20004"
"107116537010661","107113896010661",24,399105,11,"11",39,274766,0,274766,"US CENSUS 1990",1374,"","",2007-09-21,"10661","",2012-01-03,"20004"
"107116538010661","107113896010661",24,399105,13,"13",39,343333,0,343333,"US CENSUS 1990",1716,"","",2007-09-21,"10661","",2012-01-03,"20004"
"107116539010661","107113896010661",24,399105,15,"15",39,314660,0,314660,"US CENSUS 1990",1573,"","",2007-09-21,"10661","",2012-01-03,"20004"
"107116540010661","107113896010661",24,399105,17,"17",39,294609,0,294609,"US CENSUS 1990",1473,"","",2007-09-21,"10661","",2012-01-03,"20004"
"107116541010661","107113896010661",24,399105,19,"19",39,252532,0,252532,"US CENSUS 1990",1263,"","",2007-09-21,"10661","",2012-01-03,"20004"
"107116542010661","107113896010661",24,399105,21,"21",39,267094,0,267094,"US CENSUS 1990",1336,"","",2007-09-21,"10661","",2012-01-03,"20004"
"107116543010661","107113896010661",24,399105,23,"23",39,177545,0,177545,"US CENSUS 1990",888,"","",2007-09-21,"10661","",2012-01-03,"20004"
"107116544010661","107113896010661",24,399105,25,"25",39,285507,0,285507,"US CENSUS 1990",1427,"","",2007-09-21,"10661","",2012-01-03,"20004"
"107116545010661","107113896010661",24,399105,27,"27",39,234499,0,234499,"US CENSUS 1990",1173,"","",2007-09-21,"10661","",2012-01-03,"20004"
"107116546010661","107113896010661",24,399105,29,"29",39,338770,0,338770,"US CENSUS 1990",1693,"","",2007-09-21,"10661","",2012-01-03,"20004"
"107116547010661","107113896010661",24,399105,31,"31",39,360916,0,360916,"US CENSUS 1990",1805,"","",2007-09-21,"10661","",2012-01-03,"20004"
"107116548010661","107113896010661",24,399105,33,"33",39,250422,0,250422,"US CENSUS 1990",1252,"","",2007-09-21,"10661","",2012-01-03,"20004"
"107116549010661","107113896010661",24,399105,35,"35",39,292615,0,292615,"US CENSUS 1990",1463,"","",2007-09-21,"10661","",2012-01-03,"20004"
"107116550010661","107113896010661",24,399105,37,"37",39,286984,0,286984,"US CENSUS 1990",1435,"","",2007-09-21,"10661","",2012-01-03,"20004"
"107116551010661","107113896010661",24,399105,39,"39",39,253324,0,253324,"US CENSUS 1990",1267,"","",2007-09-21,"10661","",2012-01-03,"20004"
"107116552010661","107113896010661",24,399105,41,"41",39,268308,0,268308,"US CENSUS 1990",1342,"","",2007-09-21,"10661","",2012-01-03,"20004"
"107116553010661","107113896010661",24,399105,43,"43",39,139472,0,139472,"US CENSUS 1990",697,"","",2007-09-21,"10661","",2012-01-03,"20004"
"107116554010661","107113896010661",24,399105,45,"45",39,318040,0,318040,"US CENSUS 1990",1590,"","",2007-09-21,"10661","",2012-01-03,"20004"
"107116555010661","107113896010661",24,399105,47,"47",39,270712,0,270712,"US CENSUS 1990",1354,"","",2007-09-21,"10661","",2012-01-03,"20004"
"107116556010661","107113896010661",24,399105,49,"49",39,365584,0,365584,"US CENSUS 1990",1828,"","",2007-09-21,"10661","",2012-01-03,"20004"
"107116557010661","107113896010661",24,399105,51,"51",39,263814,0,263814,"US CENSUS 1990",1320,"","",2007-09-21,"10661","",2012-01-03,"20004"
"107116558010661","107113896010661",24,399105,53,"53",39,287629,0,287629,"US CENSUS 1990",1439,"","",2007-09-21,"10661","",2012-01-03,"20004"
"107116559010661","107113896010661",24,399105,55,"55",39,287885,0,287885,"US CENSUS 1990",1441,"","",2007-09-21,"10661","",2012-01-03,"20004"
"107116560010661","107113896010661",24,399105,57,"57",39,267350,0,267350,"US CENSUS 1990",1336,"","",2007-09-21,"10661","",2012-01-03,"20004"
"107116561010661","107113896010661",24,399105,59,"59",39,329110,0,329110,"US CENSUS 1990",1646,"","",2007-09-21,"10661","",2012-01-03,"20004"
"107116562010661","107113896010661",24,399105,61,"61",39,302449,0,302449,"US CENSUS 1990",1513,"","",2007-09-21,"10661","",2012-01-03,"20004"
"107116563010661","107113896010661",24,399105,63,"63",39,338424,0,338424,"US CENSUS 1990",1693,"","",2007-09-21,"10661","",2012-01-03,"20004"
"107116564010661","107113896010661",24,399105,65,"65",39,305706,0,305706,"US CENSUS 1990",1529,"","",2007-09-21,"10661","",2012-01-03,"20004"
"107116565010661","107113896010661",24,399105,67,"67",39,258291,0,258291,"US CENSUS 1990",1292,"","",2007-09-21,"10661","",2012-01-03,"20004"
"107116566010661","107113896010661",24,399105,69,"69",39,270987,0,270987,"US CENSUS 1990",1355,"","",2007-09-21,"10661","",2012-01-03,"20004"
"107116567010661","107113896010661",24,399105,71,"71",39,351865,0,351865,"US CENSUS 1990",1760,"","",2007-09-21,"10661","",2012-01-03,"20004"
"107116568010661","107113896010661",24,399105,73,"73",39,261120,0,261120,"US CENSUS 1990",1305,"","",2007-09-21,"10661","",2012-01-03,"20004"
"107116569010661","107113896010661",24,399105,75,"75",39,270729,0,270729,"US CENSUS 1990",1354,"","",2007-09-21,"10661","",2012-01-03,"20004"
"107116570010661","107113896010661",24,399105,77,"77",39,338162,0,338162,"US CENSUS 1990",1691,"","",2007-09-21,"10661","",2012-01-03,"20004"
"107116571010661","107113896010661",24,399105,79,"79",39,266822,0,266822,"US CENSUS 1990",1333,"","",2007-09-21,"10661","",2012-01-03,"20004"
"107116572010661","107113896010661",24,399105,81,"81",39,261362,0,261362,"US CENSUS 1990",1305,"","",2007-09-21,"10661","",2012-01-03,"20004"
"107116573010661","107113896010661",24,399105,83,"83",39,337364,0,337364,"US CENSUS 1990",1687,"","",2007-09-21,"10661","",2012-01-03,"20004"
"107116574010661","107113896010661",24,399105,85,"85",39,107133,0,107133,"US CENSUS 1990",536,"","",2007-09-21,"10661","",2012-01-03,"20004"
"107116575010661","107113896010661",24,399105,87,"87",39,242387,0,242387,"US CENSUS 1990",1211,"","",2007-09-21,"10661","",2012-01-03,"20004"
"387249552489998","387249515489998",24,391500,2,"Inland Census Water Unit 2",39,,11828.6,11828.6,"Pixel count",53187,"NLCD LANDSAT 2011 Tree Canopy Cover","",2016-05-04,"489998","",,""
"387249553489998","387249515489998",24,391500,4,"Inland Census Water Unit 4",39,,73822.4,73822.4,"Pixel count",331943,"NLCD LANDSAT 2011 Tree Canopy Cover","",2016-05-04,"489998","",,""
"387249554489998","387249515489998",24,391500,11,"Private Unit 5",39,,4721150.3,4721150.3,"Pixel count",21228687,"NLCD LANDSAT 2011 Tree Canopy Cover","",2016-05-04,"489998","",,""
"387249555489998","387249515489998",24,391500,8,"Private Unit 2",39,,1858401.1,1858401.1,"Pixel count",8356314,"NLCD LANDSAT 2011 Tree Canopy Cover","",2016-05-04,"489998","",,""
"387249556489998","387249515489998",24,391500,12,"Private Unit 6",39,,7423758.5,7423758.5,"Pixel count",33380983,"NLCD LANDSAT 2011 Tree Canopy Cover","",2016-05-04,"489998","",,""
"387249557489998","387249515489998",24,391500,19,"Wayne NF",39,,237678.6,237678.6,"Pixel count",1068723,"NLCD LANDSAT 2011 Tree Canopy Cover","",2016-05-04,"489998","",,""
"387249558489998","387249515489998",24,391500,15,"Public Unit 3",39,,144675.4,144675.4,"Pixel count",650534,"NLCD LANDSAT 2011 Tree Canopy Cover","",2016-05-04,"489998","",,""
