"CN","PLT_CN","INVYR","STATECD","COUNTYCD","PLOT","MEASDAY","MEASMON","MEASYEAR","LICHEN_STATCD","LIPROJCD","SMPLSTRT","SMPLSTP","SMPLTIME","SFTWDPCT","HRDWDPCT","SHRUBPCT","GAPPCT","GAPRCNT","TALLSHRB","FTRCD1","FTRCD2","FTRCD3","FTRCD4","ISSUECD1","ISSUECD2","ISSUECD3","ISSUECD4","SZCLSCD1","SZCLSCD2","SZCLSCD3","CREATED_BY","CREATED_DATE","CREATED_IN_INSTANCE","MODIFIED_BY","MODIFIED_DATE","MODIFIED_IN_INSTANCE","QA_STATUS"
"54179490010538","59846862010538",2003,39,11,2083,12,8,2003,1,1,1200,1245,45,0,10,0,95,0,0,4,0,,,0,,,,2,1,1,"",2005-04-14,"10538","",2019-06-13,"126144",
"54173680010538","59853380010538",2003,39,121,2146,23,6,2003,1,1,1100,1300,200,0,80,40,15,0,1,2,4,6,0,0,,,,2,2,2,"",2005-04-14,"10538","",2019-06-13,"126144",
"54174188010538","59835838010538",2003,39,53,2364,21,8,2003,1,1,1400,1500,100,0,99,15,0,,,16,0,,,0,,,,2,2,2,"",2005-04-14,"10538","",2019-06-13,"126144",
"54174364010538","59846299010538",2003,39,9,2380,30,6,2003,1,1,1300,1500,200,0,80,30,30,0,1,4,0,,,5,0,,,2,2,2,"",2005-04-14,"10538","",2019-06-13,"126144",
"54175829010538","59860065010538",2003,39,165,2505,6,8,2003,1,1,1030,1200,130,0,70,10,15,0,0,3,0,,,0,,,,3,2,2,"",2005-04-14,"10538","",2019-06-13,"126144",
"54177460010538","59848292010538",2003,39,19,2633,25,6,2003,1,1,1000,1130,130,0,99,20,10,0,1,0,,,,0,,,,2,2,2,"",2005-04-14,"10538","",2019-06-13,"126144",
"54176116010538","59836717010538",2003,39,57,2961,5,8,2003,1,1,1230,1345,115,0,60,50,15,0,1,4,0,,,0,,,,1,1,1,"",2005-04-14,"10538","",2019-06-13,"126144",
"54178514010538","59859396010538",2003,39,157,3047,9,7,2003,1,1,1130,1315,145,0,60,20,15,0,0,3,4,6,0,2,0,,,2,2,1,"",2005-04-14,"10538","",2019-06-13,"126144",
"54174977010538","59854367010538",2003,39,127,3072,28,7,2003,1,1,1030,1130,100,0,60,20,15,0,1,5,0,,,1,2,0,,1,1,1,"",2005-04-14,"10538","",2019-06-13,"126144",
"54174692010538","59856286010538",2003,39,141,3077,2,7,2003,1,1,1200,1330,130,5,60,20,20,0,1,3,4,0,,6,0,,,2,2,2,"",2005-04-14,"10538","",2019-06-13,"126144",
"54173054010538","59847831010538",2003,39,15,3247,30,7,2003,1,1,1200,1330,130,0,70,10,0,,,3,0,,,0,,,,2,2,3,"",2005-04-14,"10538","",2019-06-13,"126144",
"54179120010538","59852459010538",2003,39,117,3433,19,8,2003,1,1,1045,1200,115,0,60,60,10,0,1,2,0,,,0,,,,3,2,2,"",2005-04-14,"10538","",2019-06-13,"126144",
"54181442010538","59842363010538",2003,39,95,3536,20,8,2003,1,1,1045,1215,130,50,40,40,10,0,1,0,,,,0,,,,2,2,1,"",2005-04-14,"10538","",2019-06-13,"126144",
